// See `english.txt' for instructions on how to translate the game.

$mainNameOfLanguage         Deutsch

// Verschiedene Dialoge

$commonOk                     Okay
$commonCancel                 Abbrechen
$commonYes                    Ja
$commonNo                     Nein
$commonBack                   Zurück
$commonExit                   Beenden
$commonDirParent             ..
$commonDirFlipPage          (weitere...)
$commonVersion                Version

// Browser

$browserSingleTitle          Einzelspieler
$browserNetworkTitle         Netzwerk-Level aussuchen
$browserReplayTitle          Replays
$browserPlay                  Spielen
$browserEdit                  Editieren
$browserReplay                Abspielen
$browserDelete                Löschen
$browserExtract               Level extrah.
$browserExportImage          Bild export.
$browserExportImageDone     Fertig.

$browserInfoAuthor           Von:
$browserInfoInitgoal         Ziel:
$browserInfoInitial          Anzahl Lix:
$browserInfoHatches          Klappen:
$browserInfoGoals            Ausgänge:
$browserInfoSkills           Fähigktn.:
$browserInfoClock2          Nachzeit:
$browserInfoAuthorNone      ?
$browserInfoClockNone       --

$browserInfoResultSaved     Gerettet:
$browserInfoResultSkills    Fähigktn.:
$browserInfoResultTime      Dauer:
$browserInfoResultOld1     Der Level wurde
$browserInfoResultOld2     seitdem editiert.

$browserInfoPlayer           Spieler:
$browserInfoVersion          Spiel:
$browserInfoBuilt            Level:
$browserInfoNew              ist zu neu
$browserInfoSame             passt!
$browserInfoOld              ist zu alt
$browserInfoHoldsLevel       enthalten

// Lobby

$winLobbyTitle               Netzwerkspiel
$winLobbyTitleLobby         Lobby
$winLobbyTitleRoom          Raum Nr.
$winLobbyExit                Netz verlassen
$winLobbyUnstableCentral    (Experimentelle Version, bitte nicht zentralen Server nutzen.)
$winLobbyStartCentral       Verbinden zu zentralem Server
$winLobbyStartServer        Selbst ein Spiel hosten
$winLobbyStartClient        Verbinden zu:
$winLobbyChat                Chat:
$winLobbySelectLevel        Level aussuchen
$winLobbyReady               Bereit zum Start
$winLobbyRoomNumber         Raum Nr.
$winLobbyRoomPlayer         Spieler
$winLobbyRoomPlayers        Spieler
$winLobbyRoomCreate         Neuen Raum eroeffnen
$winLobbyRoomLeave          Raum verlassen

// Spielfenster

$winGameTitle                Spielmenü
$winGameResult               Ergebnis
$winGameLixSaved            Lix gerettet:
$winGameLixSavedInTime    Lix rechtzeitig gerettet:
$winGameResume               Weiterspielen
$winGameRestart              Level neustarten
$winGameSaveReplay          Replay speichern
