$BUILT 2014-03-28 20:09:55
$AUTHOR Amanda
#INTENDED_NUMBER_OF_PLAYERS 2
$ENGLISH Mustn't Just Dig (2p)

#SIZE_X 1824
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 1030
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 40
#INITIAL 60
#REQUIRED 5
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#DIGGER 50
#MINER 20
#PLATFORMER 10
#BASHER 20
#BUILDER 50
#WALKER 75
#BLOCKER 20
#BATTER 20
#EXPLODER2 20
#RUNNER 10
#BURNER -1
#NOTHING 0

:amanda/occult/hatch_tentacle.H: 1168 30
:amanda/occult/hatch_tentacle.H: 560 30 r

:amanda/occult/goal_skull.G: 230 227
:amanda/occult/goal_skull.G: 1466 227

:amanda/occult/wax32x48: 1152 320
:amanda/occult/skulls32x32: 1123 367
:amanda/occult/skulls32x32: 1120 336
:amanda/occult/skulls32x32: 1104 352
:amanda/occult/skulls32x32: 1088 336
:amanda/occult/skulls32x32: 1056 336
:amanda/occult/skulls32x32: 1024 338
:amanda/occult/skulls32x32: 984 304 frr
:amanda/occult/skulls32x32: 960 304
:amanda/occult/wax64x64: 992 256
:amanda/occult/wax32x16_cap_left: 960 304
:amanda/occult/wax32x16_cap_right: 960 288 frr
:amanda/occult/wax32x16_b: 1200 16
:amanda/occult/wax_details_drip: 1310 52
:amanda/occult/overlay32x32_d: 1310 22
:amanda/occult/wax32x16: 1296 16
:amanda/occult/wax64x48: 1280 -32
:amanda/occult/wax64x48: 1440 176
:amanda/occult/wax32x16_b: 1456 176
:amanda/occult/wax64x48: 1312 192
:amanda/occult/wax32x16: 1408 224
:amanda/occult/wax32x48: 1408 176
:amanda/occult/wax32x48_cap_left_sheer: 1424 144
:amanda/occult/wax32x16_cap_left: 1424 128
:amanda/occult/wax32x48_cap_left_sheer: 1424 80
:amanda/occult/wax32x16_cap_left: 1424 64
:amanda/occult/wax32x48: 1424 16
:amanda/occult/wax32x16_cap_left: 1392 48
:amanda/occult/wax32x16_cap_left: 1392 32
:amanda/occult/wax32x16_b: 1392 16
:amanda/occult/wax_details_drip: 1531 126
:amanda/occult/wax32x48_cap_right_soft: 1520 128
:amanda/occult/wax32x48_cap_right_soft: 1504 176
:amanda/occult/wax32x16: 1488 176
:amanda/occult/wax32x48: 1456 80 frr
:amanda/occult/wax64x48: 1456 128
:amanda/occult/wax64x48: 1488 80
:amanda/occult/wax32x16_cap_right: 1536 112
:amanda/occult/wax64x64: 1456 16
:amanda/occult/wax32x16: 1408 2
:amanda/occult/wax32x16_b: 1440 2
