$BUILT 2018-01-17 17:37:25
$AUTHOR Arty
$ENGLISH Knock 'em dead! (2p)

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 640
#SIZE_Y 384
#TORUS_X 0
#TORUS_Y 1

#SECONDS 80
#INITIAL 100
#REQUIRED 20
#SPAWN_INTERVAL 12

#WALKER 60
#RUNNER 10
#CLIMBER 20
#FLOATER 20
#EXPLODER2 20
#BLOCKER 20
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 20
#JUMPER 60
#BATTER 80

:matt/bricks/Hatch.H: 32 0
:matt/bricks/Hatch.H: 32 192
:matt/bricks/Hatch.H: 448 48
:matt/bricks/Hatch.H: 448 240
:matt/bricks/Hatch.H: 448 176
:matt/bricks/Hatch.H: 448 368
:matt/bricks/Hatch.H: 448 304
:matt/bricks/Hatch.H: 448 112

:matt/bricks/Goal.G: 576 208
:matt/bricks/Goal.G: 576 16
:matt/bricks/Goal.G: 160 288
:matt/bricks/Goal.G: 160 96

:geoo/construction/squisher.T: 240 80
:geoo/construction/squisher.T: 240 272

:matt/bricks/16b: 416 48
:matt/bricks/02b: 352 48
:matt/bricks/02b: 352 80
:matt/bricks/02b: 352 112
:matt/bricks/02b: 288 112
:matt/bricks/02b: 288 80
:matt/bricks/02b: 288 48
:matt/bricks/02b: 224 48
:matt/bricks/02b: 160 48
:matt/bricks/02b: 96 48
:matt/bricks/02b: 96 80
:matt/bricks/02b: 96 112
:matt/bricks/02b: 32 112
:matt/bricks/02b: 32 80
:matt/bricks/02b: 32 48
:matt/bricks/02b: 352 144
:matt/bricks/02b: 288 144
:matt/bricks/02b: 224 144
:matt/bricks/02b: 160 144
:matt/bricks/02b: 96 144
:matt/bricks/02b: 32 144
:matt/bricks/16b: 416 240
:matt/bricks/02b: 352 240
:matt/bricks/02b: 352 272
:matt/bricks/02b: 352 304
:matt/bricks/02b: 288 304
:matt/bricks/02b: 288 272
:matt/bricks/02b: 288 240
:matt/bricks/02b: 224 240
:matt/bricks/02b: 160 240
:matt/bricks/02b: 96 240
:matt/bricks/02b: 96 272
:matt/bricks/02b: 96 304
:matt/bricks/02b: 32 304
:matt/bricks/02b: 32 272
:matt/bricks/02b: 32 240
:matt/bricks/02b: 352 336
:matt/bricks/02b: 288 336
:matt/bricks/02b: 224 336
:matt/bricks/02b: 160 336
:matt/bricks/02b: 96 336
:matt/bricks/02b: 32 336
:matt/bricks/05b: 160 176
:matt/bricks/04b: 224 176
:matt/bricks/05b: 352 160
:matt/bricks/05b: 352 352
:matt/bricks/06b: 96 336
:matt/bricks/06b: 96 144
:matt/bricks/05b: 160 368
:matt/bricks/04b: 224 368
:geoo/steel/dark_64x32o.S: 576 256
:geoo/steel/dark_64x32o.S: 576 64
:geoo/steel/dark_16x32o.S: 624 224
:geoo/steel/dark_16x32o.S: 624 32
:geoo/steel/dark_16x16o.S: 56 240
:geoo/steel/dark_16x16o.S: 56 48
:geoo/steel/dark_16x16o.S: 184 144
:geoo/steel/dark_16x16o.S: 184 336
