$BUILT 2022-02-05 02:21:21
$AUTHOR Flopsy
$ENGLISH I'm Only Happy When It Rains 2P

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 640
#SIZE_Y 384
#TORUS_X 0
#TORUS_Y 1

#SECONDS 90
#INITIAL 80
#SPAWN_INTERVAL 31

#WALKER 30
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#BUILDER 15
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 30
#BATTER 30
#CUBER 10
#EXPLODER2 0

:matt/bricks/Hatch.H: 48 32
:matt/bricks/Hatch.H: 48 224

:matt/bricks/Goal.G: 208 130
:matt/bricks/Goal.G: 208 322

:amanda/forest/frog_happy.T: 512 128
:amanda/forest/frog_happy.T: 512 320

:simon/crystal.W: 320 32
:simon/crystal.W: 384 32
:simon/crystal.W: 592 128
:simon/crystal.W: 320 224
:simon/crystal.W: 384 224
:simon/crystal.W: 592 320

:geoo/steel/64x32o.S: 48 80
:geoo/steel/16x32o.S: 48 48
:geoo/steel/16x32o.S: 112 64
:geoo/steel/16x16o.S: 112 96
:matt/bricks/03: 176 16
:matt/bricks/03: 240 16
:geoo/steel/16x32o.S: 176 80
:geoo/steel/32x16o.S: 192 80
:geoo/steel/32x16o.S: 224 80
:geoo/steel/32x16o.S: 256 80
:geoo/steel/32x16o.S: 288 80
:geoo/steel/16x32o.S: 304 48
:geoo/steel/16x32o.S: 304 16
:geoo/steel/16x32o.S: 176 112
:geoo/steel/16x32o.S: 176 144
:geoo/steel/32x16o.S: 176 178
:geoo/steel/32x16o.S: 208 178
:geoo/steel/32x16o.S: 240 178
:matt/bricks/12: 288 96
:matt/bricks/12: 288 128
:matt/bricks/12: 288 162
:matt/bricks/12: 288 160
:geoo/steel/32x16o.S: 272 178
:geoo/steel/32x16o.S: 320 80
:geoo/steel/32x16o.S: 352 80
:geoo/steel/16x32o.S: 368 48
:geoo/steel/16x16o.S: 368 32
:geoo/steel/32x16o.S: 384 80
:geoo/steel/32x16o.S: 416 80
:geoo/steel/16x32o.S: 432 48
:geoo/steel/16x32o.S: 432 16
:matt/bricks/01: 360 96
:matt/bricks/01: 360 112
:matt/bricks/01: 360 128
:matt/bricks/01: 360 144
