$BUILT 2022-01-28 01:12:07
$AUTHOR Flopsy
$ENGLISH It's All Good Man! 2P

#INTENDED_NUMBER_OF_PLAYERS 2
$TAG classic

#SIZE_X 1392
#SIZE_Y 224

#SECONDS 60
#INITIAL 80
#SPAWN_INTERVAL 16

#WALKER 50
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 5
#BLOCKER 1
#BUILDER 40
#PLATFORMER 40
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 50
#BATTER 20
#CUBER 5

:matt/bricks/Hatch.H: 32 0
:matt/bricks/Hatch.H: 128 0 r

:matt/bricks/Goal.G: 1136 48
:matt/bricks/Goal.G: 1264 48

:amanda/forest/frog.T: 752 48

:simon/crystal.W: 0 160
:simon/crystal.W: 48 160
:simon/crystal.W: 96 160
:simon/crystal.W: 144 160
:simon/crystal.W: 192 160
:simon/crystal.W: 240 160
:simon/crystal.W: 288 160
:geoo/construction/sawblade_medium.F: 416 144
:geoo/construction/sawblade_medium.F: 464 144
:geoo/construction/sawblade_medium.F: 464 0
:geoo/construction/sawblade_medium.F: 416 0
:simon/crystal.W: 608 160
:simon/crystal.W: 656 160
:simon/crystal.W: 704 160
:simon/crystal.W: 752 160
:simon/crystal.W: 800 160
:simon/crystal.W: 848 160
:geoo/construction/sawblade_medium.F: 816 112
:simon/crystal.W: 960 160
:simon/crystal.W: 1312 160

:matt/bricks/02a: 32 48
:matt/bricks/03a: -32 16
:matt/bricks/02a: 128 48
:matt/bricks/03a: 192 16
:matt/bricks/04a: 32 80
:matt/bricks/03a: -32 80
:matt/bricks/02a: 16 128
:matt/bricks/01a: 80 144
:matt/bricks/01a: -16 144
:matt/bricks/01a: 0 192
:matt/bricks/01a: 32 192
:matt/bricks/01a: 64 192
:matt/bricks/01a: 96 192
:matt/bricks/01a: 128 192
:matt/bricks/01a: 112 144
:matt/bricks/01a: 144 144
:matt/bricks/01a: 160 192
:matt/bricks/01a: 192 192
:matt/bricks/01a: 208 144
:matt/bricks/01a: 224 192
:matt/bricks/01a: 240 144
:matt/bricks/01a: 256 192
:geoo/steel/32x32o.S: 224 48
:geoo/steel/32x32o.S: 224 16
:matt/bricks/01a: 320 192
:geoo/steel/32x32o.S: 336 176
:geoo/steel/32x32o.S: 336 144
:geoo/steel/32x32o.S: 336 112
:geoo/steel/32x32o.S: 336 80
:geoo/steel/32x32o.S: 336 48
:matt/bricks/01a: 288 192
:geoo/steel/16x16o.S: 208 64
:geoo/steel/16x16o.S: 192 64
:matt/bricks/17: 368 48 frr
:matt/bricks/01a: 384 192
:matt/bricks/17: 368 152
:matt/bricks/01a: 416 192
:matt/bricks/01a: 448 192
:matt/bricks/01a: 480 192
:matt/bricks/01a: 512 192
:matt/bricks/01a: 544 192
:matt/bricks/17: 512 48
:matt/bricks/17: 512 152 frr
:matt/bricks/01a: 256 0
:matt/bricks/01a: 288 0
:matt/bricks/01a: 320 0
:matt/bricks/01a: 352 0
:matt/bricks/01a: 384 0
:matt/bricks/01a: 416 0
:matt/bricks/01a: 448 0
:matt/bricks/01a: 480 0
:matt/bricks/01a: 512 0
:matt/bricks/01a: 544 0
:matt/bricks/01a: 576 0
:geoo/steel/16x16o.S: 224 0
:geoo/steel/16x16o.S: 240 0
:geoo/steel/32x32o.S: 576 176
:geoo/steel/32x32o.S: 576 144
:geoo/steel/32x32o.S: 576 112
:geoo/steel/32x32o.S: 576 80
:geoo/steel/32x32o.S: 576 48
:matt/bricks/17: 608 48 frr
:matt/bricks/18: 704 176
:matt/bricks/18: 720 176
:matt/bricks/18: 720 144
:matt/bricks/18: 704 144
:matt/bricks/18: 704 112
:matt/bricks/18: 720 112
:matt/bricks/18: 704 80
:matt/bricks/18: 720 80
:matt/bricks/18: 704 48
:matt/bricks/18: 720 48
:matt/bricks/18: 704 16
:matt/bricks/18: 720 16
:matt/bricks/01a: 608 0
:matt/bricks/01a: 640 0
:matt/bricks/01a: 672 0
:matt/bricks/01a: 704 0
:matt/bricks/01a: 736 0
:matt/bricks/01a: 768 0
:matt/bricks/01a: 608 192
:matt/bricks/01a: 640 192
:matt/bricks/01a: 672 192
:matt/bricks/01a: 704 192
:matt/bricks/01a: 736 192
:matt/bricks/01a: 768 192
:matt/bricks/01a: 800 192
:matt/bricks/18: 768 160
:matt/bricks/18: 784 160
:matt/bricks/18: 768 128
:matt/bricks/18: 784 128
:matt/bricks/18: 784 96
:matt/bricks/18: 768 96
:matt/bricks/01a: 832 192
:matt/bricks/01a: 864 192
:matt/bricks/01a: 800 0
