$BUILT 2017-09-20 22:55:13
$AUTHOR geoo
$ENGLISH Chasing Upwards

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1632
#SIZE_Y 400

#SECONDS 110
#INITIAL 120
#REQUIRED 20
#SPAWN_INTERVAL 13

#WALKER 70
#RUNNER 10
#CLIMBER 20
#EXPLODER2 15
#BUILDER 128
#BASHER 60
#MINER 40
#DIGGER 10
#JUMPER 40
#CUBER 20

:geoo/construction/Hatch.H: 1248 256
:geoo/construction/Hatch.H: 352 256 r

:matt/marble/Goal.G: 368 80
:matt/marble/Goal.G: 1200 80

:matt/water.W: 384 368
:matt/water.W: 416 368
:matt/water.W: 448 368
:matt/water.W: 480 368
:matt/water.W: 512 368
:matt/water.W: 736 368
:matt/water.W: 768 368
:matt/water.W: 800 368
:matt/water.W: 832 368
:matt/water.W: 864 368
:matt/water.W: 1088 368
:matt/water.W: 1120 368
:matt/water.W: 1152 368
:matt/water.W: 1184 368
:matt/water.W: 1216 368

:matt/underworld/02: 0 0
:matt/underworld/02: 0 96
:matt/underworld/02: 0 192
:matt/underworld/02: 0 288
:matt/underworld/00: 0 384
:matt/underworld/02: 64 0
:matt/underworld/02: 64 96
:matt/underworld/02: 64 192
:matt/underworld/02: 64 288
:matt/underworld/00: 64 384
:matt/underworld/02: 128 0
:matt/underworld/02: 128 96
:matt/underworld/02: 128 192
:matt/underworld/02: 128 288
:matt/underworld/00: 128 384
:matt/underworld/02: 192 0
:matt/underworld/02: 192 96
:matt/underworld/02: 192 192
:matt/underworld/02: 192 288
:matt/underworld/00: 192 384
:matt/underworld/02: 256 352
:matt/underworld/02: 320 352
:geoo/steel/32x32o.S: 352 368
:matt/underworld/02: 544 0
:matt/underworld/02: 544 96
:matt/underworld/02: 544 192
:matt/underworld/02: 544 288
:matt/underworld/00: 544 384
:matt/underworld/02: 608 0
:matt/underworld/02: 608 96
:matt/underworld/02: 608 192
:matt/underworld/02: 608 288
:matt/underworld/00: 608 384
:matt/underworld/02: 672 0
:matt/underworld/02: 672 96
:matt/underworld/02: 672 192
:matt/underworld/02: 672 288
:matt/underworld/00: 672 384
:matt/underworld/02: 896 0
:matt/underworld/02: 896 96
:matt/underworld/02: 896 192
:matt/underworld/02: 896 288
:matt/underworld/00: 896 384
:matt/underworld/02: 960 0
:matt/underworld/02: 960 96
:matt/underworld/02: 960 192
:matt/underworld/02: 960 288
:matt/underworld/00: 960 384
:matt/underworld/02: 1024 0
:matt/underworld/02: 1024 96
:matt/underworld/02: 1024 192
:matt/underworld/02: 1024 288
:matt/underworld/00: 1024 384
:matt/underworld/02: 1376 0
:matt/underworld/02: 1376 96
:matt/underworld/02: 1376 192
:matt/underworld/02: 1376 288
:matt/underworld/00: 1376 384
:matt/underworld/02: 1440 0
:matt/underworld/02: 1440 96
:matt/underworld/02: 1440 192
:matt/underworld/02: 1440 288
:matt/underworld/00: 1440 384
:matt/underworld/02: 1504 0
:matt/underworld/02: 1504 96
:matt/underworld/02: 1504 192
:matt/underworld/02: 1504 288
:matt/underworld/00: 1504 384
:matt/underworld/02: 1568 0
:matt/underworld/02: 1568 96
:matt/underworld/02: 1568 192
:matt/underworld/02: 1568 288
:matt/underworld/00: 1568 384
:matt/underworld/02: 1248 352
:matt/underworld/02: 1312 352
:geoo/steel/32x32o.S: 1248 368
:geoo/steel/64x32o.S: 1200 128
:geoo/steel/64x32o.S: 368 128
