$BUILT 2012-12-05 00:39:35
$AUTHOR geoo
$GERMAN 
$ENGLISH Ghetto wars

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 90
#INITIAL 120
#REQUIRED 20
#SPAWN_INTERVAL 4
#SPAWN_INTERVAL_FAST 4

#CLIMBER 3
#PLATFORMER 5
#NOTHING 0
#NOTHING 0
#EXPLODER2 20
#BATTER 100
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 432 32 r
:geoo/construction/Hatch.H: 176 32
:geoo/construction/Hatch.H: 432 96 r
:geoo/construction/Hatch.H: 176 96
:geoo/construction/Hatch.H: 432 160 r
:geoo/construction/Hatch.H: 176 160
:geoo/construction/Hatch.H: 432 224 r
:geoo/construction/Hatch.H: 176 224

:geoo/construction/Goal2.G: 544 304
:geoo/construction/Goal2.G: 32 304

:geoo/construction/Laseremit_hzl_16.F: 128 336
:geoo/construction/Laseremit_hzl_16.F: 128 352
:geoo/construction/Laseremit_hzl_16.F: 128 368
:geoo/construction/Laseremit_hzl_16.F: 128 384
:geoo/construction/Laseremit_hzr_16.F: 496 336
:geoo/construction/Laseremit_hzr_16.F: 496 352
:geoo/construction/Laseremit_hzr_16.F: 496 368
:geoo/construction/Laseremit_hzr_16.F: 496 384
:geoo/construction/Laser_hz_64.F: 144 336
:geoo/construction/Laser_hz_64.F: 208 336
:geoo/construction/Laser_hz_64.F: 272 336
:geoo/construction/Laser_hz_64.F: 336 336
:geoo/construction/Laser_hz_64.F: 400 336
:geoo/construction/Laser_hz_64.F: 432 336
:geoo/construction/Laser_hz_64.F: 144 352
:geoo/construction/Laser_hz_64.F: 208 352
:geoo/construction/Laser_hz_64.F: 272 352
:geoo/construction/Laser_hz_64.F: 336 352
:geoo/construction/Laser_hz_64.F: 400 352
:geoo/construction/Laser_hz_64.F: 432 352
:geoo/construction/Laser_hz_64.F: 144 368
:geoo/construction/Laser_hz_64.F: 208 368
:geoo/construction/Laser_hz_64.F: 272 368
:geoo/construction/Laser_hz_64.F: 336 368
:geoo/construction/Laser_hz_64.F: 400 368
:geoo/construction/Laser_hz_64.F: 432 368
:geoo/construction/Laser_hz_64.F: 144 384
:geoo/construction/Laser_hz_64.F: 208 384
:geoo/construction/Laser_hz_64.F: 272 384
:geoo/construction/Laser_hz_64.F: 336 384
:geoo/construction/Laser_hz_64.F: 400 384
:geoo/construction/Laser_hz_64.F: 432 384
:geoo/construction/sawblade_medium.F: 288 270
:geoo/construction/Laseremit_hzl_16.F: 128 320
