$BUILT 2024-07-21 13:18:55
$AUTHOR Hyperlodge
$ENGLISH Babylonian XMas

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 896
#SIZE_Y 400
#BACKGROUND_RED 43
#BACKGROUND_GREEN 16
#BACKGROUND_BLUE 131

#SECONDS 70
#INITIAL 150
#SPAWN_INTERVAL 50

#WALKER 10
#RUNNER 10
#CLIMBER 10
#FLOATER 100
#EXPLODER2 -1
#BLOCKER 100
#BUILDER 10
#PLATFORMER -1
#BASHER 10
#MINER 10
#DIGGER 10
#JUMPER 10
#BATTER -1
#CUBER 10

:raymanni/lab/hatch.H: 16 256
:raymanni/lab/hatch.H: 848 256 r

:raymanni/lab/goal.G: 696 208
:raymanni/lab/goal.G: 136 208

:raymanni/gore/bonesaw.F: 416 308

:geoo/abstract/tbeam_down.T: 0 160
:geoo/abstract/tbeam_down.T: 0 128
:geoo/abstract/tbeam_down.T: 0 96
:geoo/abstract/tbeam_down.T: 0 64
:geoo/abstract/tbeam_down.T: 0 32
:geoo/abstract/tbeam_down.T: 0 0
:geoo/abstract/tbeam_down.T: 0 192
:geoo/abstract/tbeam_down.T: 864 160
:geoo/abstract/tbeam_down.T: 864 128
:geoo/abstract/tbeam_down.T: 864 96
:geoo/abstract/tbeam_down.T: 864 64
:geoo/abstract/tbeam_down.T: 864 32
:geoo/abstract/tbeam_down.T: 864 0
:geoo/abstract/tbeam_down.T: 864 192
:geoo/abstract/tbeam_left.T: 320 32
:geoo/abstract/tbeam_left.T: 288 32
:geoo/abstract/tbeam_left.T: 256 32
:geoo/abstract/tbeam_left.T: 224 32
:geoo/abstract/tbeam_left.T: 192 32
:geoo/abstract/tbeam_left.T: 160 32
:geoo/abstract/tbeam_left.T: 128 32
:geoo/abstract/tbeam_left.T: 96 32
:geoo/abstract/tbeam_left.T: 64 32
:geoo/abstract/tbeam_right.T: 544 32
:geoo/abstract/tbeam_right.T: 576 32
:geoo/abstract/tbeam_right.T: 608 32
:geoo/abstract/tbeam_right.T: 640 32
:geoo/abstract/tbeam_right.T: 672 32
:geoo/abstract/tbeam_right.T: 704 32
:geoo/abstract/tbeam_right.T: 736 32
:geoo/abstract/tbeam_right.T: 768 32
:geoo/abstract/tbeam_right.T: 800 32

:geoo/steel/64x32o.S: 128 368
:geoo/steel/64x32o.S: 192 368
:geoo/steel/64x32o.S: 256 368
:geoo/steel/64x32o.S: 320 368
:geoo/steel/64x32o.S: 384 368
:geoo/steel/64x32o.S: 448 368
:geoo/steel/64x32o.S: 512 368
:geoo/steel/64x32o.S: 576 368
:geoo/steel/64x32o.S: 704 368
:geoo/steel/64x32o.S: 640 368
:geoo/steel/dark_32x64o.S: 304 304
:geoo/steel/dark_32x64o.S: 560 304
:geoo/steel/dark_32x64o.S: 320 240
:geoo/steel/dark_32x64o.S: 544 240
:geoo/steel/dark_32x64o.S: 336 176
:geoo/steel/dark_32x64o.S: 528 176
:geoo/steel/dark_32x16o.S: 240 352
:geoo/steel/dark_32x16o.S: 624 352
:geoo/steel/dark_32x16o.S: 176 352
:geoo/steel/dark_32x16o.S: 688 352
:geoo/steel/dark_32x64o.S: 736 304
:geoo/steel/dark_32x64o.S: 128 304
:geoo/steel/dark_32x64o.S: 352 112
:geoo/steel/dark_32x16o.S: 368 176
:geoo/steel/dark_32x16o.S: 496 176
:geoo/steel/dark_32x64o.S: 512 112
:geoo/steel/dark_32x16o.S: 368 96
:geoo/steel/dark_32x16o.S: 496 96
:geoo/steel/dark_32x16o.S: 400 96
:geoo/steel/dark_32x16o.S: 464 96
:geoo/steel/dark_32x64o.S: 384 32
:geoo/steel/dark_32x64o.S: 480 32
:geoo/steel/dark_32x16o.S: 416 208
:geoo/steel/dark_16x32o.S: 0 272
:geoo/steel/dark_16x32o.S: 0 240
:geoo/steel/dark_16x32o.S: 880 272
:geoo/steel/dark_16x32o.S: 880 240
:geoo/steel/64x32o.S: 0 368
:geoo/steel/64x32o.S: 64 368
:geoo/steel/64x32o.S: 832 368
:geoo/steel/64x32o.S: 768 368
:geoo/steel/dark_16x32o.S: 736 272
:geoo/steel/dark_16x32o.S: 144 272
:geoo/steel/dark_32x16o.S: 704 272
:geoo/steel/dark_32x16o.S: 160 272
:raymanni/toys/beam_13.S: 444 336
:geoo/steel/dark_32x16o.S: 16 240
:geoo/steel/dark_32x16o.S: 848 240
:geoo/steel/dark_16x16o.S: 0 224
:geoo/steel/dark_16x16o.S: 880 224
:raymanni/holiday/cane_b: 752 272
:raymanni/holiday/cane_a: 112 272
:raymanni/holiday/gift1: 408 304 r
:raymanni/holiday/gift1: 456 304 fr
:raymanni/holiday/garland: 416 224
:raymanni/holiday/bauble_red: 432 160 rr
:raymanni/holiday/bauble_string: 432 192
:geoo/steel/dark_32x16o.S: 448 208
:raymanni/holiday/brick_green: 64 336
:raymanni/holiday/brick_red: 32 304
:raymanni/holiday/brick_green: 0 336
:raymanni/holiday/brick_red: 96 304
:raymanni/holiday/brick_red: 0 304
:raymanni/holiday/brick_green: 32 336
:raymanni/holiday/brick_red: 64 304
:raymanni/holiday/brick_green: 96 336
:raymanni/holiday/brick_green: 832 336
:raymanni/holiday/brick_red: 768 304
:raymanni/holiday/brick_green: 768 336
:raymanni/holiday/brick_red: 832 304
:raymanni/holiday/brick_red: 800 304
:raymanni/holiday/brick_green: 800 336
:raymanni/holiday/brick_red: 864 304
:raymanni/holiday/brick_green: 864 336
