$BUILT 2024-07-18 13:20:01
$AUTHOR Hyperlodge
$ENGLISH Con, con... confusion!

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 656
#SIZE_Y 408
#BACKGROUND_RED 48
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 80

#SECONDS 120
#INITIAL 100
#SPAWN_INTERVAL 60

#WALKER 10
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 100
#BLOCKER 100
#BUILDER 100
#PLATFORMER 100
#BASHER 10
#MINER 10
#DIGGER 10
#JUMPER 10
#BATTER 10

:matt/carnival/Hatch.H: 224 336
:matt/carnival/Hatch.H: 104 88 r
:matt/carnival/Hatch.H: 488 336
:matt/carnival/Hatch.H: 64 88 r
:matt/carnival/Hatch.H: 528 88
:matt/carnival/Hatch.H: 368 336 r
:matt/carnival/Hatch.H: 488 88
:matt/carnival/Hatch.H: 104 336 r

:geoo/abstract/goal.G: 64 336
:geoo/abstract/goal.G: 560 336

:proxima/flame.F: 308 344
:proxima/flame.F: 308 310
:geoo/construction/Laser_vr_64.F: 320 256
:geoo/construction/sawblade.F: 308 213

:amanda/steel/steel24x8.S: 400 400
:amanda/steel/steel24x8.S: 424 400
:amanda/steel/steel24x8.S: 448 400
:amanda/steel/steel24x8.S: 472 400
:amanda/steel/steel24x8.S: 496 400
:amanda/steel/steel24x8.S: 520 400
:amanda/steel/steel24x8.S: 536 392
:amanda/steel/steel24x8.S: 552 384
:amanda/steel/steel24x8.S: 576 384
:amanda/steel/steel24x8.S: 592 392
:amanda/steel/steel24x8.S: 608 400
:amanda/steel/steel24x8.S: 376 400
:amanda/steel/steel24x8.S: 360 392
:amanda/steel/steel24x8.S: 344 384
:amanda/steel/steel24x8.S: 328 376
:amanda/steel/steel24x8.S: 256 400
:amanda/steel/steel24x8.S: 272 392
:amanda/steel/steel24x8.S: 288 384
:amanda/steel/steel24x8.S: 304 376
:amanda/steel/steel24x8.S: 304 360
:amanda/steel/steel24x8.S: 328 360
:amanda/steel/steel24x8.S: 328 344
:amanda/steel/steel24x8.S: 304 344
:amanda/steel/steel24x8.S: 304 328
:amanda/steel/steel24x8.S: 328 328
:amanda/steel/steel24x8.S: 112 400
:amanda/steel/steel24x8.S: 136 400
:amanda/steel/steel24x8.S: 160 400
:amanda/steel/steel24x8.S: 184 400
:amanda/steel/steel24x8.S: 208 400
:amanda/steel/steel24x8.S: 232 400
:amanda/steel/steel24x8.S: 40 392
:amanda/steel/steel24x8.S: 56 384
:amanda/steel/steel24x8.S: 80 384
:amanda/steel/steel24x8.S: 96 392
:amanda/steel/steel24x8.S: 24 400
:matt/bricks/18: 492 368
:matt/bricks/18: 452 368
:matt/bricks/18: 412 368
:matt/bricks/18: 492 336
:matt/bricks/18: 452 336
:matt/bricks/18: 412 336
:matt/bricks/18: 492 304
:matt/bricks/18: 452 304
:matt/bricks/18: 412 304
:matt/bricks/18: 492 272
:matt/bricks/18: 452 272
:matt/bricks/18: 412 272
:matt/bricks/20: 404 256
:matt/bricks/20: 444 256
:matt/bricks/20: 484 256
:matt/bricks/19: 404 384
