$BUILT 2024-07-18 11:45:26
$AUTHOR Hyperlodge
$ENGLISH Hard as Hell

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1288
#SIZE_Y 400
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 79
#BACKGROUND_GREEN 15
#BACKGROUND_BLUE 63

#SECONDS 90
#INITIAL 20
#SPAWN_INTERVAL 1

#WALKER 1
#RUNNER 1
#CLIMBER 1
#FLOATER 1
#EXPLODER2 10
#BLOCKER -1
#BUILDER -1
#PLATFORMER 1
#BASHER 1
#MINER 1
#DIGGER 1
#JUMPER 1
#BATTER -1
#CUBER 1

:matt/winter/Hatch.H: 92 58
:matt/winter/Hatch.H: 1132 58 r

:matt/bricks/Goal.G: 660 344
:matt/bricks/Goal.G: 564 344

:amanda/steel/steel_flange_left24x16.S: 56 96
:amanda/steel/steel_flange_right24x16.S: 1256 96
:amanda/steel/steel24x8.S: 8 112
:amanda/steel/steel24x8.S: 32 112
:amanda/steel/steel24x8.S: 56 112
:amanda/steel/steel_flange_left24x16.S: 136 96
:amanda/steel/steel_flange_right24x16.S: 88 96
:amanda/steel/steel24x8.S: 88 112
:amanda/steel/steel24x8.S: 112 112
:amanda/steel/steel24x8.S: 136 112
:amanda/steel/steel_flange_left24x16.S: 216 96
:amanda/steel/steel_flange_right24x16.S: 168 96
:amanda/steel/steel24x8.S: 168 112
:amanda/steel/steel24x8.S: 192 112
:amanda/steel/steel24x8.S: 216 112
:amanda/steel/steel_flange_left24x16.S: 296 96
:amanda/steel/steel_flange_right24x16.S: 248 96
:amanda/steel/steel24x8.S: 248 112
:amanda/steel/steel24x8.S: 272 112
:amanda/steel/steel24x8.S: 296 112
:amanda/steel/steel_flange_left24x16.S: 376 96
:amanda/steel/steel_flange_right24x16.S: 328 96
:amanda/steel/steel24x8.S: 328 112
:amanda/steel/steel24x8.S: 352 112
:amanda/steel/steel24x8.S: 376 112
:amanda/steel/steel_flange_left24x16.S: 456 96
:amanda/steel/steel_flange_right24x16.S: 408 96
:amanda/steel/steel24x8.S: 408 112
:amanda/steel/steel24x8.S: 432 112
:amanda/steel/steel24x8.S: 456 112
:amanda/steel/steel_flange_left24x16.S: 536 96
:amanda/steel/steel_flange_right24x16.S: 488 96
:amanda/steel/steel24x8.S: 488 112
:amanda/steel/steel24x8.S: 512 112
:amanda/steel/steel24x8.S: 536 112
:amanda/steel/steel_flange_left24x16.S: 616 96 frr
:amanda/steel/steel_flange_right24x16.S: 568 96
:amanda/steel/steel24x8.S: 568 112
:amanda/steel/steel24x8.S: 592 112
:amanda/steel/steel24x8.S: 616 112
:amanda/steel/steel_flange_left24x16.S: 50 136
:amanda/steel/steel_flange_right24x16.S: 1262 136
:amanda/steel/steel24x8.S: 2 152
:amanda/steel/steel24x8.S: 26 152
:amanda/steel/steel24x8.S: 50 152
:amanda/steel/steel_flange_left24x16.S: 128 136
:amanda/steel/steel_flange_right24x16.S: 80 136
:amanda/steel/steel24x8.S: 80 152
:amanda/steel/steel24x8.S: 104 152
:amanda/steel/steel24x8.S: 128 152
:amanda/steel/steel_flange_left24x16.S: 208 136
:amanda/steel/steel_flange_right24x16.S: 160 136
:amanda/steel/steel24x8.S: 160 152
:amanda/steel/steel24x8.S: 184 152
:amanda/steel/steel24x8.S: 208 152
:amanda/steel/steel_flange_left24x16.S: 288 136
:amanda/steel/steel_flange_right24x16.S: 240 136
:amanda/steel/steel24x8.S: 240 152
:amanda/steel/steel24x8.S: 264 152
:amanda/steel/steel24x8.S: 288 152
:amanda/steel/steel_flange_left24x16.S: 368 136
:amanda/steel/steel_flange_right24x16.S: 320 136
:amanda/steel/steel24x8.S: 320 152
:amanda/steel/steel24x8.S: 344 152
:amanda/steel/steel24x8.S: 368 152
:amanda/steel/steel_flange_left24x16.S: 448 136
:amanda/steel/steel_flange_right24x16.S: 400 136
