$BUILT 2024-09-27 12:26:17
$AUTHOR Hyperlodge
$ENGLISH Hyper Egypt

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 768
#SIZE_Y 784
#TORUS_X 1
#TORUS_Y 0
#BACKGROUND_RED 48
#BACKGROUND_GREEN 15
#BACKGROUND_BLUE 32

#SECONDS 93
#INITIAL 111
#SPAWN_INTERVAL 66

#WALKER 10
#RUNNER -1
#CLIMBER 10
#FLOATER 10
#EXPLODER2 -1
#BLOCKER -1
#BUILDER -1
#PLATFORMER 3
#MINER 10
#JUMPER -1
#BATTER 10
#CUBER 10

:geoo/sandstone/Hatch.H: 272 560 r
:geoo/sandstone/Hatch.H: 656 560 r

:geoo/sandstone/Goal.G: 480 608
:geoo/sandstone/Goal.G: 96 608

:proxima/flame.F: 300 688
:geoo/construction/Laser_vr_64.F: 528 488
:geoo/construction/Laser_vr_64.F: 528 536
:proxima/flame.F: 492 688
:proxima/flame.F: 684 688
:geoo/construction/Laser_vr_64.F: 144 488
:geoo/construction/Laser_vr_64.F: 144 536
:proxima/flame.F: 108 688

:geoo/abstract/tbeam_up.T: 632 640
:geoo/abstract/tbeam_up.T: 632 608
:geoo/abstract/tbeam_up.T: 632 576
:geoo/abstract/tbeam_up.T: 632 544
:geoo/abstract/tbeam_up.T: 632 512
:geoo/abstract/tbeam_up.T: 632 480
:geoo/abstract/tbeam_up.T: 632 448
:geoo/abstract/tbeam_up.T: 632 416
:geoo/abstract/tbeam_up.T: 632 384
:geoo/abstract/tbeam_up.T: 632 352
:geoo/abstract/tbeam_up.T: 632 320
:geoo/abstract/tbeam_up.T: 632 288
:geoo/abstract/tbeam_up.T: 632 256
:geoo/abstract/tbeam_up.T: 632 224
:geoo/abstract/tbeam_up.T: 632 64
:geoo/abstract/tbeam_up.T: 632 32
:geoo/abstract/tbeam_left.T: 632 0
:geoo/abstract/tbeam_down.T: 480 464
:geoo/abstract/tbeam_right.T: 480 496
:geoo/abstract/tbeam_right.T: 408 608
