$BUILT 2024-07-21 12:47:52
$AUTHOR Hyperlodge
$ENGLISH Many Ways

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1408
#SIZE_Y 392
#BACKGROUND_RED 31
#BACKGROUND_GREEN 127
#BACKGROUND_BLUE 96

#SECONDS 90
#INITIAL 90
#SPAWN_INTERVAL 90

#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 -1
#BLOCKER 10
#BUILDER 100
#MINER 10
#JUMPER 10
#BATTER 10
#CUBER -1

:simon/hatch001.H: 1312 296 r
:simon/hatch001.H: 32 296
:simon/hatch001.H: 832 264 r
:simon/hatch001.H: 512 264

:geoo/abstract/goal.G: 120 280
:geoo/abstract/goal.G: 1256 280
:geoo/abstract/goal.G: 592 276
:geoo/abstract/goal.G: 784 276
:geoo/abstract/goal.G: 464 276
:geoo/abstract/goal.G: 912 276

:raymanni/gore/acid.W: 144 38
:raymanni/gore/acid.W: 144 18
:raymanni/gore/acid.W: 1232 38
:raymanni/gore/acid.W: 1232 18

:geoo/abstract/tbeam_up.T: 688 328
:geoo/abstract/tbeam_up.T: 688 296
:geoo/abstract/tbeam_up.T: 688 264
:geoo/abstract/tbeam_up.T: 688 232
:geoo/abstract/tbeam_up.T: 688 200
:geoo/abstract/tbeam_up.T: 688 168
:geoo/abstract/tbeam_up.T: 688 136
:geoo/abstract/tbeam_left.T: 672 40
:geoo/abstract/tbeam_right.T: 704 40
:geoo/abstract/tbeam_right.T: 720 72
:geoo/abstract/tbeam_left.T: 656 72
:geoo/abstract/tbeam_up.T: 688 72
:geoo/abstract/tbeam_up.T: 688 104
:raymanni/lab/launcher_left.T: 336 8
:raymanni/lab/launcher_right.T: 1040 8
:geoo/construction/steam_left.T: 1026 318
:geoo/construction/steam_left.T: 1026 332
:geoo/construction/steam_left.T: 1026 346
:geoo/construction/steam_right.T: 351 344
:geoo/construction/steam_right.T: 351 330
:geoo/construction/steam_right.T: 351 316

:geoo/steel/silhouette_64x32.S: 384 360
:geoo/steel/silhouette_64x32.S: 448 360
:geoo/steel/silhouette_64x32.S: 512 360
:geoo/steel/silhouette_64x32.S: 576 360
:geoo/steel/silhouette_64x32.S: 640 360
:geoo/steel/silhouette_64x32.S: 704 360
:geoo/steel/silhouette_64x32.S: 768 360
:geoo/steel/silhouette_64x32.S: 832 360
:geoo/steel/silhouette_64x32.S: 896 360
:geoo/steel/silhouette_64x32.S: 960 360
:geoo/steel/silhouette_64x32.S: 928 324
:geoo/steel/silhouette_64x32.S: 416 324
:geoo/steel/silhouette_64x32.S: 480 324
:geoo/steel/silhouette_64x32.S: 544 324
:geoo/steel/silhouette_64x32.S: 608 324
:geoo/steel/silhouette_64x32.S: 864 324
:geoo/steel/silhouette_64x32.S: 800 324
