$BUILT 2024-07-18 13:14:35
$AUTHOR Hyperlodge
$ENGLISH Scaffolds

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1424
#SIZE_Y 528
#BACKGROUND_RED 0
#BACKGROUND_GREEN 32
#BACKGROUND_BLUE 16

#SECONDS 90
#INITIAL 150
#SPAWN_INTERVAL 15

#RUNNER 100
#CLIMBER 100
#FLOATER 100
#EXPLODER2 100
#BLOCKER 100
#BUILDER 100
#MINER 100
#JUMPER 100
#BATTER 100

:geoo/abstract/hatch.H: 0 456
:geoo/abstract/hatch.H: 1392 456 r

:geoo/abstract/goal.G: 880 80
:geoo/abstract/goal.G: 512 80

:proxima/flame.F: 40 480
:proxima/flame.F: 1344 480

:geoo/construction/steam_up.T: 72 488
:geoo/construction/steam_up.T: 208 360
:geoo/construction/steam_up.T: 360 232
:geoo/construction/steam_up.T: 88 488
:geoo/construction/steam_up.T: 224 360
:geoo/construction/steam_up.T: 344 232
:raymanni/lab/launcher_right.T: 96 208
:raymanni/lab/launcher_right.T: 96 176
:raymanni/lab/launcher_right.T: 96 144
:raymanni/lab/launcher_right.T: 96 112
:raymanni/lab/launcher_right.T: 96 304
:raymanni/lab/launcher_right.T: 96 272
:raymanni/lab/launcher_right.T: 96 240
:raymanni/lab/launcher_right.T: 96 80
:raymanni/lab/launcher_right.T: 96 48
:raymanni/lab/launcher_right.T: 96 16
:raymanni/lab/launcher_right.T: 96 336
:geoo/construction/steam_up.T: 360 168
:geoo/construction/steam_up.T: 344 168
:raymanni/lab/launcher_right.T: 0 208
:raymanni/lab/launcher_right.T: 0 176
:raymanni/lab/launcher_right.T: 0 144
:raymanni/lab/launcher_right.T: 0 112
:raymanni/lab/launcher_right.T: 0 304
:raymanni/lab/launcher_right.T: 0 272
:raymanni/lab/launcher_right.T: 0 240
:raymanni/lab/launcher_right.T: 0 80
:raymanni/lab/launcher_right.T: 0 48
:raymanni/lab/launcher_right.T: 0 16
:raymanni/lab/launcher_right.T: 0 336
:raymanni/lab/launcher_right.T: 0 400
:raymanni/lab/launcher_right.T: 0 368
:geoo/construction/steam_up.T: 1336 488
:geoo/construction/steam_up.T: 1200 360
:geoo/construction/steam_up.T: 1048 232
:geoo/construction/steam_up.T: 1320 488
:geoo/construction/steam_up.T: 1184 360
:geoo/construction/steam_up.T: 1064 232
:geoo/construction/steam_up.T: 1048 168
:geoo/construction/steam_up.T: 1064 168
:raymanni/lab/launcher_left.T: 1296 16
:raymanni/lab/launcher_left.T: 1296 48
:raymanni/lab/launcher_left.T: 1296 80
:raymanni/lab/launcher_left.T: 1296 112
:raymanni/lab/launcher_left.T: 1296 144
:raymanni/lab/launcher_left.T: 1296 176
:raymanni/lab/launcher_left.T: 1296 208
:raymanni/lab/launcher_left.T: 1296 240
:raymanni/lab/launcher_left.T: 1296 272
:raymanni/lab/launcher_left.T: 1296 304
:raymanni/lab/launcher_left.T: 1296 336
:raymanni/lab/launcher_left.T: 1392 16
:raymanni/lab/launcher_left.T: 1392 48
:raymanni/lab/launcher_left.T: 1392 80
:raymanni/lab/launcher_left.T: 1392 112
:raymanni/lab/launcher_left.T: 1392 144
:raymanni/lab/launcher_left.T: 1392 176
:raymanni/lab/launcher_left.T: 1392 208
:raymanni/lab/launcher_left.T: 1392 240
:raymanni/lab/launcher_left.T: 1392 272
:raymanni/lab/launcher_left.T: 1392 304
:raymanni/lab/launcher_left.T: 1392 336
:raymanni/lab/launcher_left.T: 1392 368
:raymanni/lab/launcher_left.T: 1392 400
:raymanni/lab/launcher_left.T: 672 16
:raymanni/lab/launcher_right.T: 720 16

:matt/marble/00: 0 488
:matt/marble/00: 8 488
:matt/marble/00: 16 488
:matt/marble/00: 24 488
:matt/marble/00: 32 488
:matt/marble/00: 40 488
:matt/marble/00: 48 488
:matt/marble/00: 56 488
:matt/marble/00: 64 488
:matt/marble/00b: 456 88
:matt/marble/00b: 464 88
:matt/marble/00b: 472 88
:matt/marble/00b: 480 88
:matt/marble/00b: 488 88
:matt/marble/00b: 496 88
:matt/marble/00b: 504 88
:matt/marble/00b: 456 48
:matt/marble/00b: 464 48
:matt/marble/00b: 472 48
:matt/marble/00b: 480 48
:matt/marble/00b: 488 48
:matt/marble/00b: 496 48
:matt/marble/00b: 504 48
:matt/marble/00b: 512 48
:matt/marble/00b: 520 48
:matt/marble/00b: 528 48
:matt/marble/00b: 536 48
:matt/marble/00b: 544 48
:matt/marble/00b: 552 48
:matt/marble/00b: 560 48
:matt/marble/00b: 568 48
:matt/marble/00b: 576 48
:matt/marble/00b: 584 48
:matt/marble/00b: 592 48
:matt/marble/00b: 600 48
:matt/marble/00b: 608 48
:matt/marble/00b: 616 48
:matt/marble/00b: 624 48
:matt/marble/00b: 632 48
:matt/marble/00b: 640 48
:matt/marble/00b: 648 48
:matt/marble/00b: 656 48
:matt/marble/00b: 664 48
:amanda/steel/steel24x8.S: 456 128
:amanda/steel/steel24x8.S: 480 128
:amanda/steel/steel24x8.S: 504 128
:amanda/steel/steel24x8.S: 528 128
:amanda/steel/steel24x8.S: 552 128
:amanda/steel/steel24x8.S: 576 128
:amanda/steel/steel24x8.S: 600 128
:amanda/steel/steel24x8.S: 624 128
:amanda/steel/steel24x8.S: 648 128
:geoo/construction/fence_rust_32x32: 696 144
:raymanni/lab/steel_1.S: 672 123
:raymanni/lab/steel_1.S: 672 91
:amanda/steel/steel24x8.S: 0 520
:amanda/steel/steel24x8.S: 24 520
:amanda/steel/steel24x8.S: 48 520
:amanda/steel/steel24x8.S: 72 520
:amanda/steel/steel24x8.S: 96 520
:amanda/steel/steel24x8.S: 120 520
:amanda/steel/steel24x8.S: 144 520
:amanda/steel/steel24x8.S: 168 520
:amanda/steel/steel24x8.S: 192 520
:amanda/steel/steel24x8.S: 216 520
:amanda/steel/steel24x8.S: 240 520
:amanda/steel/steel24x8.S: 264 520
:amanda/steel/steel24x8.S: 288 520
:amanda/steel/steel24x8.S: 312 520
:amanda/steel/steel24x8.S: 336 520
:amanda/steel/steel24x8.S: 360 520
:amanda/steel/steel24x8.S: 384 520
:amanda/steel/steel24x8.S: 408 520
:amanda/steel/steel24x8.S: 432 520
:amanda/steel/steel24x8.S: 456 520
:geoo/construction/stairs_rd_32.S: 464 496
:amanda/steel/steel24x8.S: 480 520
:amanda/steel/steel24x8.S: 504 520
:amanda/steel/steel24x8.S: 528 520
:amanda/steel/steel24x8.S: 552 520
:amanda/steel/steel24x8.S: 576 520
:amanda/steel/steel24x8.S: 600 520
:amanda/steel/steel24x8.S: 624 520
:amanda/steel/steel24x8.S: 648 520
:amanda/steel/steel24x8.S: 208 392
:amanda/steel/steel24x8.S: 232 392
:geoo/construction/stairs_rd_32.S: 272 400
:amanda/steel/steel24x8.S: 256 392
:amanda/steel/steel24x8.S: 344 264
:amanda/steel/steel24x8.S: 368 264
:amanda/steel/steel24x8.S: 392 264
:geoo/construction/stairs_rd_32.S: 336 432
:geoo/construction/stairs_rd_32.S: 400 464
:geoo/construction/stairs_rd_32.S: 440 128
:geoo/construction/stairs_rd_32.S: 504 160
:geoo/construction/stairs_rd_32.S: 480 208 frr
:geoo/construction/stairs_rd_32.S: 416 240 frr
:geoo/construction/stairs_rd_32.S: 544 176 frr
:amanda/steel/steel8x16.S: 448 112
:matt/marble/00b: 448 88
:matt/marble/00b: 448 48
:amanda/steel/steel24x8.S: 352 272
:amanda/steel/steel24x8.S: 376 272
:amanda/steel/steel24x8.S: 216 400
:amanda/steel/steel24x8.S: 240 400
:amanda/steel/steel24x8.S: 264 400
:amanda/steel/steel8x16.S: 608 160
:geoo/construction/stairs_rd_32.S: 408 272
:amanda/steel/steel24x8.S: 400 272
:geoo/construction/stairs_rd_32.S: 368 328 frr
:geoo/construction/stairs_rd_32.S: 432 296 frr
:geoo/construction/stairs_rd_32.S: 304 360 frr
:geoo/construction/stairs_rd_32.S: 288 368 frr
:amanda/steel/steel8x16.S: 496 280
:amanda/steel/steel8x16.S: 408 248
:geoo/construction/fence_rust_32x32: 696 48
:raymanni/lab/steel_1.S: 672 48
:geoo/construction/fence_rust_32x32: 696 240
:raymanni/lab/steel_1.S: 672 248
:geoo/construction/fence_rust_32x32: 696 208
:raymanni/lab/steel_1.S: 672 216
:geoo/construction/fence_rust_32x32: 696 176
:raymanni/lab/steel_1.S: 672 184
:raymanni/lab/steel_1.S: 672 152
:geoo/construction/fence_rust_32x32: 696 368
:raymanni/lab/steel_1.S: 672 371
:geoo/construction/fence_rust_32x32: 696 336
:raymanni/lab/steel_1.S: 672 339
:geoo/construction/fence_rust_32x32: 696 304
:raymanni/lab/steel_1.S: 672 307
:geoo/construction/fence_rust_32x32: 696 272
:raymanni/lab/steel_1.S: 672 275
:geoo/construction/fence_rust_32x32: 696 464
:raymanni/lab/steel_1.S: 672 464
:geoo/construction/fence_rust_32x32: 696 432
:raymanni/lab/steel_1.S: 672 432
:geoo/construction/fence_rust_32x32: 696 400
:raymanni/lab/steel_1.S: 672 400
:raymanni/lab/steel_1.S: 536 488
:raymanni/lab/steel_1.S: 536 456
:raymanni/lab/steel_1.S: 536 424
:raymanni/lab/steel_1.S: 640 464
:raymanni/lab/steel_1.S: 608 464
:raymanni/lab/steel_1.S: 640 336
:raymanni/lab/steel_1.S: 536 392
:raymanni/lab/steel_1.S: 568 392
:raymanni/lab/steel_1.S: 608 336
:raymanni/lab/steel_1.S: 536 360
:raymanni/lab/steel_1.S: 536 328
:raymanni/lab/steel_1.S: 536 296
:raymanni/lab/steel_1.S: 536 264
