$BUILT 2024-07-18 12:50:40
$AUTHOR Hyperlodge
$ENGLISH The Many Towers

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1032
#SIZE_Y 296
#BACKGROUND_RED 63
#BACKGROUND_GREEN 31
#BACKGROUND_BLUE 47

#SECONDS 110
#INITIAL 300
#SPAWN_INTERVAL 50

#RUNNER -1
#CLIMBER -1
#EXPLODER2 -1
#BLOCKER 10
#BATTER 10

:geoo/sandstone/Hatch.H: 736 240
:geoo/sandstone/Hatch.H: 200 240 r

:geoo/sandstone/Goal.G: 136 120
:geoo/sandstone/Goal.G: 832 120

:amanda/steel/steel24x8.S: 280 176
:amanda/steel/steel8x16.S: 288 160
:amanda/steel/steel8x16.S: 288 144
:amanda/steel/steel8x16.S: 288 128
:amanda/steel/steel8x16.S: 288 112
:amanda/steel/steel8x16.S: 288 96
:amanda/steel/steel8x16.S: 288 80
:amanda/steel/steel8x16.S: 288 64
:amanda/steel/steel24x8.S: 336 176
:amanda/steel/steel8x16.S: 344 160
:amanda/steel/steel8x16.S: 344 144
:amanda/steel/steel8x16.S: 344 128
:amanda/steel/steel8x16.S: 344 112
:amanda/steel/steel8x16.S: 344 96
:amanda/steel/steel8x16.S: 344 80
:amanda/steel/steel8x16.S: 344 64
:amanda/steel/steel8x16.S: 296 264
:amanda/steel/steel8x16.S: 296 248
:amanda/steel/steel8x16.S: 296 232
:amanda/steel/steel8x16.S: 296 184
:amanda/steel/steel24x8.S: 296 280
:amanda/steel/steel8x16.S: 336 264
:amanda/steel/steel8x16.S: 336 248
:amanda/steel/steel8x16.S: 336 232
:amanda/steel/steel8x16.S: 336 184
:amanda/steel/steel24x8.S: 320 280
:geoo/abstract/pipes/central7: 304 176
:amanda/steel/steel24x8.S: 392 176
:amanda/steel/steel8x16.S: 400 160
:amanda/steel/steel8x16.S: 400 144
:amanda/steel/steel8x16.S: 400 128
:amanda/steel/steel8x16.S: 400 112
:amanda/steel/steel8x16.S: 400 96
:amanda/steel/steel8x16.S: 400 80
:amanda/steel/steel8x16.S: 400 64
:amanda/steel/steel24x8.S: 448 176
:amanda/steel/steel8x16.S: 456 160
:amanda/steel/steel8x16.S: 456 144
:amanda/steel/steel8x16.S: 456 128
:amanda/steel/steel8x16.S: 456 112
:amanda/steel/steel8x16.S: 456 96
