$BUILT 2017-12-03 16:52:11
$AUTHOR IchoTolot
$ENGLISH What could possibly go wrong?

#INTENDED_NUMBER_OF_PLAYERS 2
#SIZE_X 1792
#SIZE_Y 1216
#TORUS_X 0
#TORUS_Y 1

#SECONDS 120
#INITIAL 150
#REQUIRED 20
#SPAWN_INTERVAL 20

#WALKER 50
#RUNNER 30
#CLIMBER 30
#FLOATER 30
#EXPLODER2 2
#BLOCKER 2
#BUILDER 80
#PLATFORMER 80
#BASHER 50
#MINER 50
#DIGGER 50
#JUMPER 50
#BATTER 30
#CUBER 20

:simon/hatch001.H: 208 336
:simon/hatch001.H: 208 944

:matt/marble/Goal.G: 1600 304
:matt/marble/Goal.G: 1600 912

:amanda/forest/frog.T: 512 416
:amanda/forest/frog_catch.T: 672 272
:amanda/forest/frog_happy.T: 1152 400
:amanda/forest/frog.T: 352 272
:amanda/forest/frog_catch.T: 832 352
:amanda/forest/frog_happy.T: 992 272
:amanda/forest/frog.T: 1312 272
:amanda/forest/frog.T: 512 144
:amanda/forest/frog_catch.T: 1152 144
:amanda/forest/frog_happy.T: 832 144
:amanda/forest/frog_catch.T: 1472 112
:amanda/forest/frog_happy.T: 192 112
:amanda/forest/frog.T: 512 1024
:amanda/forest/frog_catch.T: 672 880
:amanda/forest/frog_happy.T: 1152 1008
:amanda/forest/frog.T: 352 880
:amanda/forest/frog_catch.T: 832 960
:amanda/forest/frog_happy.T: 992 880
:amanda/forest/frog.T: 1312 880
:amanda/forest/frog.T: 512 752
:amanda/forest/frog_catch.T: 1152 752
:amanda/forest/frog_happy.T: 832 752
:amanda/forest/frog_catch.T: 1472 720
:amanda/forest/frog_happy.T: 192 720

:matt/water.W: 608 560
:matt/water.W: 480 560
:matt/water.W: 576 560
:matt/water.W: 544 560
:matt/water.W: 512 560
:matt/water.W: 448 560
:matt/water.W: 928 560
:matt/water.W: 800 560
:matt/water.W: 896 560
:matt/water.W: 768 560
:matt/water.W: 832 560
:matt/water.W: 864 560
:matt/water.W: 1248 560
:matt/water.W: 1120 560
:matt/water.W: 1216 560
:matt/water.W: 1088 560
:matt/water.W: 1152 560
:matt/water.W: 1184 560
:matt/water.W: 608 1168
:matt/water.W: 480 1168
:matt/water.W: 576 1168
:matt/water.W: 544 1168
:matt/water.W: 512 1168
:matt/water.W: 448 1168
:matt/water.W: 928 1168
:matt/water.W: 800 1168
:matt/water.W: 896 1168
:matt/water.W: 768 1168
:matt/water.W: 832 1168
:matt/water.W: 864 1168
:matt/water.W: 1248 1168
:matt/water.W: 1120 1168
:matt/water.W: 1216 1168
:matt/water.W: 1088 1168
:matt/water.W: 1152 1168
:matt/water.W: 1184 1168

:matt/marble/22c: 1488 400
:matt/marble/22d: 272 320
:matt/marble/22a: 192 400 frr
:matt/marble/09a: 192 464
:matt/marble/09d: 256 464
:matt/marble/09a: 192 528
:matt/marble/09d: 256 528
:matt/marble/21a: 0 16
:matt/marble/21a: 64 16
:matt/marble/21a: 0 304
:matt/marble/21a: 64 304
:matt/marble/20b: 112 16
:matt/marble/21c: 32 352
:matt/marble/21c: 16 64
:matt/marble/20b: 112 304
:geoo/steel/16x32o.S: 0 0
:geoo/steel/16x32o.S: 0 32
:geoo/steel/16x32o.S: 0 64
:geoo/steel/16x32o.S: 0 224
:geoo/steel/16x32o.S: 0 256
:geoo/steel/16x32o.S: 0 288
:geoo/steel/16x32o.S: 0 320
:geoo/steel/16x32o.S: 0 352
:geoo/steel/16x32o.S: 0 448
:geoo/steel/16x32o.S: 0 480
:geoo/steel/16x32o.S: 0 512
:geoo/steel/16x32o.S: 0 544
:geoo/steel/16x32o.S: 0 576
:geoo/steel/32x16o.S: 16 352
:geoo/steel/32x16o.S: 16 64
:geoo/steel/32x16o.S: 80 352
:geoo/steel/32x16o.S: 80 64
:geoo/steel/16x32o.S: 112 64
:geoo/steel/16x32o.S: 112 224
:geoo/steel/16x32o.S: 112 256
:geoo/steel/16x32o.S: 112 288
:geoo/steel/16x32o.S: 112 352
:geoo/steel/16x32o.S: 112 448
:geoo/steel/16x32o.S: 112 480
:geoo/steel/16x32o.S: 112 512
:geoo/steel/16x32o.S: 112 544
:geoo/steel/16x32o.S: 112 576
:geoo/steel/16x32o.S: 112 0
:geoo/steel/32x16o.S: 48 304
:geoo/steel/32x16o.S: 48 16
:matt/marble/09a: 640 464
:matt/marble/09: 128 464
:matt/marble/09: 800 272
:geoo/steel/32x16o.S: 128 592
:geoo/steel/32x16o.S: 160 592
:geoo/steel/32x16o.S: 192 592
:geoo/steel/32x16o.S: 224 592
:geoo/steel/32x16o.S: 256 592
:geoo/steel/32x16o.S: 288 592
:geoo/steel/32x16o.S: 320 592
:matt/marble/09b: 320 400
:matt/marble/09d: 704 464
:matt/marble/09c: 384 464
:matt/marble/21d: 448 464
:matt/marble/21: 128 64
:matt/marble/21: 256 64
:matt/marble/21: 384 64
:matt/marble/21: 512 64
:matt/marble/21: 640 64
:matt/marble/09: 128 528
:matt/marble/05: 128 368
:matt/marble/09b: 320 464
:geoo/steel/32x16o.S: 192 448
:geoo/steel/32x16o.S: 224 448
:geoo/steel/32x16o.S: 256 448
:geoo/steel/32x16o.S: 288 448
:geoo/steel/32x16o.S: 352 592
:geoo/steel/32x16o.S: 384 592
:geoo/steel/32x16o.S: 416 592
:geoo/steel/32x16o.S: 448 592
:geoo/steel/32x16o.S: 640 592
:geoo/steel/32x16o.S: 672 592
:geoo/steel/32x16o.S: 704 592
:geoo/steel/32x16o.S: 736 592
:geoo/steel/32x16o.S: 960 592
:geoo/steel/32x16o.S: 992 592
:matt/marble/21d: 576 464
:matt/marble/09a: 640 400
:matt/marble/09d: 704 400
:geoo/steel/16x32o.S: 112 192
:geoo/steel/16x32o.S: 112 96
:geoo/steel/16x32o.S: 0 192
:geoo/steel/16x32o.S: 0 96
:geoo/steel/16x32o.S: 0 160
:geoo/steel/16x32o.S: 112 160
:geoo/steel/16x32o.S: 112 128
:geoo/steel/16x32o.S: 0 128
:geoo/steel/16x32o.S: 0 416
:geoo/steel/16x32o.S: 112 416
:geoo/steel/16x32o.S: 112 384
:geoo/steel/16x32o.S: 0 384
:matt/marble/09: 128 400
:matt/marble/09c: 384 400
:matt/marble/09b: 320 336
:matt/marble/09c: 384 336
:matt/marble/02: 128 352
