$BUILT 2014-03-25 20:26:35
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 2
$ENGLISH Deadly NightShade (2p)

#SIZE_X 704
#SIZE_Y 608
#TORUS_X 0
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 60
#INITIAL 70
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#CLIMBER 10
#FLOATER 5
#RUNNER 5
#WALKER 60
#JUMPER 80
#PLATFORMER 80
#BASHER 60
#DIGGER 30
#BATTER 20
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 624 16 r
:geoo/abstract/hatch.H: 48 16

:matt/marble/Goal.G: 512 480
:matt/marble/Goal.G: 128 480

:geoo/shadow/pillar_verti_32: 560 368
:geoo/shadow/pillar_verti_32: 560 336
:geoo/shadow/pillar_verti_32: 544 368
:geoo/shadow/pillar_verti_32: 544 336
:geoo/shadow/pillar_verti_32: 560 304
:geoo/shadow/pillar_verti_32: 560 272
:geoo/shadow/pillar_verti_32: 560 240
:geoo/shadow/pillar_verti_32: 560 208
:geoo/shadow/pillar_verti_32: 544 304
:geoo/shadow/pillar_verti_32: 544 272
:geoo/shadow/pillar_verti_32: 544 240
:geoo/shadow/pillar_verti_32: 544 208
:geoo/shadow/pillar_verti_32: 560 432
:geoo/shadow/pillar_verti_32: 560 400
:geoo/shadow/pillar_verti_32: 544 432
:geoo/shadow/pillar_verti_32: 544 400
:geoo/shadow/wall/center: 16 96
:geoo/shadow/wall/center: 656 96
:geoo/shadow/wall/left: 560 128
:geoo/shadow/pillar_verti_32: 528 16
:geoo/shadow/pillar_verti_32: 528 48
:geoo/shadow/pillar_verti_32: 528 80
:geoo/shadow/pillar_verti_32: 528 112
:geoo/shadow/pillar_verti_32: 544 16
:geoo/shadow/pillar_verti_32: 544 48
:geoo/shadow/pillar_verti_32: 544 80
:geoo/shadow/pillar_verti_32: 544 112
:geoo/shadow/pillar_verti_32: 144 16
:geoo/shadow/pillar_verti_32: 144 48
:geoo/shadow/pillar_verti_32: 144 80
:geoo/shadow/pillar_verti_32: 144 112
:geoo/shadow/pillar_verti_32: 160 16
:geoo/shadow/pillar_verti_32: 160 48
:geoo/shadow/pillar_verti_32: 160 80
:geoo/shadow/pillar_verti_32: 160 112
:geoo/shadow/pillar_verti_32: 144 144
:geoo/shadow/pillar_verti_32: 160 144
:geoo/shadow/pillar_verti_32: 512 400
