$BUILT 2012-04-17 23:53:35
$AUTHOR Simon
#INTENDED_NUMBER_OF_PLAYERS 2
$ENGLISH Last Man Standing

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 61
#INITIAL 50
#REQUIRED 20
#SPAWN_INTERVAL 8
#SPAWN_INTERVAL_FAST 4

#WALKER 80
#RUNNER 40
#JUMPER 40
#NOTHING 0
#BLOCKER 20
#BATTER -1
#NOTHING 0
#PLATFORMER 1
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:simon/hatch001.H: 192 160
:simon/hatch001.H: 384 160 r
:simon/hatch001.H: 320 160 r
:simon/hatch001.H: 256 160

:matt/marble/Goal.G: 568 224
:matt/marble/Goal.G: 8 224

:geoo/construction/Laser_vr_64.F: 168 40
:geoo/construction/Laser_hz_16.F: 176 32
:geoo/construction/Laser_hz_16.F: 176 64
:geoo/construction/Laser_hz_16.F: 192 64
:geoo/construction/Laser_hz_16.F: 192 32
:geoo/construction/Laser_vr_64.F: 232 40
:geoo/construction/Laser_hz_16.F: 232 32
:geoo/construction/Laser_hz_16.F: 232 96
:geoo/construction/Laser_hz_16.F: 168 96
:geoo/construction/Laser_vr_16.F: 200 32
:geoo/construction/Laser_vr_16.F: 200 64
:geoo/construction/Laser_vr_64.F: 272 40
:geoo/construction/Laser_hz_16.F: 280 96
:geoo/construction/Laser_hz_16.F: 296 96
:geoo/construction/Laser_hz_16.F: 296 64
:geoo/construction/Laser_vr_16.F: 304 72
:geoo/construction/Laser_vr_16.F: 304 88
:geoo/construction/Laser_hz_16.F: 280 32
:geoo/construction/Laser_hz_16.F: 296 32
:geoo/construction/Laser_vr_16.F: 304 32
:geoo/construction/Laser_vr_16.F: 288 64
:geoo/construction/Laser_vr_64.F: 336 40
:geoo/construction/Laser_hz_16.F: 336 32
:geoo/construction/Laser_hz_16.F: 336 96
:geoo/construction/Laser_vr_64.F: 368 40
:geoo/construction/Laser_hz_16.F: 368 32
