$BUILT 2021-01-11 22:33:22
$AUTHOR Flopsy
$ENGLISH The Hard For Flopsy LIX Level 3P

#INTENDED_NUMBER_OF_PLAYERS 3
#SIZE_X 1344
#SIZE_Y 496
#TORUS_X 1
#TORUS_Y 0

#SECONDS 60
#INITIAL 100
#SPAWN_INTERVAL 1

#WALKER 30
#RUNNER 5
#CLIMBER 10
#FLOATER 5
#EXPLODER2 20
#BUILDER 40
#PLATFORMER 40
#BASHER 30
#MINER 30
#DIGGER 30
#JUMPER 30
#BATTER 30

:matt/marble/Hatch.H: 64 112
:matt/marble/Hatch.H: 512 112
:matt/marble/Hatch.H: 960 112

:matt/marble/Goal.G: 1004 400
:matt/marble/Goal.G: 108 400
:matt/marble/Goal.G: 556 400

:geoo/construction/sawblade_medium.F: 333 92
:geoo/construction/sawblade_medium.F: 333 140
:geoo/construction/sawblade_medium.F: 333 188
:geoo/construction/sawblade_medium.F: 333 236
:geoo/construction/sawblade_medium.F: 333 284
:geoo/construction/sawblade_medium.F: 333 332
:geoo/construction/sawblade_medium.F: 781 92
:geoo/construction/sawblade_medium.F: 781 140
:geoo/construction/sawblade_medium.F: 781 188
:geoo/construction/sawblade_medium.F: 781 236
:geoo/construction/sawblade_medium.F: 781 284
:geoo/construction/sawblade_medium.F: 781 332
:geoo/construction/sawblade_medium.F: 863 228
:geoo/construction/sawblade_medium.F: 863 184
:geoo/construction/sawblade_medium.F: 863 140
:geoo/construction/sawblade_medium.F: 863 96
:geoo/construction/sawblade_medium.F: 863 52
:geoo/construction/sawblade_medium.F: 863 8
:geoo/construction/sawblade_medium.F: 415 228
:geoo/construction/sawblade_medium.F: 415 184
:geoo/construction/sawblade_medium.F: 415 140
:geoo/construction/sawblade_medium.F: 415 96
:geoo/construction/sawblade_medium.F: 415 52
:geoo/construction/sawblade_medium.F: 415 8
:geoo/construction/sawblade_medium.F: 894 356
:geoo/construction/sawblade_medium.F: 56 312
:geoo/construction/sawblade_medium.F: 160 312
:geoo/construction/sawblade_medium.F: 446 356
:geoo/construction/sawblade_medium.F: 504 312
:geoo/construction/sawblade_medium.F: 608 312
:geoo/construction/sawblade_medium.F: 1229 92
:geoo/construction/sawblade_medium.F: 1229 140
:geoo/construction/sawblade_medium.F: 1229 188
:geoo/construction/sawblade_medium.F: 1229 236
:geoo/construction/sawblade_medium.F: 1229 284
:geoo/construction/sawblade_medium.F: 1229 332
:geoo/construction/sawblade_medium.F: 1311 228
:geoo/construction/sawblade_medium.F: 1311 184
:geoo/construction/sawblade_medium.F: 1311 140
:geoo/construction/sawblade_medium.F: 1311 96
:geoo/construction/sawblade_medium.F: 1311 52
:geoo/construction/sawblade_medium.F: 1311 8
:geoo/construction/sawblade_medium.F: 863 228
:geoo/construction/sawblade_medium.F: 863 184
:geoo/construction/sawblade_medium.F: 863 140
:geoo/construction/sawblade_medium.F: 863 96
:geoo/construction/sawblade_medium.F: 863 52
:geoo/construction/sawblade_medium.F: 863 8
:geoo/construction/sawblade_medium.F: 1342 356
:geoo/construction/sawblade_medium.F: 894 356
:geoo/construction/sawblade_medium.F: 952 312
:geoo/construction/sawblade_medium.F: 1056 312

:matt/marble/09: 32 192
:geoo/steel/32x32o.S: 0 192
:geoo/steel/32x32o.S: 0 160
:geoo/steel/32x32o.S: 0 128
:geoo/steel/32x32o.S: 0 96
:geoo/steel/32x32o.S: 0 224
:geoo/steel/32x32o.S: 0 256
:geoo/steel/32x32o.S: 32 256
:geoo/steel/32x32o.S: 64 256
:geoo/steel/32x32o.S: 96 256
:geoo/steel/32x32o.S: 128 256
:geoo/steel/32x32o.S: 160 256
:geoo/steel/32x32o.S: 192 256
:geoo/steel/32x32o.S: 224 256
:matt/marble/09: 96 192
:matt/marble/09: 160 192
:matt/marble/09: 224 192
:geoo/steel/32x32o.S: 256 256
:geoo/steel/32x32o.S: 0 64
:geoo/steel/32x32o.S: 0 32
:matt/marble/17: 385 32 rr
:geoo/steel/16x16o.S: 353 32
:geoo/steel/16x16o.S: 337 32
:geoo/steel/16x16o.S: 321 32
:geoo/steel/16x16o.S: 305 32
:geoo/steel/16x16o.S: 289 32
:geoo/steel/16x16o.S: 305 32
:geoo/steel/16x16o.S: 273 32
:geoo/steel/16x16o.S: 257 32
:geoo/steel/16x16o.S: 241 32
:geoo/steel/16x16o.S: 225 32
:geoo/steel/16x16o.S: 209 32
:geoo/steel/16x16o.S: 193 32
:geoo/steel/16x16o.S: 177 32
:geoo/steel/16x16o.S: 161 32
:geoo/steel/16x16o.S: 145 32
:geoo/steel/16x16o.S: 129 32
:geoo/steel/16x16o.S: 113 32
:geoo/steel/16x16o.S: 97 32
:geoo/steel/16x16o.S: 81 32
:geoo/steel/16x16o.S: 65 32
:geoo/steel/16x16o.S: 49 32
:geoo/steel/16x16o.S: 32 -8
:geoo/steel/16x16o.S: 48 0
:geoo/steel/16x16o.S: 64 0
:geoo/steel/16x16o.S: 80 0
:geoo/steel/16x16o.S: 96 0
:geoo/steel/16x16o.S: 112 0
:geoo/steel/16x16o.S: 128 0
:geoo/steel/16x16o.S: 144 0
:geoo/steel/16x16o.S: 160 0
:geoo/steel/16x16o.S: 176 0
:geoo/steel/16x16o.S: 192 0
:geoo/steel/16x16o.S: 208 0
:geoo/steel/16x16o.S: 224 0
:geoo/steel/16x16o.S: 240 0
:geoo/steel/16x16o.S: 256 0
:geoo/steel/16x16o.S: 272 0
:geoo/steel/16x16o.S: 288 0
:geoo/steel/16x16o.S: 304 0
:geoo/steel/16x16o.S: 320 0
:geoo/steel/16x16o.S: 336 0
:geoo/steel/16x16o.S: 352 0
:geoo/steel/16x16o.S: 35 32
:geoo/steel/16x16o.S: 368 0
:geoo/steel/16x16o.S: 384 0
:geoo/steel/16x16o.S: 400 0
:matt/marble/17: 384 63 f
:geoo/steel/16x16o.S: 369 48
:geoo/steel/16x16o.S: 369 32
:geoo/steel/16x16o.S: 369 64
:geoo/steel/16x16o.S: 369 80
:geoo/steel/16x16o.S: 369 96
:geoo/steel/16x16o.S: 369 112
:geoo/steel/16x16o.S: 369 128
:geoo/steel/16x16o.S: 369 144
:matt/marble/17: 385 94 rr
:matt/marble/17: 384 125 f
:geoo/steel/16x16o.S: 369 160
:geoo/steel/16x16o.S: 369 176
:geoo/steel/16x16o.S: 369 192
:geoo/steel/16x16o.S: 369 208
:geoo/steel/16x16o.S: 369 224
:geoo/steel/16x16o.S: 369 240
:geoo/steel/16x16o.S: 369 256
:geoo/steel/16x16o.S: 369 272
:matt/marble/17: 385 156 rr
:matt/marble/17: 384 187 f
:matt/marble/17: 385 218 rr
:matt/marble/17: 384 249 f
:geoo/steel/16x16o.S: 369 288
:geoo/steel/16x16o.S: 369 304
:geoo/steel/16x16o.S: 369 320
:geoo/steel/16x16o.S: 369 336
:geoo/steel/16x16o.S: 369 352
:geoo/steel/16x16o.S: 369 368
:matt/marble/17: 385 280 rr
:matt/marble/17: 384 311 f
:matt/marble/17: 385 342 rr
:matt/marble/17: 384 373 f
:matt/marble/17: 373 384 f
:matt/marble/02: 400 400
:matt/marble/07: 336 448
:matt/marble/07: 288 448
:matt/marble/07: 240 448
:matt/marble/22: 160 400 frr
:matt/marble/07: 192 448
:matt/marble/07: 144 448
:matt/marble/22: 64 400
:matt/marble/07: 96 448
:matt/marble/07: 48 448
:matt/marble/07: 0 448
:matt/marble/07: 384 448
:geoo/steel/16x16o.S: 132 448
:geoo/steel/16x16o.S: 416 0
:geoo/steel/16x16o.S: 416 16
:geoo/steel/16x16o.S: 416 32
:geoo/steel/16x16o.S: 416 48
