$BUILT 2022-01-28 01:38:46
$AUTHOR Flopsy
$ENGLISH Your Latest Trick 3P (3 trapdoors)

#INTENDED_NUMBER_OF_PLAYERS 3
$TAG multiple-hatch

#SIZE_X 1728
#SIZE_Y 320
#TORUS_X 1
#TORUS_Y 1

#SECONDS 90
#INITIAL 80
#SPAWN_INTERVAL 31

#WALKER 30
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 5
#BLOCKER 1
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 30
#BATTER 40
#CUBER 5

:matt/marble/Hatch.H: 192 16
:matt/marble/Hatch.H: 768 16
:matt/marble/Hatch.H: 1344 16
:matt/marble/Hatch.H: 1344 96
:matt/marble/Hatch.H: 192 96
:matt/marble/Hatch.H: 768 96
:matt/marble/Hatch.H: 768 176
:matt/marble/Hatch.H: 1344 176
:matt/marble/Hatch.H: 192 176

:matt/marble/Goal.G: 192 272
:matt/marble/Goal.G: 768 272
:matt/marble/Goal.G: 1344 272

:simon/crystal.W: 592 304
:simon/crystal.W: 960 304
:simon/crystal.W: 16 304
:simon/crystal.W: 384 304
:simon/crystal.W: 1168 304
:simon/crystal.W: 1536 304
:simon/crystal.W: 576 304
:simon/crystal.W: 976 304
:simon/crystal.W: 1152 304
:simon/crystal.W: 1552 304
:simon/crystal.W: 0 304
:simon/crystal.W: 400 304

:matt/marble/08: 64 240
:matt/marble/08: 64 0
:matt/marble/08: 128 0
:matt/marble/08: 192 0
:matt/marble/08: 256 0
:matt/marble/08: 320 0
:matt/marble/08: 128 240
:matt/marble/08: 64 160
:matt/marble/08: 64 80
:matt/marble/08: 128 80
:matt/marble/08: 192 80
:matt/marble/08: 256 80
:matt/marble/08: 320 80
:matt/marble/08: 128 160
:matt/marble/08: 192 160
:matt/marble/08: 256 160
:matt/marble/08: 320 160
:matt/marble/08: 192 240
:matt/marble/08: 256 240
:matt/marble/08: 320 240
:geoo/steel/16x16o.S: 64 96
:geoo/steel/16x16o.S: 80 96
:geoo/steel/16x16o.S: 96 96
:geoo/steel/16x16o.S: 112 96
:geoo/steel/16x16o.S: 128 96
:geoo/steel/16x16o.S: 144 96
:geoo/steel/16x16o.S: 160 96
:geoo/steel/16x16o.S: 176 96
:geoo/steel/16x16o.S: 192 96
:geoo/steel/16x16o.S: 208 96
:geoo/steel/16x16o.S: 224 96
:geoo/steel/16x16o.S: 240 96
:geoo/steel/16x16o.S: 256 96
:geoo/steel/16x16o.S: 272 96
:geoo/steel/16x16o.S: 288 96
:geoo/steel/16x16o.S: 304 96
:geoo/steel/16x16o.S: 320 96
:geoo/steel/16x16o.S: 336 96
:geoo/steel/16x16o.S: 352 96
:geoo/steel/16x16o.S: 368 96
:geoo/steel/16x16o.S: 368 176
:geoo/steel/16x16o.S: 64 176
:geoo/steel/16x16o.S: 80 176
:geoo/steel/16x16o.S: 96 176
:geoo/steel/16x16o.S: 112 176
:geoo/steel/16x16o.S: 128 176
