$BUILT 2014-05-08 14:29:07
$AUTHOR geoo
$GERMAN 
$ENGLISH Scorched Earth

#SIZE_X 3072
#SIZE_Y 400
#TORUS_X 1
#TORUS_Y 0
#START_X 384
#START_Y -20
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 30
#INITIAL 80
#REQUIRED 20
#SPAWN_INTERVAL 1
#SPAWN_INTERVAL_FAST 1

#CLIMBER 10
#WALKER 40
#RUNNER 10
#JUMPER 40
#BATTER 20
#EXPLODER2 20
#CUBER 20
#BUILDER 80
#PLATFORMER 40
#BASHER 40
#MINER 20
#DIGGER 20

:geoo/sandstone/Hatch.H: 528 208 r
:geoo/sandstone/Hatch.H: 1552 208 r
:geoo/sandstone/Hatch.H: 2576 208 r

:geoo/sandstone/Goal.G: 1120 304
:geoo/sandstone/Goal.G: 2144 304
:geoo/sandstone/Goal.G: 96 304

:geoo/sandstone/chopper.T: 752 112
:geoo/sandstone/chopper.T: 912 112
:geoo/sandstone/chopper.T: 1776 112
:geoo/sandstone/chopper.T: 1936 112
:geoo/sandstone/chopper.T: 2800 112
:geoo/sandstone/chopper.T: 2960 112

:geoo/sandstone/torch.F: 384 288
:geoo/sandstone/torch.F: 384 256
:geoo/sandstone/torch.F: 384 224
:geoo/sandstone/brazier.F: 80 208
:geoo/sandstone/brazier.F: 144 208
:matt/water.W: 32 368
:matt/water.W: 192 368
:matt/water.W: 352 368
:matt/water.W: 384 368
:matt/water.W: 416 368
:geoo/sandstone/torch.F: 1408 288
:geoo/sandstone/torch.F: 1408 256
:geoo/sandstone/torch.F: 1408 224
:geoo/sandstone/brazier.F: 1104 208
:geoo/sandstone/brazier.F: 1168 208
:matt/water.W: 1056 368
:matt/water.W: 1216 368
:matt/water.W: 1376 368
:matt/water.W: 1408 368
:matt/water.W: 1440 368
:geoo/sandstone/torch.F: 384 160
:geoo/sandstone/torch.F: 1408 160
:geoo/sandstone/torch.F: 2432 288
:geoo/sandstone/torch.F: 2432 256
:geoo/sandstone/torch.F: 2432 224
:geoo/sandstone/brazier.F: 2128 208
:geoo/sandstone/brazier.F: 2192 208
:matt/water.W: 2080 368
:matt/water.W: 2240 368
:matt/water.W: 2400 368
:matt/water.W: 2432 368
:matt/water.W: 2464 368
:geoo/sandstone/torch.F: 2432 160

:geoo/abstract/tbeam_down.T: 1744 160
:geoo/abstract/tbeam_down.T: 1744 192
:geoo/abstract/tbeam_down.T: 1744 224
:geoo/abstract/tbeam_down.T: 720 160
:geoo/abstract/tbeam_down.T: 720 192
:geoo/abstract/tbeam_down.T: 720 224
:geoo/abstract/tbeam_down.T: 2768 160
:geoo/abstract/tbeam_down.T: 2768 192
