$BUILT 2017-09-27 19:05:29
$AUTHOR Proxima
$ENGLISH The Adventure Playground (3P)

#INTENDED_NUMBER_OF_PLAYERS 3
#SIZE_X 1920
#SIZE_Y 1200
#TORUS_X 1
#TORUS_Y 0
#START_X 0
#START_Y 0

#SECONDS 120
#INITIAL 100
#REQUIRED 40
#SPAWN_INTERVAL 32

#WALKER -1
#RUNNER -1
#CLIMBER -1
#FLOATER -1
#BLOCKER -1
#BUILDER -1
#PLATFORMER -1
#BASHER -1
#MINER -1
#DIGGER -1
#JUMPER -1
#BATTER -1
#EXPLODER2 0

:geoo/construction/Hatch.H: 112 72
:geoo/construction/Hatch.H: 752 72
:geoo/construction/Hatch.H: 1392 72

:matt/underworld/Goal.G: 960 1104
:matt/underworld/Goal.G: 1600 1104
:matt/underworld/Goal.G: 320 1104

:matt/10tons.T: 400 576
:matt/10tons.T: 168 776
:matt/10tons.T: 1040 576
:matt/10tons.T: 808 776
:matt/10tons.T: 1680 576
:matt/10tons.T: 1448 776

:simon/water.W: 272 464
:simon/water.W: 320 464
:simon/water.W: 368 464
:simon/water.W: 224 464
:matt/underworld/Lava.W: 16 1152
:matt/underworld/Lava.W: 1888 1152
:proxima/flame.F: 76 1056
:proxima/flame.F: 206 960
:proxima/flame.F: 332 800
:proxima/flame.F: 460 800
:simon/water.W: 912 464
:simon/water.W: 960 464
:simon/water.W: 1008 464
:simon/water.W: 864 464
:matt/underworld/Lava.W: 656 1152
:matt/underworld/Lava.W: 608 1152
:proxima/flame.F: 720 1056
:proxima/flame.F: 848 960
:proxima/flame.F: 976 800
:proxima/flame.F: 1104 800
:simon/water.W: 1552 464
:simon/water.W: 1600 464
:simon/water.W: 1648 464
:simon/water.W: 1504 464
:matt/underworld/Lava.W: 1296 1152
:matt/underworld/Lava.W: 1248 1152
:proxima/flame.F: 1360 1056
:proxima/flame.F: 1488 960
:proxima/flame.F: 1616 800
:proxima/flame.F: 1744 800

:geoo/construction/wall/small_64x32: 256 256
:geoo/construction/wall/small_64x32: 320 256
:geoo/construction/pillar_base: 0 240
:geoo/construction/pillar_32: 16 160
:geoo/construction/pillar_32: 16 128
:geoo/construction/pillar_32: 16 96
:geoo/construction/pillar_32: 16 64
:geoo/construction/pillar_base: 0 32 f
:geoo/construction/pillar_base: 576 240
:geoo/construction/pillar_32: 592 160
:geoo/construction/pillar_32: 592 128
:geoo/construction/pillar_32: 592 96
:geoo/construction/pillar_32: 592 64
:geoo/construction/pillar_base: 576 32 f
:geoo/construction/fence_rust_64x64: 464 192
:geoo/construction/fence_rust_64x64: 528 192
:geoo/construction/fence_rust_64x64: 528 128
:geoo/construction/fence_rust_64x64: 464 128
:geoo/construction/concrete/032h: 0 0
:geoo/construction/concrete/032h: 576 0
:geoo/construction/concrete/032h: 512 0
:geoo/construction/concrete/032h: 448 0
:geoo/construction/concrete/032h: 384 0
:geoo/construction/concrete/032h: 320 0
:geoo/construction/concrete/032h: 256 0
:geoo/construction/concrete/032h: 192 0
:geoo/construction/concrete/032h: 128 0
:geoo/construction/concrete/032h: 64 0
:geoo/construction/fence_rust_64x64: 528 64
:geoo/construction/fence_rust_64x64: 464 64
:geoo/construction/fence_rust_64x64: 400 64
:geoo/construction/fence_rust_32x32: 432 128
:geoo/construction/fence_rust_32x32: 368 64
:geoo/steel/dark_64x32o.S: 128 256
:geoo/steel/dark_64x32o.S: 192 256
:geoo/steel/dark_64x32o.S: 384 256
:geoo/steel/dark_64x32o.S: 448 256
:geoo/construction/concrete/032hc: 256 32
:geoo/construction/concrete/032hd: 320 32
:geoo/construction/wall/small_64x32: 512 256
:geoo/construction/wall/small_64x32: 576 256
:geoo/construction/wall/small_64x32: 0 256
:geoo/construction/wall/small_64x32: 64 256
:geoo/sandstone/pillar_top_ext: 160 288
:geoo/sandstone/pillar_32: 176 336
:geoo/sandstone/pillar_top: 176 304
:geoo/sandstone/pillar_32: 176 368
:geoo/sandstone/pillar_32: 176 400
:geoo/sandstone/pillar_bottom: 176 432
:geoo/sandstone/pillar_bottom_ext: 160 464
:geoo/sandstone/pillar_top_ext: 416 288
:geoo/sandstone/pillar_32: 432 336
:geoo/sandstone/pillar_top: 432 304
:geoo/sandstone/pillar_32: 432 368
:geoo/sandstone/pillar_32: 432 400
:geoo/sandstone/pillar_32: 432 432
:geoo/sandstone/pillar_bottom: 432 432
:geoo/sandstone/pillar_bottom_ext: 416 464
:matt/earth/03: 368 528
:matt/earth/00: 160 496
:matt/earth/10: 224 512 f
:geoo/steel/dark_64x32o.S: 384 512
:matt/earth/01: 128 496
:geoo/steel/dark_64x32o.S: 128 480
:geoo/steel/dark_64x32o.S: 192 512
:matt/earth/00: 448 480
:geoo/steel/dark_64x32o.S: 448 480
:geoo/steel/dark_64x32o.S: 256 512
:geoo/steel/dark_64x32o.S: 320 512
:geoo/steel/dark_32x32o.S: 416 480
:geoo/steel/dark_32x32o.S: 192 480
:geoo/sandstone/slopes/64x32lt: 320 368
:geoo/sandstone/slopes/64x32rt: 256 368
:geoo/sandstone/slopes/64x32rb: 256 336
:geoo/sandstone/slopes/64x32lb: 320 336
:geoo/sandstone/pillar_top_ext: 1888 304
:geoo/sandstone/64x32_blank: 0 288
:geoo/sandstone/slopes/64x32lt: 64 288
:geoo/sandstone/pillar_top: 1904 320
:geoo/sandstone/slopes/64x32lt: 0 320
:geoo/sandstone/32x64: 576 288
:geoo/sandstone/32x64: 608 352
:geoo/sandstone/slopes/32x64rt: 544 288
:geoo/sandstone/slopes/32x64rt: 576 352
:matt/earth/00: 576 480
:geoo/sandstone/pillar_32: 1904 448
:geoo/sandstone/pillar_bottom_ext: 1888 480
:matt/earth/04: 1904 464
:geoo/sandstone/slopes/64x32rb: 64 416
:geoo/sandstone/slopes/64x32lt: 64 448
:matt/earth/27: 144 544
:matt/earth/28: 192 560
:matt/earth/29: 216 568
:matt/earth/28: 240 592
:matt/earth/29: 264 608
:matt/earth/27: 272 616
:matt/earth/26: 272 616
:matt/earth/28: 336 608
:matt/earth/29: 360 600
:matt/earth/28: 376 584
:matt/earth/27: 448 552
:matt/earth/28: 400 576
:matt/earth/29: 432 568
:matt/earth/16: 576 640 f
:matt/earth/10: 480 576
:matt/earth/27: 584 536
:matt/earth/09: 536 568
:matt/earth/06: 496 576
:matt/earth/29: 608 544
:matt/earth/01: 608 592
:matt/earth/09: 584 584
:matt/earth/10: 1864 584
:matt/earth/10: 136 664
:matt/earth/16: 360 616
:matt/earth/10: 288 680
:matt/earth/09: 192 656
:matt/earth/06: 152 664
:matt/earth/08: 288 680
:matt/earth/09: 232 672
:matt/earth/06: 328 664
:matt/earth/06: 368 640
:matt/earth/16: 576 896 f
:matt/earth/10: 544 800
:matt/earth/10: 576 736
:matt/earth/19: 48 816
:matt/earth/04: 1856 688
:matt/earth/18: 1904 944
:matt/earth/17: 1896 840 f
:matt/earth/10: 1760 784
:matt/underworld/02: 448 848
:matt/underworld/02: 320 848
:matt/underworld/02: 320 944
:matt/underworld/02: 448 944
:matt/underworld/01: 384 1008
:matt/underworld/01: 512 1008
:matt/underworld/01: 256 1008
:matt/underworld/01: 192 1008
:matt/underworld/01: 576 1008
:matt/underworld/02: 192 1104
:matt/underworld/02: 64 1104
:matt/underworld/02: 576 1040
:matt/underworld/02: 448 1104
:matt/underworld/02: 576 1136
:matt/underworld/01: 512 1168
:matt/underworld/01: 256 1168
:matt/underworld/01: 384 1168
:matt/underworld/01: 128 1168
:matt/underworld/09a: 256 1048
:geoo/steel/dark_32x16o.S: 256 1040
:matt/underworld/09a: 312 1048
:geoo/steel/dark_32x16o.S: 288 1040
:geoo/steel/dark_32x16o.S: 320 1040
:matt/underworld/09a: 368 1048
:geoo/steel/dark_32x16o.S: 352 1040
:geoo/steel/dark_32x16o.S: 384 1040
:geoo/steel/dark_32x16o.S: 416 1040
:matt/underworld/01: 448 1072
:geoo/steel/dark_64x32o.S: 448 1040
:matt/underworld/01: 192 1072
:geoo/steel/dark_64x32o.S: 192 1040
:geoo/sandstone/slopes/32x64rt: 608 416
:geoo/construction/pillar_32: 592 192
:geoo/construction/pillar_32: 16 192
:geoo/construction/pillar_top_shaded: 16 48
:geoo/construction/pillar_top_shaded: 592 48
:geoo/construction/pillar_bottom: 16 224
:geoo/construction/pillar_bottom: 592 224
:geoo/construction/wall/small_brick1: 80 128
:geoo/construction/wall/big_square: 48 128
:geoo/construction/wall/small_brick3: 144 128
:geoo/construction/wall/big_square: 176 128
:geoo/construction/wall/small_brick1: 184 160 fr
:geoo/construction/wall/big_square: 176 192
:geoo/construction/wall/small_brick1: 208 192
:geoo/construction/wall/small_brick2: 240 192
:geoo/construction/wall/small_brick3: 272 192
:geoo/construction/wall/big_square: 304 192
:geoo/construction/wall/small_brick1: 184 224 fr
:geoo/construction/wall/small_brick1: 312 224 fr
:geoo/construction/wall/small_64x32: 896 256
:geoo/construction/wall/small_64x32: 960 256
:geoo/construction/pillar_base: 640 240
:geoo/construction/pillar_32: 656 160
:geoo/construction/pillar_32: 656 128
:geoo/construction/pillar_32: 656 96
:geoo/construction/pillar_32: 656 64
:geoo/construction/pillar_base: 640 32 f
:geoo/construction/pillar_base: 1216 240
:geoo/construction/pillar_32: 1232 160
:geoo/construction/pillar_32: 1232 128
:geoo/construction/pillar_32: 1232 96
:geoo/construction/pillar_32: 1232 64
:geoo/construction/pillar_base: 1216 32 f
:geoo/construction/fence_rust_64x64: 1104 192
:geoo/construction/fence_rust_64x64: 1168 192
:geoo/construction/fence_rust_64x64: 1168 128
:geoo/construction/fence_rust_64x64: 1104 128
:geoo/construction/concrete/032h: 640 0
:geoo/construction/concrete/032h: 1216 0
:geoo/construction/concrete/032h: 1152 0
:geoo/construction/concrete/032h: 1088 0
:geoo/construction/concrete/032h: 1024 0
:geoo/construction/concrete/032h: 960 0
:geoo/construction/concrete/032h: 896 0
:geoo/construction/concrete/032h: 832 0
:geoo/construction/concrete/032h: 768 0
:geoo/construction/concrete/032h: 704 0
:geoo/construction/fence_rust_64x64: 1168 64
:geoo/construction/fence_rust_64x64: 1104 64
:geoo/construction/fence_rust_64x64: 1040 64
:geoo/construction/fence_rust_32x32: 1072 128
:geoo/construction/fence_rust_32x32: 1008 64
:geoo/steel/dark_64x32o.S: 768 256
:geoo/steel/dark_64x32o.S: 832 256
:geoo/steel/dark_64x32o.S: 1024 256
:geoo/steel/dark_64x32o.S: 1088 256
:geoo/construction/concrete/032hc: 896 32
:geoo/construction/concrete/032hd: 960 32
:geoo/construction/wall/small_64x32: 1152 256
:geoo/construction/wall/small_64x32: 1216 256
:geoo/construction/wall/small_64x32: 640 256
:geoo/construction/wall/small_64x32: 704 256
:geoo/sandstone/pillar_top_ext: 800 288
:geoo/sandstone/pillar_32: 816 336
:geoo/sandstone/pillar_top: 816 304
:geoo/sandstone/pillar_32: 816 368
:geoo/sandstone/pillar_32: 816 400
:geoo/sandstone/pillar_bottom: 816 432
:geoo/sandstone/pillar_bottom_ext: 800 464
:geoo/sandstone/pillar_top_ext: 1056 288
:geoo/sandstone/pillar_32: 1072 336
:geoo/sandstone/pillar_top: 1072 304
:geoo/sandstone/pillar_32: 1072 368
:geoo/sandstone/pillar_32: 1072 400
:geoo/sandstone/pillar_32: 1072 432
:geoo/sandstone/pillar_bottom: 1072 432
:geoo/sandstone/pillar_bottom_ext: 1056 464
:matt/earth/03: 1008 528
:matt/earth/00: 800 496
:matt/earth/10: 864 512 f
:geoo/steel/dark_64x32o.S: 1024 512
:matt/earth/01: 768 496
:geoo/steel/dark_64x32o.S: 768 480
:geoo/steel/dark_64x32o.S: 832 512
:matt/earth/00: 1088 480
:geoo/steel/dark_64x32o.S: 1088 480
:geoo/steel/dark_64x32o.S: 896 512
:geoo/steel/dark_64x32o.S: 960 512
:geoo/steel/dark_32x32o.S: 1056 480
:geoo/steel/dark_32x32o.S: 832 480
:geoo/sandstone/slopes/64x32lt: 960 368
:geoo/sandstone/slopes/64x32rt: 896 368
:geoo/sandstone/slopes/64x32rb: 896 336
:geoo/sandstone/slopes/64x32lb: 960 336
:geoo/sandstone/pillar_top_ext: 608 304
:geoo/sandstone/64x32_blank: 640 288
:geoo/sandstone/slopes/64x32lt: 704 288
:geoo/sandstone/pillar_32: 624 352
:geoo/sandstone/pillar_top: 624 320
:geoo/sandstone/32x64: 608 288
:geoo/sandstone/slopes/64x32lt: 640 320
:geoo/sandstone/32x64: 1216 288
:geoo/sandstone/slopes/32x64rt: 1184 288
:geoo/sandstone/slopes/32x64rt: 1216 352
:matt/earth/00: 1216 480
:geoo/sandstone/pillar_32: 624 448
:geoo/sandstone/pillar_bottom: 624 448
:geoo/sandstone/pillar_bottom_ext: 608 480
:geoo/sandstone/64x32: 576 480
:matt/earth/04: 624 464
:geoo/sandstone/slopes/64x32rb: 640 448
:geoo/sandstone/slopes/64x32rb: 704 416
:geoo/sandstone/slopes/64x32lt: 704 448
:geoo/sandstone/slopes/64x32lt: 640 480
:geoo/sandstone/pillar_32: 624 384
:geoo/sandstone/pillar_32: 624 416
:matt/earth/27: 784 544
:matt/earth/28: 832 560
:matt/earth/29: 856 568
:matt/earth/28: 880 592
:matt/earth/29: 904 608
:matt/earth/27: 912 616
:matt/earth/26: 912 616
:matt/earth/28: 976 608
:matt/earth/29: 1000 600
:matt/earth/28: 1016 584
:matt/earth/27: 1088 552
:matt/earth/28: 1040 576
:matt/earth/29: 1072 568
:matt/earth/16: 1216 640 f
:matt/earth/10: 1120 576
:matt/earth/27: 1224 536
:matt/earth/09: 1176 568
:matt/earth/06: 1136 576
:matt/earth/29: 1248 544
:matt/earth/01: 1248 592
:matt/earth/09: 1224 584
:matt/earth/10: 584 584
:matt/earth/10: 776 664
:matt/earth/16: 1000 616
:matt/earth/10: 928 680
:matt/earth/09: 832 656
:matt/earth/06: 792 664
:matt/earth/08: 928 680
:matt/earth/09: 872 672
:matt/earth/06: 968 664
:matt/earth/06: 1008 640
:matt/earth/16: 1216 896 f
:matt/earth/10: 1184 800
:matt/earth/10: 1216 736
:matt/earth/19: 688 816
:matt/earth/04: 576 688
:matt/earth/18: 624 944
:matt/earth/17: 616 840 f
:matt/earth/10: 480 784
:matt/underworld/02: 1088 848
:matt/underworld/02: 960 848
:matt/underworld/02: 960 944
:matt/underworld/02: 1088 944
:matt/underworld/01: 1024 1008
:matt/underworld/01: 1152 1008
:matt/underworld/01: 896 1008
:matt/underworld/01: 832 1008
:matt/underworld/01: 1216 1008
:matt/underworld/02: 832 1104
:matt/underworld/02: 704 1104
:matt/underworld/02: 1216 1040
:matt/underworld/02: 1088 1104
:matt/underworld/02: 1216 1136
:matt/underworld/01: 1152 1168
:matt/underworld/01: 896 1168
:matt/underworld/01: 1024 1168
:matt/underworld/01: 768 1168
:matt/underworld/09a: 896 1048
:geoo/steel/dark_32x16o.S: 896 1040
:matt/underworld/09a: 952 1048
:geoo/steel/dark_32x16o.S: 928 1040
:geoo/steel/dark_32x16o.S: 960 1040
:matt/underworld/09a: 1008 1048
:geoo/steel/dark_32x16o.S: 992 1040
:geoo/steel/dark_32x16o.S: 1024 1040
:geoo/steel/dark_32x16o.S: 1056 1040
:matt/underworld/01: 1088 1072
:geoo/steel/dark_64x32o.S: 1088 1040
:matt/underworld/01: 832 1072
:geoo/steel/dark_64x32o.S: 832 1040
:geoo/sandstone/slopes/32x64rt: 1248 416
:geoo/construction/pillar_32: 1232 192
:geoo/construction/pillar_32: 656 192
:geoo/construction/pillar_top_shaded: 656 48
:geoo/construction/pillar_top_shaded: 1232 48
:geoo/construction/pillar_bottom: 656 224
:geoo/construction/pillar_bottom: 1232 224
:geoo/construction/wall/small_brick1: 720 128
:geoo/construction/wall/big_square: 688 128
:geoo/construction/wall/small_brick3: 784 128
:geoo/construction/wall/big_square: 816 128
:geoo/construction/wall/small_brick1: 824 160 fr
:geoo/construction/wall/big_square: 816 192
:geoo/construction/wall/small_brick1: 848 192
:geoo/construction/wall/small_brick2: 880 192
:geoo/construction/wall/small_brick3: 912 192
:geoo/construction/wall/big_square: 944 192
:geoo/construction/wall/small_brick1: 824 224 fr
:geoo/construction/wall/small_brick1: 952 224 fr
:geoo/construction/wall/small_64x32: 1536 256
:geoo/construction/wall/small_64x32: 1600 256
:geoo/construction/pillar_base: 1280 240
:geoo/construction/pillar_32: 1296 160
:geoo/construction/pillar_32: 1296 128
:geoo/construction/pillar_32: 1296 96
:geoo/construction/pillar_32: 1296 64
:geoo/construction/pillar_base: 1280 32 f
:geoo/construction/pillar_base: 1856 240
:geoo/construction/pillar_32: 1872 160
:geoo/construction/pillar_32: 1872 128
:geoo/construction/pillar_32: 1872 96
:geoo/construction/pillar_32: 1872 64
:geoo/construction/pillar_base: 1856 32 f
:geoo/construction/fence_rust_64x64: 1744 192
:geoo/construction/fence_rust_64x64: 1808 192
:geoo/construction/fence_rust_64x64: 1808 128
:geoo/construction/fence_rust_64x64: 1744 128
:geoo/construction/concrete/032h: 1280 0
:geoo/construction/concrete/032h: 1856 0
:geoo/construction/concrete/032h: 1792 0
:geoo/construction/concrete/032h: 1728 0
:geoo/construction/concrete/032h: 1664 0
:geoo/construction/concrete/032h: 1600 0
:geoo/construction/concrete/032h: 1536 0
:geoo/construction/concrete/032h: 1472 0
:geoo/construction/concrete/032h: 1408 0
:geoo/construction/concrete/032h: 1344 0
:geoo/construction/fence_rust_64x64: 1808 64
:geoo/construction/fence_rust_64x64: 1744 64
:geoo/construction/fence_rust_64x64: 1680 64
:geoo/construction/fence_rust_32x32: 1712 128
:geoo/construction/fence_rust_32x32: 1648 64
:geoo/steel/dark_64x32o.S: 1408 256
:geoo/steel/dark_64x32o.S: 1472 256
:geoo/steel/dark_64x32o.S: 1664 256
