$BUILT 2014-04-19 11:00:40
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 3
$ENGLISH Number Crunch (3p)

#SIZE_X 1280
#SIZE_Y 720
#TORUS_X 0
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 50
#INITIAL 80
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#WALKER 60
#JUMPER 60
#CLIMBER 10
#FLOATER 10
#EXPLODER2 5
#BUILDER 40
#PLATFORMER 50
#BASHER 50
#MINER 50
#DIGGER 45
#NOTHING 0
#BATTER 10

:amanda/occult/hatch_tentacle.H: 32 656
:amanda/occult/hatch_tentacle.H: 32 176
:amanda/occult/hatch_tentacle.H: 32 416

:amanda/occult/goal_skull.G: 960 672
:amanda/occult/goal_skull.G: 960 192
:amanda/occult/goal_skull.G: 960 432
:amanda/occult/goal_skull.G: 960 576
:amanda/occult/goal_skull.G: 960 96
:amanda/occult/goal_skull.G: 960 336

:geoo/construction/squisher.T: 556 304
:geoo/construction/squisher.T: 556 296
:geoo/construction/squisher.T: 556 288
:geoo/construction/squisher.T: 556 280
:geoo/construction/squisher.T: 556 272
:geoo/construction/squisher.T: 524 304
:geoo/construction/squisher.T: 524 296
:geoo/construction/squisher.T: 524 288
:geoo/construction/squisher.T: 524 280
:geoo/construction/squisher.T: 524 272
:geoo/construction/squisher.T: 492 304
:geoo/construction/squisher.T: 492 296
:geoo/construction/squisher.T: 492 288
:geoo/construction/squisher.T: 492 280
:geoo/construction/squisher.T: 492 272
:geoo/construction/squisher.T: 556 64
:geoo/construction/squisher.T: 556 56
:geoo/construction/squisher.T: 556 48
:geoo/construction/squisher.T: 556 40
:geoo/construction/squisher.T: 556 32
:geoo/construction/squisher.T: 524 64
:geoo/construction/squisher.T: 524 56
:geoo/construction/squisher.T: 524 48
:geoo/construction/squisher.T: 524 40
:geoo/construction/squisher.T: 524 32
:geoo/construction/squisher.T: 492 64
:geoo/construction/squisher.T: 492 56
:geoo/construction/squisher.T: 492 48
:geoo/construction/squisher.T: 492 40
:geoo/construction/squisher.T: 492 32
:geoo/construction/squisher.T: 556 544
:geoo/construction/squisher.T: 556 536
:geoo/construction/squisher.T: 556 528
:geoo/construction/squisher.T: 556 520
:geoo/construction/squisher.T: 556 512
:geoo/construction/squisher.T: 524 544
:geoo/construction/squisher.T: 524 536
:geoo/construction/squisher.T: 524 528
:geoo/construction/squisher.T: 524 520
:geoo/construction/squisher.T: 524 512
:geoo/construction/squisher.T: 492 544
:geoo/construction/squisher.T: 492 536
:geoo/construction/squisher.T: 492 528
:geoo/construction/squisher.T: 492 520
:geoo/construction/squisher.T: 492 512
:geoo/construction/squisher.T: 960 544
:geoo/construction/squisher.T: 960 536
:geoo/construction/squisher.T: 960 528
:geoo/construction/squisher.T: 960 520
:geoo/construction/squisher.T: 960 512
:geoo/construction/squisher.T: 992 544
:geoo/construction/squisher.T: 992 536
:geoo/construction/squisher.T: 992 528
:geoo/construction/squisher.T: 992 520
:geoo/construction/squisher.T: 992 512
:geoo/construction/squisher.T: 1024 544
:geoo/construction/squisher.T: 1024 536
:geoo/construction/squisher.T: 1024 528
:geoo/construction/squisher.T: 1024 520
:geoo/construction/squisher.T: 1024 512
:geoo/construction/squisher.T: 1056 544
:geoo/construction/squisher.T: 1056 536
:geoo/construction/squisher.T: 1056 528
:geoo/construction/squisher.T: 1056 520
:geoo/construction/squisher.T: 1056 512
:geoo/construction/squisher.T: 960 64
:geoo/construction/squisher.T: 960 56
:geoo/construction/squisher.T: 960 48
:geoo/construction/squisher.T: 960 40
:geoo/construction/squisher.T: 960 32
:geoo/construction/squisher.T: 992 64
:geoo/construction/squisher.T: 992 56
:geoo/construction/squisher.T: 992 48
:geoo/construction/squisher.T: 992 40
:geoo/construction/squisher.T: 992 32
:geoo/construction/squisher.T: 1024 64
:geoo/construction/squisher.T: 1024 56
:geoo/construction/squisher.T: 1024 48
:geoo/construction/squisher.T: 1024 40
:geoo/construction/squisher.T: 1024 32
:geoo/construction/squisher.T: 1056 64
:geoo/construction/squisher.T: 1056 56
:geoo/construction/squisher.T: 1056 48
:geoo/construction/squisher.T: 1056 40
:geoo/construction/squisher.T: 1056 32
:geoo/construction/squisher.T: 960 304
:geoo/construction/squisher.T: 960 296
:geoo/construction/squisher.T: 960 288
:geoo/construction/squisher.T: 960 280
:geoo/construction/squisher.T: 960 272
:geoo/construction/squisher.T: 992 304
:geoo/construction/squisher.T: 992 296
:geoo/construction/squisher.T: 992 288
:geoo/construction/squisher.T: 992 280
:geoo/construction/squisher.T: 992 272
:geoo/construction/squisher.T: 1024 304
:geoo/construction/squisher.T: 1024 296
:geoo/construction/squisher.T: 1024 288
:geoo/construction/squisher.T: 1024 280
:geoo/construction/squisher.T: 1024 272
:geoo/construction/squisher.T: 1056 304
:geoo/construction/squisher.T: 1056 296
