$BUILT 2013-05-15 20:51:36
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 3
$ENGLISH Still Just a Rat in a Cage (3p)

#SIZE_X 640
#SIZE_Y 624
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 65
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#WALKER 50
#JUMPER 50
#BUILDER 50
#PLATFORMER 40
#BASHER 40
#MINER 40
#EXPLODER2 15
#CUBER 15
#BATTER 15
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/goldmine/Hatch.H: 16 288
:matt/goldmine/Hatch.H: 16 496
:matt/goldmine/Hatch.H: 16 80

:geoo/abstract/goal.G: 304 288
:geoo/abstract/goal.G: 304 496
:geoo/abstract/goal.G: 304 80

:matt/goldmine/crate32: 0 272
:matt/goldmine/crate32: 128 272
:matt/goldmine/crate32: 0 240
:matt/goldmine/crate32: 32 240
:matt/goldmine/crate32: 64 240
:matt/goldmine/crate32: 128 240
:matt/goldmine/crate32: 128 336
:matt/goldmine/crate32: 64 336
:matt/goldmine/crate32: 32 336
:matt/goldmine/crate32: 0 336
:matt/goldmine/crate32: 96 240
:matt/goldmine/crate32: 160 272
:matt/goldmine/crate32: 288 272
:matt/goldmine/crate32: 160 240
:matt/goldmine/crate32: 192 240
:matt/goldmine/crate32: 224 240
:matt/goldmine/crate32: 288 240
:matt/goldmine/crate32: 288 336
:matt/goldmine/crate32: 224 336
:matt/goldmine/crate32: 192 336
:matt/goldmine/crate32: 160 336
:matt/goldmine/crate32: 256 240
:matt/goldmine/crate32: 320 272
:matt/goldmine/crate32: 448 272
:matt/goldmine/crate32: 320 240
:matt/goldmine/crate32: 352 240
:matt/goldmine/crate32: 384 240
:matt/goldmine/crate32: 448 240
:matt/goldmine/crate32: 448 336
:matt/goldmine/crate32: 384 336
:matt/goldmine/crate32: 352 336
:matt/goldmine/crate32: 320 336
:matt/goldmine/crate32: 416 240
:matt/goldmine/crate32: 416 336
:matt/goldmine/crate32: 480 272
:matt/goldmine/crate32: 608 272
:matt/goldmine/crate32: 480 240
:matt/goldmine/crate32: 512 240
:matt/goldmine/crate32: 544 240
:matt/goldmine/crate32: 608 240
:matt/goldmine/crate32: 608 336
:matt/goldmine/crate32: 544 336
:matt/goldmine/crate32: 512 336
:matt/goldmine/crate32: 480 336
:matt/goldmine/crate32: 576 240
:matt/goldmine/crate32: 576 336
:matt/goldmine/crate32: 0 480
:matt/goldmine/crate32: 128 480
:matt/goldmine/crate32: 0 448
:matt/goldmine/crate32: 32 448
:matt/goldmine/crate32: 64 448
:matt/goldmine/crate32: 128 448
:matt/goldmine/crate32: 128 544
:matt/goldmine/crate32: 64 544
:matt/goldmine/crate32: 32 544
:matt/goldmine/crate32: 0 544
:matt/goldmine/crate32: 96 448
:matt/goldmine/crate32: 96 544
:matt/goldmine/crate32: 160 480
:matt/goldmine/crate32: 288 480
:matt/goldmine/crate32: 160 448
:matt/goldmine/crate32: 192 448
:matt/goldmine/crate32: 224 448
:matt/goldmine/crate32: 288 448
:matt/goldmine/crate32: 288 544
:matt/goldmine/crate32: 224 544
:matt/goldmine/crate32: 192 544
:matt/goldmine/crate32: 160 544
:matt/goldmine/crate32: 256 448
:matt/goldmine/crate32: 256 544
:matt/goldmine/crate32: 320 480
:matt/goldmine/crate32: 448 480
:matt/goldmine/crate32: 320 448
:matt/goldmine/crate32: 352 448
:matt/goldmine/crate32: 384 448
:matt/goldmine/crate32: 448 448
:matt/goldmine/crate32: 448 544
:matt/goldmine/crate32: 384 544
:matt/goldmine/crate32: 352 544
:matt/goldmine/crate32: 320 544
:matt/goldmine/crate32: 416 448
:matt/goldmine/crate32: 416 544
:matt/goldmine/crate32: 480 480
:matt/goldmine/crate32: 608 480
:matt/goldmine/crate32: 480 448
:matt/goldmine/crate32: 512 448
:matt/goldmine/crate32: 544 448
:matt/goldmine/crate32: 608 448
:matt/goldmine/crate32: 608 544
:matt/goldmine/crate32: 544 544
:matt/goldmine/crate32: 512 544
:matt/goldmine/crate32: 480 544
:matt/goldmine/crate32: 576 448
:matt/goldmine/crate32: 576 544
:matt/goldmine/explosivecrate: 448 592
:geoo/steel/dark_16x32o.S: 176 544
:geoo/steel/dark_16x32o.S: 176 512
:geoo/steel/dark_16x32o.S: 176 480
:geoo/steel/dark_16x32o.S: 288 544
:geoo/steel/dark_16x32o.S: 288 512
:geoo/steel/dark_16x32o.S: 496 544
:geoo/steel/dark_16x32o.S: 336 544
:geoo/steel/dark_16x32o.S: 336 512
:geoo/steel/dark_16x32o.S: 496 480
:geoo/steel/dark_16x32o.S: 496 512
:geoo/steel/dark_16x32o.S: 336 480
:geoo/steel/dark_16x32o.S: 448 512
:geoo/steel/dark_16x32o.S: 448 544
:geoo/steel/dark_16x32o.S: 608 512
