$BUILT 2014-04-16 21:05:35
$AUTHOR RubiX
#INTENDED_NUMBER_OF_PLAYERS 3
$ENGLISH Too late: Check mate!(3p)

#SIZE_X 1536
#SIZE_Y 560
#TORUS_X 1
#TORUS_Y 0
#START_X 0
#START_Y 132
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 40
#INITIAL 70
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#WALKER 55
#JUMPER 35
#BLOCKER 2
#EXPLODER2 5
#BUILDER 50
#PLATFORMER 30
#BASHER 30
#MINER 30
#DIGGER 20
#RUNNER 20
#NOTHING 0
#NOTHING 0

:matt/carnival/Hatch.H: 64 16
:matt/carnival/Hatch.H: 576 16
:matt/carnival/Hatch.H: 1088 16

:matt/carnival/Goal.G: 608 288
:matt/carnival/Goal.G: 1120 288
:matt/carnival/Goal.G: 96 288

:matt/carnival/56: 832 528
:matt/carnival/57: 1088 528
:matt/carnival/55: 1344 528
:matt/carnival/01: 512 112
:matt/carnival/03: 544 112
:matt/carnival/01: 576 112
:matt/carnival/03: 608 112
:matt/carnival/01: 640 112
:matt/carnival/03: 672 112
:matt/carnival/01: 512 176
:matt/carnival/03: 544 176
:matt/carnival/01: 576 176
:matt/carnival/03: 608 176
:matt/carnival/01: 640 176
:matt/carnival/03: 672 176
:matt/carnival/01: 512 240
:matt/carnival/03: 544 240
:matt/carnival/01: 576 240
:matt/carnival/03: 608 240
:matt/carnival/01: 640 240
:matt/carnival/03: 672 240
:matt/carnival/01: 768 112
:matt/carnival/03: 800 112
:matt/carnival/01: 832 112
:matt/carnival/03: 864 112
:matt/carnival/01: 896 112
:matt/carnival/03: 928 112
:matt/carnival/01: 768 176
:matt/carnival/03: 800 176
:matt/carnival/01: 832 176
:matt/carnival/03: 864 176
:matt/carnival/01: 896 176
:matt/carnival/03: 928 176
:matt/carnival/01: 768 240
:matt/carnival/03: 800 240
:matt/carnival/01: 832 240
:matt/carnival/03: 864 240
:matt/carnival/01: 896 240
:matt/carnival/03: 928 240
:matt/carnival/01: 1280 112
:matt/carnival/03: 1312 112
:matt/carnival/01: 1344 112
:matt/carnival/03: 1376 112
:matt/carnival/01: 1408 112
:matt/carnival/03: 1440 112
:matt/carnival/01: 1280 176
:matt/carnival/03: 1312 176
:matt/carnival/01: 1344 176
:matt/carnival/03: 1376 176
:matt/carnival/01: 1408 176
:matt/carnival/03: 1440 176
:matt/carnival/01: 1280 240
:matt/carnival/03: 1312 240
:matt/carnival/01: 1344 240
:matt/carnival/03: 1376 240
:matt/carnival/01: 1408 240
:matt/carnival/03: 1440 240
:matt/carnival/01: 0 112
:matt/carnival/03: 32 112
:matt/carnival/01: 64 112
:matt/carnival/03: 96 112
:matt/carnival/01: 128 112
:matt/carnival/03: 160 112
:matt/carnival/01: 0 176
:matt/carnival/03: 32 176
:matt/carnival/01: 64 176
:matt/carnival/03: 96 176
:matt/carnival/01: 128 176
:matt/carnival/03: 160 176
:matt/carnival/01: 0 240
:matt/carnival/03: 32 240
:matt/carnival/01: 64 240
:matt/carnival/03: 96 240
:matt/carnival/01: 128 240
:matt/carnival/03: 160 240
:matt/carnival/01: 256 112
:matt/carnival/03: 288 112
:matt/carnival/01: 320 112
:matt/carnival/03: 352 112
:matt/carnival/01: 384 112
:matt/carnival/03: 416 112
:matt/carnival/01: 256 176
:matt/carnival/03: 288 176
:matt/carnival/01: 320 176
:matt/carnival/03: 352 176
:matt/carnival/01: 384 176
:matt/carnival/03: 416 176
:matt/carnival/01: 256 240
:matt/carnival/03: 288 240
:matt/carnival/01: 320 240
:matt/carnival/03: 352 240
:matt/carnival/01: 384 240
:matt/carnival/03: 416 240
:matt/carnival/27: 1184 272
:matt/carnival/01: 1024 112
:matt/carnival/03: 1056 112
:matt/carnival/01: 1088 112
:matt/carnival/03: 1120 112
:matt/carnival/01: 1152 112
:matt/carnival/03: 1184 112
:matt/carnival/01: 1024 176
:matt/carnival/03: 1056 176
:matt/carnival/01: 1088 176
:matt/carnival/03: 1120 176
:matt/carnival/01: 1152 176
:matt/carnival/03: 1184 176
:matt/carnival/01: 1024 240
:matt/carnival/03: 1056 240
:matt/carnival/01: 1088 240
:matt/carnival/03: 1120 240
:matt/carnival/01: 1152 240
:matt/carnival/03: 1184 240
:matt/carnival/25: 1440 272
:matt/carnival/24: 160 272
:matt/carnival/26: 224 272
:matt/carnival/27: 672 272
:matt/carnival/25: 1504 336
:matt/carnival/56: 64 528
:matt/carnival/57: 320 528
:matt/carnival/55: 576 528
:matt/carnival/24: 1504 272
:matt/carnival/27: 416 336
:matt/carnival/26: 1248 272
:matt/carnival/24: 1440 336
:matt/carnival/27: 480 272
:matt/carnival/25: 736 272
:matt/carnival/26: 160 336
:matt/carnival/24: 224 336
:matt/carnival/26: 1184 336
:matt/carnival/27: 1248 336
:matt/carnival/25: 672 336
:matt/carnival/25: 928 272
