$BUILT 2014-04-16 21:14:14
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 3
$ENGLISH Factory defense(3p)

#SIZE_X 640
#SIZE_Y 672
#TORUS_X 0
#TORUS_Y 1
#START_X 0
#START_Y 12
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 70
#INITIAL 80
#REQUIRED 80
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#CLIMBER 5
#FLOATER 5
#WALKER 50
#JUMPER 50
#BUILDER 60
#PLATFORMER 40
#BASHER 60
#MINER 60
#CUBER 20
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 352 0 r
:matt/marble/Hatch.H: 352 224 r
:matt/marble/Hatch.H: 352 448 r
:matt/marble/Hatch.H: 112 80 r
:matt/marble/Hatch.H: 112 304 r
:matt/marble/Hatch.H: 112 528 r
:matt/marble/Hatch.H: 48 0
:matt/marble/Hatch.H: 48 224
:matt/marble/Hatch.H: 48 448

:matt/marble/Goal.G: 416 384
:matt/marble/Goal.G: 416 608
:matt/marble/Goal.G: 416 160

:geoo/construction/squisher.T: 16 144
:geoo/construction/squisher.T: 208 16
:geoo/construction/squisher.T: 144 16
:geoo/construction/squisher.T: 16 368
:geoo/construction/squisher.T: 208 240
:geoo/construction/squisher.T: 144 240
:geoo/construction/squisher.T: 16 592
:geoo/construction/squisher.T: 208 464
:geoo/construction/squisher.T: 144 464

:geoo/construction/Laseremit_hzl_16.F: 320 144
:geoo/construction/Laser_hz_16.F: 352 144
:geoo/construction/Laser_hz_16.F: 336 144
:geoo/construction/sawblade_medium.F: 240 -16
:geoo/construction/sawblade_small.F: 336 192
:geoo/construction/Laseremit_hzr_16.F: 368 144
:geoo/construction/sawblade_small.F: 336 80
:geoo/construction/sawblade_small.F: 336 96
:geoo/construction/sawblade_medium.F: 48 80
:geoo/construction/Laseremit_hzl_16.F: 320 368
:geoo/construction/Laser_hz_16.F: 352 368
:geoo/construction/Laser_hz_16.F: 336 368
:geoo/construction/sawblade_small.F: 336 416
:geoo/construction/Laseremit_hzr_16.F: 368 368
:geoo/construction/sawblade_small.F: 336 304
:geoo/construction/sawblade_small.F: 336 320
:geoo/construction/sawblade_medium.F: 48 304
:geoo/construction/Laseremit_hzl_16.F: 320 592
:geoo/construction/Laser_hz_16.F: 352 592
:geoo/construction/Laser_hz_16.F: 336 592
:geoo/construction/sawblade_small.F: 336 640
:geoo/construction/Laseremit_hzr_16.F: 368 592
:geoo/construction/sawblade_small.F: 336 528
:geoo/construction/sawblade_small.F: 336 544
:geoo/construction/sawblade_medium.F: 48 528

:matt/marble/06b: 384 368
:matt/marble/06b: 288 368
:matt/marble/06a: 288 144
:matt/marble/06a: 384 144
:matt/marble/06: 16 112 rrr
:matt/marble/06: 608 16
:geoo/steel/32x16o.S: 0 208
:geoo/steel/32x16o.S: 32 208
:geoo/steel/32x16o.S: 64 208
:geoo/steel/32x16o.S: 96 208
:geoo/steel/32x16o.S: 128 208
:geoo/steel/32x16o.S: 160 208
:geoo/steel/32x16o.S: 192 208
:geoo/steel/32x16o.S: 224 208
:geoo/steel/32x16o.S: 256 208
:geoo/steel/32x16o.S: 288 208
:geoo/steel/32x16o.S: 320 208
:geoo/steel/32x16o.S: 352 208
:geoo/steel/32x16o.S: 384 208
:geoo/steel/32x16o.S: 416 208
:geoo/steel/32x16o.S: 448 208
:geoo/steel/32x16o.S: 480 208
:geoo/steel/16x32o.S: 0 176
:geoo/steel/16x32o.S: 0 144
:geoo/steel/16x32o.S: 0 112
:geoo/steel/16x32o.S: 0 80
:geoo/steel/16x32o.S: 0 48
:geoo/steel/16x32o.S: 0 16
:geoo/steel/32x16o.S: 0 0
:geoo/steel/32x16o.S: 32 0
:geoo/steel/32x16o.S: 64 0
:geoo/steel/32x16o.S: 96 0
:geoo/steel/32x16o.S: 128 0
:geoo/steel/32x16o.S: 160 0
:geoo/steel/32x16o.S: 192 0
:geoo/steel/32x16o.S: 224 0
:geoo/steel/32x16o.S: 256 0
:geoo/steel/32x16o.S: 288 0
:geoo/steel/32x16o.S: 320 0
:geoo/steel/32x16o.S: 352 0
:geoo/steel/32x16o.S: 384 0
:geoo/steel/32x16o.S: 416 0
:geoo/steel/32x16o.S: 448 0
:geoo/steel/32x16o.S: 480 0
:geoo/steel/32x16o.S: 480 192
:geoo/steel/32x16o.S: 480 176
:geoo/steel/32x16o.S: 480 160
:geoo/steel/32x16o.S: 480 144
:geoo/steel/32x16o.S: 480 128
:geoo/steel/32x16o.S: 480 112
:geoo/steel/32x16o.S: 480 96
:geoo/steel/32x16o.S: 480 80
:geoo/steel/32x16o.S: 480 64
:geoo/steel/32x16o.S: 480 16
:geoo/steel/32x16o.S: 512 208
:geoo/steel/32x16o.S: 304 80
:geoo/steel/32x16o.S: 272 80
:geoo/steel/32x16o.S: 336 96
:geoo/steel/32x16o.S: 368 80
