$BUILT 2014-07-05 18:14:05
$AUTHOR Amanda
$GERMAN Why is Lix set for German!?
$ENGLISH One For Me, One For You (4p)

#SIZE_X 896
#SIZE_Y 440
#TORUS_X 1
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 45
#INITIAL 220
#REQUIRED 20
#SPAWN_INTERVAL 6
#SPAWN_INTERVAL_FAST 4

#BASHER 5
#MINER -1
#DIGGER -1
#BATTER -1
#BLOCKER 4
#PLATFORMER 24
#BUILDER 2
#CUBER 1
#WALKER 60
#JUMPER 20
#CLIMBER 0
#FLOATER 2

:matt/marble/Hatch.H: 232 8
:matt/marble/Hatch.H: 456 8
:matt/marble/Hatch.H: 680 8
:matt/marble/Hatch.H: 8 8

:matt/underworld/Goal.G: 640 360
:matt/underworld/Goal.G: 864 360
:matt/underworld/Goal.G: 192 360
:matt/underworld/Goal.G: 416 360

:amanda/forest/frog.T: 232 32
:amanda/forest/frog.T: 232 232
:amanda/forest/frog_catch.T: 376 232
:amanda/forest/frog_happy.T: 344 296
:amanda/forest/frog.T: 456 32
:amanda/forest/frog.T: 456 232
:amanda/forest/frog_catch.T: 600 232
:amanda/forest/frog_happy.T: 568 296
:amanda/forest/frog.T: 680 32
:amanda/forest/frog.T: 680 232
:amanda/forest/frog_catch.T: 824 232
:amanda/forest/frog_happy.T: 792 296
:amanda/forest/frog.T: 8 32
:amanda/forest/frog.T: 8 232
:amanda/forest/frog_catch.T: 152 232
:amanda/forest/frog_happy.T: 120 296

:matt/marble/05b: 224 112
:geoo/steel/dark_32x32o.S: 224 80
:geoo/steel/dark_32x32o.S: 272 80
:matt/marble/05b: 272 112
:matt/marble/05b: 248 144
:matt/marble/05d: 248 176
:geoo/steel/dark_32x32o.S: 280 176
:geoo/steel/dark_32x32o.S: 312 176
:geoo/steel/dark_32x32o.S: 344 176
:geoo/steel/dark_32x32o.S: 216 176
:geoo/steel/dark_64x32o.S: 232 280
:geoo/steel/dark_64x32o.S: 296 280
:geoo/steel/32x16o.S: 266 208
:geoo/steel/32x16o.S: 230 208
:matt/marble/05c: 360 280
:geoo/steel/32x32o.S: 392 280
:geoo/steel/32x32o.S: 376 176
:geoo/steel/32x32o.S: 408 176
:matt/marble/03d: 360 144
:matt/marble/03d: 392 144
:matt/marble/03d: 392 112
:matt/marble/03d: 360 112
:matt/marble/03d: 360 80
:matt/marble/03d: 392 80
:matt/marble/03d: 360 48
:matt/marble/03d: 392 48
:matt/marble/03d: 360 16
:matt/marble/03d: 392 16
:geoo/steel/32x16o.S: 224 0
:geoo/steel/32x16o.S: 256 0
:geoo/steel/32x16o.S: 288 0
:geoo/steel/32x16o.S: 320 0
:geoo/steel/32x16o.S: 352 0
:geoo/steel/32x16o.S: 384 0
:geoo/steel/32x16o.S: 416 0
:geoo/steel/dark_32x16o.S: 360 424
:geoo/steel/dark_32x16o.S: 392 424
:geoo/steel/dark_32x16o.S: 424 424
:geoo/steel/dark_32x16o.S: 232 424
:geoo/steel/dark_32x16o.S: 264 424
:geoo/steel/dark_32x16o.S: 296 424
:geoo/steel/dark_32x16o.S: 328 424
:matt/beach/decor/palmtree: 330 331
:geoo/steel/dark_32x32o.S: 272 312
:geoo/steel/dark_32x32o.S: 272 344
:geoo/steel/dark_32x32o.S: 272 392
:geoo/steel/dark_32x16o.S: 272 376
:matt/marble/05b: 448 112
:geoo/steel/dark_32x32o.S: 448 80
:geoo/steel/dark_32x32o.S: 496 80
:matt/marble/05b: 496 112
:matt/marble/05b: 472 144
:geoo/steel/dark_32x32o.S: 504 176
:geoo/steel/dark_32x32o.S: 536 176
:geoo/steel/dark_32x32o.S: 568 176
:geoo/steel/dark_32x32o.S: 440 176
:geoo/steel/dark_64x32o.S: 456 280
:geoo/steel/dark_64x32o.S: 520 280
:geoo/steel/32x16o.S: 490 208
:geoo/steel/32x16o.S: 454 208
:matt/marble/05c: 584 280
:geoo/steel/32x32o.S: 616 280
:geoo/steel/32x32o.S: 600 176
:geoo/steel/32x32o.S: 632 176
:matt/marble/03d: 584 144
:matt/marble/03d: 616 144
:matt/marble/03d: 616 112
:matt/marble/03d: 584 112
:matt/marble/03d: 584 80
:matt/marble/03d: 616 80
:matt/marble/03d: 584 48
:matt/marble/03d: 616 48
:matt/marble/03d: 584 16
:matt/marble/03d: 616 16
:geoo/steel/32x16o.S: 448 0
:geoo/steel/32x16o.S: 480 0
:geoo/steel/32x16o.S: 512 0
:geoo/steel/32x16o.S: 544 0
:geoo/steel/32x16o.S: 576 0
:geoo/steel/32x16o.S: 608 0
:geoo/steel/32x16o.S: 640 0
:geoo/steel/32x32o.S: 424 280
:geoo/steel/dark_32x16o.S: 584 424
:geoo/steel/dark_32x16o.S: 616 424
:geoo/steel/dark_32x16o.S: 648 424
:geoo/steel/dark_32x16o.S: 456 424
:geoo/steel/dark_32x16o.S: 488 424
:geoo/steel/dark_32x16o.S: 520 424
:geoo/steel/dark_32x16o.S: 552 424
:matt/beach/decor/palmtree: 554 331
:geoo/steel/dark_32x32o.S: 496 312
:geoo/steel/dark_32x32o.S: 496 344
:geoo/steel/dark_32x32o.S: 496 392
:geoo/steel/dark_32x16o.S: 496 376
:matt/marble/05b: 672 112
:geoo/steel/dark_32x32o.S: 672 80
