$BUILT 2014-06-14 17:37:49
$AUTHOR Amanda
$GERMAN 
$ENGLISH Turrets (4p)

#SIZE_X 1536
#SIZE_Y 640
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 80
#INITIAL 60
#REQUIRED 30
#SPAWN_INTERVAL 25
#SPAWN_INTERVAL_FAST 4

#WALKER 30
#JUMPER 10
#FLOATER 10
#CLIMBER 20
#EXPLODER2 20
#BLOCKER 10
#BATTER 20
#BUILDER 30
#PLATFORMER 20
#BASHER 20
#MINER 30
#DIGGER 20

:geoo/abstract/hatch.H: 928 96
:geoo/abstract/hatch.H: 1312 256
:geoo/abstract/hatch.H: 160 416
:geoo/abstract/hatch.H: 544 576

:geoo/abstract/goal.G: 1392 16
:geoo/abstract/goal.G: 240 176
:geoo/abstract/goal.G: 624 336
:geoo/abstract/goal.G: 1008 496

:matt/marble/05d: 800 96
:matt/marble/05b: 800 64
:matt/marble/05b: 896 160
:matt/marble/05b: 960 160
:matt/marble/05d: 864 160
:matt/marble/05d: 896 192
:matt/marble/05d: 928 160
:matt/marble/05d: 960 192
:matt/marble/05d: 992 160
:matt/marble/05d: 1056 96
:matt/marble/05d: 1024 64
:matt/marble/05b: 928 256
:matt/marble/05d: 896 256
:matt/marble/05d: 928 224
:matt/marble/05d: 960 256
:matt/marble/17d: 832 256
:matt/marble/17d: 800 224
:matt/marble/15d: 1024 256
:matt/marble/15d: 1056 224
:geoo/steel/32x32o.S: 864 192
:geoo/steel/32x32o.S: 896 224
:geoo/steel/32x32o.S: 960 224
:geoo/steel/32x32o.S: 992 192
:geoo/steel/32x32o.S: 1024 224
:geoo/steel/32x32o.S: 832 224
:geoo/steel/32x32o.S: 1056 192
:geoo/steel/32x32o.S: 800 192
:matt/marble/05b: 928 192
:matt/marble/05_2: 864 288
:matt/marble/05_2: 992 288
:matt/marble/05b: 960 288
:matt/marble/05b: 896 288
:matt/marble/05_2: 960 320
:matt/marble/05_2: 896 320
:matt/marble/05_2: 864 352
:matt/marble/05_2: 992 352
:matt/marble/05b: 992 320
:matt/marble/05b: 864 320
:matt/marble/05b: 896 352
:matt/marble/05b: 864 384
:matt/marble/05b: 896 416
:geoo/steel/32x32o.S: 928 480
:geoo/steel/32x32o.S: 960 512
:geoo/steel/32x32o.S: 1024 576
:geoo/steel/dark_32x32o.S: 1024 544
:geoo/steel/dark_32x32o.S: 960 544
:geoo/steel/dark_32x32o.S: 928 512
:geoo/steel/dark_32x32o.S: 896 480
:geoo/steel/dark_32x32o.S: 864 448
:geoo/steel/32x32o.S: 896 448
:geoo/steel/32x32o.S: 864 416
:geoo/steel/32x32o.S: 960 352
:geoo/steel/32x32o.S: 992 384
:geoo/steel/dark_32x32o.S: 960 384
:geoo/steel/dark_32x32o.S: 992 416
:geoo/steel/32x32o.S: 1056 544
:geoo/steel/dark_32x32o.S: 1088 544
:geoo/steel/dark_32x32o.S: 1056 576
:geoo/steel/32x32o.S: 1056 384
:geoo/steel/32x32o.S: 1088 416
:geoo/steel/dark_32x32o.S: 1088 384
:geoo/steel/dark_32x32o.S: 1056 416
:geoo/steel/32x32o.S: 992 544
:geoo/steel/32x32o.S: 1024 416
:geoo/steel/dark_32x32o.S: 1024 384
:geoo/steel/dark_32x32o.S: 992 576
:geoo/steel/dark_32x32o.S: 1024 192
:geoo/steel/32x32o.S: 1024 160
:geoo/steel/dark_32x32o.S: 1056 160
:geoo/steel/32x32o.S: 1056 128
:geoo/steel/dark_32x32o.S: 832 192
:geoo/steel/32x32o.S: 832 160
:matt/marble/05b: 832 96
:matt/marble/05d: 832 128
:geoo/steel/dark_32x32o.S: 864 224
:geoo/steel/32x32o.S: 864 256
:matt/marble/05_2: 928 288
:matt/marble/05b: 928 320
:matt/marble/05_2: 928 352
:geoo/steel/32x32o.S: 800 416
:geoo/steel/dark_32x32o.S: 800 384
:geoo/steel/dark_32x32o.S: 768 416
:geoo/steel/dark_32x32o.S: 832 416
:geoo/steel/32x32o.S: 832 384
:matt/marble/05b: 1024 96
:matt/marble/05d: 1024 128
:geoo/steel/dark_32x32o.S: 992 224
:geoo/steel/32x32o.S: 992 256
:matt/marble/05_2: 864 608
:matt/marble/05_2: 992 608
:matt/marble/05_2: 960 0
:matt/marble/05_2: 896 0
:matt/marble/05_2: 928 608
:matt/marble/05_2: 896 576
:matt/marble/05_2: 864 544
:matt/marble/05_2: 864 480
:matt/marble/05_2: 896 512
:matt/marble/05_2: 928 544
:matt/marble/05_2: 960 576
:matt/marble/05_2: 896 384
:matt/marble/05_2: 928 32
:matt/marble/05b: 864 512
:matt/marble/05b: 896 544
:matt/marble/05b: 928 576
:matt/marble/05b: 960 608
:matt/marble/05b: 928 0
:matt/marble/05b: 896 608
:matt/marble/05b: 864 576
:geoo/steel/32x32o.S: 1248 352
:geoo/steel/32x32o.S: 1280 384
:geoo/steel/32x32o.S: 1344 384
:geoo/steel/32x32o.S: 1376 352
:geoo/steel/32x32o.S: 1408 384
:geoo/steel/32x32o.S: 1216 384
:geoo/steel/32x32o.S: 1440 352
:geoo/steel/32x32o.S: 1184 352
:geoo/steel/32x32o.S: 1312 0
:geoo/steel/32x32o.S: 1344 32
:geoo/steel/32x32o.S: 1408 96
:geoo/steel/dark_32x32o.S: 1408 64
:geoo/steel/dark_32x32o.S: 1344 64
:geoo/steel/dark_32x32o.S: 1312 32
:geoo/steel/dark_32x32o.S: 1280 0
:geoo/steel/dark_32x32o.S: 1248 608
:geoo/steel/32x32o.S: 1280 608
:geoo/steel/32x32o.S: 1248 576
:geoo/steel/32x32o.S: 1344 512
:geoo/steel/32x32o.S: 1376 544
:geoo/steel/dark_32x32o.S: 1344 544
:geoo/steel/dark_32x32o.S: 1376 576
:geoo/steel/32x32o.S: 1440 64
:geoo/steel/dark_32x32o.S: 1472 64
:geoo/steel/dark_32x32o.S: 1440 96
:geoo/steel/32x32o.S: 1440 544
:geoo/steel/32x32o.S: 1472 576
:geoo/steel/dark_32x32o.S: 1472 544
:geoo/steel/dark_32x32o.S: 1440 576
:geoo/steel/32x32o.S: 1376 64
:geoo/steel/32x32o.S: 1408 576
:geoo/steel/dark_32x32o.S: 1408 544
:geoo/steel/dark_32x32o.S: 1376 96
:geoo/steel/dark_32x32o.S: 1408 352
:geoo/steel/32x32o.S: 1408 320
:geoo/steel/dark_32x32o.S: 1440 320
:geoo/steel/32x32o.S: 1440 288
:geoo/steel/dark_32x32o.S: 1216 352
:geoo/steel/32x32o.S: 1216 320
:geoo/steel/dark_32x32o.S: 1248 384
:geoo/steel/32x32o.S: 1248 416
:geoo/steel/32x32o.S: 1184 576
:geoo/steel/dark_32x32o.S: 1184 544
:geoo/steel/dark_32x32o.S: 1152 576
:geoo/steel/dark_32x32o.S: 1216 576
:geoo/steel/32x32o.S: 1216 544
:geoo/steel/dark_32x32o.S: 1376 384
:geoo/steel/32x32o.S: 1376 416
:matt/marble/05b: 800 128
:matt/marble/05d: 800 160
:geoo/steel/32x32o.S: 160 160
:geoo/steel/32x32o.S: 192 192
:geoo/steel/32x32o.S: 256 256
:geoo/steel/dark_32x32o.S: 256 224
:geoo/steel/dark_32x32o.S: 192 224
:geoo/steel/dark_32x32o.S: 160 192
:geoo/steel/dark_32x32o.S: 128 160
:geoo/steel/dark_32x32o.S: 96 128
:geoo/steel/32x32o.S: 128 128
:geoo/steel/32x32o.S: 96 96
:geoo/steel/32x32o.S: 192 32
:geoo/steel/32x32o.S: 224 64
:geoo/steel/dark_32x32o.S: 192 64
:geoo/steel/dark_32x32o.S: 224 96
:geoo/steel/32x32o.S: 288 224
:geoo/steel/dark_32x32o.S: 320 224
:geoo/steel/dark_32x32o.S: 288 256
:geoo/steel/32x32o.S: 288 64
:geoo/steel/32x32o.S: 320 96
:geoo/steel/dark_32x32o.S: 320 64
:geoo/steel/dark_32x32o.S: 288 96
:geoo/steel/32x32o.S: 224 224
:geoo/steel/32x32o.S: 256 96
:geoo/steel/dark_32x32o.S: 256 64
:geoo/steel/dark_32x32o.S: 224 256
:geoo/steel/32x32o.S: 32 96
:geoo/steel/dark_32x32o.S: 32 64
:geoo/steel/dark_32x32o.S: 0 96
:geoo/steel/dark_32x32o.S: 64 96
:geoo/steel/32x32o.S: 64 64
:geoo/steel/32x32o.S: 96 512
:geoo/steel/32x32o.S: 128 544
:geoo/steel/32x32o.S: 192 544
:geoo/steel/32x32o.S: 224 512
:geoo/steel/32x32o.S: 256 544
:geoo/steel/32x32o.S: 64 544
:geoo/steel/32x32o.S: 288 512
:geoo/steel/32x32o.S: 32 512
