$BUILT 2021-01-07 18:30:04
$AUTHOR Flopsy
$ENGLISH Lithium Stretch 4P

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 1302
#SIZE_Y 320
#TORUS_X 1
#TORUS_Y 1

#SECONDS 80
#INITIAL 60
#SPAWN_INTERVAL 32

#WALKER -1
#RUNNER 20
#EXPLODER2 10
#BLOCKER 10
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 30
#DIGGER 10
#JUMPER -1
#BATTER -1
#CUBER 20

:geoo/construction/Hatch.H: 1176 111
:geoo/construction/Hatch.H: 850 191
:geoo/construction/Hatch.H: 522 111
:geoo/construction/Hatch.H: 196 191

:geoo/construction/Goal2.G: 506 255
:geoo/construction/Goal2.G: 180 14
:geoo/construction/Goal2.G: 1160 255
:geoo/construction/Goal2.G: 834 14

:geoo/construction/sawblade.F: 66 170
:geoo/construction/sawblade.F: 66 10
:geoo/construction/sawblade.F: 318 170
:geoo/construction/sawblade.F: 392 90
:geoo/construction/sawblade.F: 318 12
:geoo/construction/sawblade.F: 392 250
:geoo/construction/sawblade.F: 719 170
:geoo/construction/sawblade.F: 719 10
:geoo/construction/sawblade.F: 972 170
:geoo/construction/sawblade.F: 1046 90
:geoo/construction/sawblade.F: 972 12
:geoo/construction/sawblade.F: 1046 250
:geoo/construction/sawblade.F: 518 186
:geoo/construction/sawblade.F: 518 26
:geoo/construction/sawblade.F: 846 266
:geoo/construction/sawblade.F: 846 106
:geoo/construction/sawblade.F: 1172 26
:geoo/construction/sawblade.F: 1172 186
:geoo/construction/sawblade.F: 1297 250
:geoo/construction/sawblade.F: 1298 90
:geoo/construction/sawblade.F: 192 106
:geoo/construction/sawblade.F: 192 266
:geoo/construction/sawblade.F: 643 251
:geoo/construction/sawblade.F: 644 91
:geoo/construction/sawblade.F: 1209 246
:geoo/construction/sawblade.F: 1135 246
:geoo/construction/sawblade.F: 1209 86
:geoo/construction/sawblade.F: 1135 86
:geoo/construction/sawblade.F: 229 166
:geoo/construction/sawblade.F: 155 166
:geoo/construction/sawblade.F: 229 6
:geoo/construction/sawblade.F: 155 6
:geoo/construction/sawblade.F: 555 86
:geoo/construction/sawblade.F: 481 86
:geoo/construction/sawblade.F: 555 246
:geoo/construction/sawblade.F: 481 246
:geoo/construction/sawblade.F: 883 166
:geoo/construction/sawblade.F: 809 166
:geoo/construction/sawblade.F: 883 6
:geoo/construction/sawblade.F: 809 6

:geoo/construction/platformbrick: 64 143
:geoo/construction/platformbrick: 96 143
:geoo/construction/platformbrick: 128 143
:geoo/construction/platformbrick: 160 143
:geoo/construction/platformbrick: 192 143
:geoo/construction/platformbrick: 224 143
:geoo/construction/platformbrick: 256 143
:geoo/construction/platformbrick: 288 143
:geoo/construction/platformbrick: 320 143
:geoo/construction/platformbrick: 56 143
:geoo/construction/platformbrick: 328 143
:geoo/construction/platformbrick: 64 143
:geoo/construction/platformbrick: 96 143
:geoo/construction/fence_rust_32x32: 132 112
:geoo/construction/platformbrick: 320 143
:geoo/construction/fence_rust_32x32: 260 304
:geoo/construction/fence_rust_32x32: 292 304
:geoo/construction/platformbrick: 336 143
:geoo/construction/platformbrick: 128 143
:geoo/construction/fence_rust_32x32: 228 112
:geoo/construction/platformbrick: 224 143
:geoo/construction/fence_rust_32x32: 260 112
:geoo/construction/platformbrick: 288 143
:geoo/construction/platformbrick: 256 143
:geoo/construction/fence_rust_32x32: 228 80
:geoo/construction/fence_rust_32x32: 196 80
:geoo/construction/fence_rust_32x32: 228 0
:geoo/construction/fence_rust_32x32: 260 0
:geoo/construction/fence_rust_32x32: 164 112
:geoo/construction/platformbrick: 192 143
:geoo/construction/platformbrick: 160 143
:geoo/construction/fence_rust_32x32: 164 80
:geoo/construction/fence_rust_32x32: 164 0
:geoo/construction/fence_rust_32x32: 132 0
:geoo/construction/fence_rust_32x32: 132 304
:geoo/construction/platform.S: 196 78
:geoo/construction/fence_rust_32x32: 244 48
:geoo/construction/platform.S: 228 78
:geoo/construction/fence_rust_32x32: 148 48
:geoo/construction/platform.S: 164 78
:geoo/construction/fence_rust_32x32: 196 0
:geoo/construction/fence_rust_32x32: 260 32
:geoo/construction/fence_rust_32x32: 276 16
:geoo/construction/fence_rust_32x32: 292 0
:geoo/construction/fence_rust_32x32: 308 304
:geoo/construction/fence_rust_32x32: 324 305
:geoo/construction/fence_rust_32x32: 132 32
:geoo/construction/fence_rust_32x32: 116 16
:geoo/construction/fence_rust_32x32: 100 0
:geoo/construction/fence_rust_32x32: 84 304
:geoo/construction/fence_rust_32x32: 100 304
:geoo/construction/platformbrick: 56 143
:geoo/construction/fence_rust_32x32: 292 112
:geoo/construction/fence_rust_32x32: 100 112
:geoo/construction/fence_rust_32x32: 68 304
:geoo/construction/platformbrick: 64 303
:geoo/construction/platformbrick: 96 303
:geoo/construction/platformbrick: 128 303
:geoo/construction/platformbrick: 160 303
:geoo/construction/platformbrick: 192 303
:geoo/construction/platformbrick: 224 303
:geoo/construction/platformbrick: 256 303
:geoo/construction/platformbrick: 288 303
:geoo/construction/platformbrick: 320 303
:geoo/construction/platformbrick: 56 303
:geoo/construction/platformbrick: 328 303
:geoo/construction/platformbrick: 64 303
:geoo/construction/platformbrick: 96 303
:geoo/construction/fence_rust_32x32: 132 272
:geoo/construction/platformbrick: 320 303
:geoo/construction/platformbrick: 64 143
:geoo/construction/platformbrick: 96 143
:geoo/construction/platformbrick: 160 143
:geoo/construction/platformbrick: 192 143
:geoo/construction/platformbrick: 224 143
:geoo/construction/fence_rust_32x32: 260 144
:geoo/construction/platformbrick: 256 143
:geoo/construction/fence_rust_32x32: 292 144
:geoo/construction/platformbrick: 288 143
:geoo/construction/platformbrick: 320 143
:geoo/construction/platformbrick: 328 143
:geoo/construction/platformbrick: 336 303
:geoo/construction/platformbrick: 336 143
:geoo/construction/platformbrick: 128 303
:geoo/construction/fence_rust_32x32: 228 272
:geoo/construction/platformbrick: 224 303
:geoo/construction/fence_rust_32x32: 260 272
:geoo/construction/platformbrick: 288 303
:geoo/construction/platformbrick: 256 303
:geoo/construction/fence_rust_32x32: 228 240
:geoo/construction/fence_rust_32x32: 196 240
:geoo/construction/fence_rust_32x32: 228 160
:geoo/construction/fence_rust_32x32: 260 160
:geoo/construction/fence_rust_32x32: 164 272
:geoo/construction/platformbrick: 192 303
:geoo/construction/platformbrick: 160 303
:geoo/construction/fence_rust_32x32: 164 240
:geoo/construction/fence_rust_32x32: 164 160
:geoo/construction/fence_rust_32x32: 132 160
:geoo/construction/fence_rust_32x32: 132 144
:geoo/construction/platformbrick: 128 143
:geoo/construction/platform.S: 196 238
:geoo/construction/fence_rust_32x32: 244 208
:geoo/construction/platform.S: 228 238
:geoo/construction/fence_rust_32x32: 148 208
:geoo/construction/platform.S: 164 238
:geoo/construction/fence_rust_32x32: 196 160
:geoo/construction/fence_rust_32x32: 260 192
:geoo/construction/fence_rust_32x32: 276 176
:geoo/construction/fence_rust_32x32: 292 160
:geoo/construction/fence_rust_32x32: 308 144
:geoo/construction/fence_rust_32x32: 324 145
:geoo/construction/fence_rust_32x32: 132 192
:geoo/construction/fence_rust_32x32: 116 176
:geoo/construction/fence_rust_32x32: 100 160
:geoo/construction/fence_rust_32x32: 84 144
:geoo/construction/fence_rust_32x32: 100 144
:geoo/construction/platformbrick: 56 303
:geoo/construction/platformbrick: 56 143
:geoo/construction/fence_rust_32x32: 292 272
:geoo/construction/fence_rust_32x32: 100 272
:geoo/construction/fence_rust_32x32: 68 144
:geoo/construction/stairs_ru_32.S: 1298 143
:geoo/construction/platform.S: 324 143
:geoo/construction/platform.S: 292 143
:geoo/construction/platform.S: 260 143
:geoo/construction/platform.S: 228 143
:geoo/construction/platform.S: 196 143
:geoo/construction/platform.S: 164 143
:geoo/construction/platform.S: 132 143
:geoo/construction/platform.S: 100 143
:geoo/construction/platform.S: 68 143
:geoo/construction/platform.S: 324 303
:geoo/construction/platform.S: 292 303
:geoo/construction/platform.S: 260 303
:geoo/construction/platform.S: 228 303
:geoo/construction/platform.S: 196 303
:geoo/construction/platform.S: 164 303
:geoo/construction/platform.S: 132 303
:geoo/construction/platform.S: 100 303
:geoo/construction/platform.S: 68 303
:geoo/construction/platformbrick: 390 223
:geoo/construction/platformbrick: 422 223
:geoo/construction/fence_rust_32x32: 458 192
:geoo/construction/platformbrick: 646 223
:geoo/construction/platformbrick: 390 63
:geoo/construction/platformbrick: 422 63
:geoo/construction/platformbrick: 486 63
:geoo/construction/platformbrick: 518 63
:geoo/construction/platformbrick: 550 63
:geoo/construction/fence_rust_32x32: 586 64
:geoo/construction/platformbrick: 582 63
:geoo/construction/fence_rust_32x32: 618 64
:geoo/construction/platformbrick: 614 63
:geoo/construction/platformbrick: 646 63
:geoo/construction/platformbrick: 654 63
:geoo/construction/platformbrick: 662 223
:geoo/construction/platformbrick: 662 63
:geoo/construction/platformbrick: 454 223
:geoo/construction/fence_rust_32x32: 554 192
:geoo/construction/platformbrick: 550 223
:geoo/construction/fence_rust_32x32: 586 192
:geoo/construction/platformbrick: 614 223
:geoo/construction/platformbrick: 582 223
:geoo/construction/fence_rust_32x32: 554 160
:geoo/construction/fence_rust_32x32: 522 160
:geoo/construction/fence_rust_32x32: 554 80
:geoo/construction/fence_rust_32x32: 586 80
:geoo/construction/fence_rust_32x32: 490 192
:geoo/construction/platformbrick: 518 223
:geoo/construction/platformbrick: 486 223
:geoo/construction/fence_rust_32x32: 490 160
:geoo/construction/fence_rust_32x32: 490 80
