$BUILT 2022-04-24 14:36:19
$AUTHOR Flopsy
$ENGLISH Palace of Excess 4P

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 1536
#SIZE_Y 896
#TORUS_X 1
#TORUS_Y 1

#SECONDS 80
#INITIAL 120
#SPAWN_INTERVAL 31

#WALKER 30
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 5
#BLOCKER 1
#BUILDER 30
#PLATFORMER 30
#BASHER 30
#MINER 30
#DIGGER 15
#JUMPER 30
#BATTER 40
#CUBER 5

:matt/marble/Hatch.H: 32 0
:matt/marble/Hatch.H: 32 224
:matt/marble/Hatch.H: 32 448
:matt/marble/Hatch.H: 32 672
:matt/marble/Hatch.H: 608 448 r
:matt/marble/Hatch.H: 608 672 r
:matt/marble/Hatch.H: 608 0 r
:matt/marble/Hatch.H: 608 224 r
:matt/marble/Hatch.H: 800 128
:matt/marble/Hatch.H: 800 352
:matt/marble/Hatch.H: 800 576
:matt/marble/Hatch.H: 800 800
:matt/marble/Hatch.H: 1376 576 r
:matt/marble/Hatch.H: 1376 800 r
:matt/marble/Hatch.H: 1376 128 r
:matt/marble/Hatch.H: 1376 352 r

:matt/marble/Goal.G: 320 848
:matt/marble/Goal.G: 320 176
:matt/marble/Goal.G: 320 400
:matt/marble/Goal.G: 320 624
:matt/marble/Goal.G: 1088 528
:matt/marble/Goal.G: 1088 752
:matt/marble/Goal.G: 1088 80
:matt/marble/Goal.G: 1088 304

:raymanni/toys/water.W: 16 128
:raymanni/toys/water.W: 48 128
:raymanni/toys/water.W: 80 128
:raymanni/toys/water.W: 16 352
:raymanni/toys/water.W: 48 352
:raymanni/toys/water.W: 80 352
:raymanni/toys/water.W: 592 128
:raymanni/toys/water.W: 624 128
:raymanni/toys/water.W: 656 128
:raymanni/toys/water.W: 592 352
:raymanni/toys/water.W: 624 352
:raymanni/toys/water.W: 656 352
:raymanni/toys/water.W: 320 64
:raymanni/toys/water.W: 352 64
:raymanni/toys/water.W: 320 288
:raymanni/toys/water.W: 352 288
:raymanni/toys/water.W: 16 576
:raymanni/toys/water.W: 48 576
:raymanni/toys/water.W: 80 576
:raymanni/toys/water.W: 320 512
:raymanni/toys/water.W: 352 512
:raymanni/toys/water.W: 320 736
:raymanni/toys/water.W: 352 736
:raymanni/toys/water.W: 16 800
:raymanni/toys/water.W: 48 800
:raymanni/toys/water.W: 80 800
:raymanni/toys/water.W: 784 256
:raymanni/toys/water.W: 816 256
:raymanni/toys/water.W: 848 256
:raymanni/toys/water.W: 784 480
:raymanni/toys/water.W: 816 480
:raymanni/toys/water.W: 848 480
:raymanni/toys/water.W: 784 704
:raymanni/toys/water.W: 816 704
:raymanni/toys/water.W: 848 704
:raymanni/toys/water.W: 784 32
:raymanni/toys/water.W: 816 32
:raymanni/toys/water.W: 848 32
:raymanni/toys/water.W: 1360 256
:raymanni/toys/water.W: 1392 256
:raymanni/toys/water.W: 1424 256
:raymanni/toys/water.W: 1360 480
:raymanni/toys/water.W: 1392 480
:raymanni/toys/water.W: 1424 480
:raymanni/toys/water.W: 1088 640
:raymanni/toys/water.W: 1120 640
:raymanni/toys/water.W: 1088 864
:raymanni/toys/water.W: 1120 864
:raymanni/toys/water.W: 1088 192
:raymanni/toys/water.W: 1120 192
:raymanni/toys/water.W: 1088 416
:raymanni/toys/water.W: 1120 416
:raymanni/toys/water.W: 592 576
:raymanni/toys/water.W: 624 576
:raymanni/toys/water.W: 656 576
:raymanni/toys/water.W: 592 800
:raymanni/toys/water.W: 624 800
:raymanni/toys/water.W: 656 800
:raymanni/toys/water.W: 1360 704
:raymanni/toys/water.W: 1392 704
:raymanni/toys/water.W: 1424 704
:raymanni/toys/water.W: 1360 32
:raymanni/toys/water.W: 1392 32
:raymanni/toys/water.W: 1424 32

:matt/marble/09: 0 64
:matt/marble/09: 64 64
:matt/marble/09: 0 160
:matt/marble/09: 64 160
:matt/marble/09a: 0 288
:matt/marble/09a: 64 288
:matt/marble/09a: 0 384
:matt/marble/09a: 64 384
:matt/marble/09: 128 0
:matt/marble/09: 192 0
:matt/marble/09: 128 64
:matt/marble/09: 192 64
:matt/marble/09: 128 160
:matt/marble/09: 192 160
:geoo/steel/dark_16x16o.S: 112 128
:geoo/steel/dark_16x16o.S: 112 144
:matt/marble/09a: 128 224
:matt/marble/09a: 192 224
:matt/marble/09a: 128 288
:matt/marble/09a: 192 288
:matt/marble/09a: 128 384
:matt/marble/09a: 192 384
:geoo/steel/dark_16x16o.S: 112 352
:geoo/steel/dark_16x16o.S: 112 368
:geoo/steel/dark_16x16o.S: 0 128
:geoo/steel/dark_16x16o.S: 0 144
:geoo/steel/dark_16x16o.S: 0 352
:geoo/steel/dark_16x16o.S: 0 368
:matt/marble/02: 0 48
:matt/marble/02a: 0 272
:matt/marble/05a: 288 224
:matt/marble/05a: 320 224
:matt/marble/05a: 352 224
:matt/marble/05a: 384 224
:geoo/steel/dark_32x32o.S: 320 224
:matt/marble/09b: 448 0
:matt/marble/09b: 512 0
:matt/marble/09b: 448 64
:matt/marble/09b: 512 64
:matt/marble/09b: 576 64
:matt/marble/09b: 640 64
:matt/marble/09b: 640 160
:matt/marble/09b: 448 160
:matt/marble/09b: 512 160
:matt/marble/09b: 576 160
:geoo/steel/dark_16x16o.S: 688 128
:geoo/steel/dark_16x16o.S: 688 144
:geoo/steel/dark_16x16o.S: 576 128
:geoo/steel/dark_16x16o.S: 576 144
:matt/marble/02b: 688 48
:matt/marble/09c: 448 224
:matt/marble/09c: 512 224
:matt/marble/09c: 448 288
:matt/marble/09c: 512 288
:matt/marble/09c: 576 288
:matt/marble/09c: 640 288
:matt/marble/09c: 448 384
:matt/marble/09c: 512 384
:matt/marble/09c: 576 384
:matt/marble/09c: 640 384
:matt/marble/02c: 688 272
:geoo/steel/dark_16x16o.S: 688 352
:geoo/steel/dark_16x16o.S: 688 368
:geoo/steel/dark_16x16o.S: 576 352
:geoo/steel/dark_16x16o.S: 576 368
:geoo/steel/dark_16x16o.S: 632 288
:geoo/steel/dark_16x16o.S: 632 64
:geoo/steel/dark_16x16o.S: 56 288
:geoo/steel/dark_16x16o.S: 56 64
:geoo/steel/dark_32x16o.S: 256 64
:geoo/steel/dark_32x16o.S: 288 176
:geoo/steel/dark_32x16o.S: 416 64
:geoo/steel/dark_32x16o.S: 384 176
:geoo/steel/dark_32x32o.S: 352 224
:geoo/steel/dark_16x32o.S: 304 64
:geoo/steel/dark_16x32o.S: 384 64
:geoo/steel/dark_32x16o.S: 304 96
:geoo/steel/dark_32x16o.S: 336 96
:geoo/steel/dark_32x16o.S: 368 96
:matt/marble/05_2: 288 0
:matt/marble/05_2: 384 0
:geoo/steel/dark_32x32o.S: 320 0
:geoo/steel/dark_32x32o.S: 352 0
:geoo/steel/dark_32x16o.S: 256 288
:geoo/steel/dark_32x16o.S: 288 400
:geoo/steel/dark_32x16o.S: 416 288
:geoo/steel/dark_32x16o.S: 384 400
:geoo/steel/dark_16x32o.S: 304 288
:geoo/steel/dark_16x32o.S: 384 288
:geoo/steel/dark_32x16o.S: 304 320
:geoo/steel/dark_32x16o.S: 336 320
