$BUILT 2022-05-17 15:02:04
$AUTHOR Flopsy
$ENGLISH The Sabotage Subway 4P
$TAG multiple-hatch
$TAG long-play

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 1280
#SIZE_Y 1024
#TORUS_X 1
#TORUS_Y 1

#SECONDS 150
#INITIAL 120
#SPAWN_INTERVAL 31

#WALKER 30
#RUNNER 10
#CLIMBER 10
#BUILDER 50
#PLATFORMER 30
#BASHER 20
#MINER 30
#DIGGER 10
#JUMPER 30
#BATTER 20
#CUBER 20
#EXPLODER2 0

:matt/marble/Hatch.H: 152 400
:matt/marble/Hatch.H: 792 400
:matt/marble/Hatch.H: 152 912
:matt/marble/Hatch.H: 792 912
:matt/marble/Hatch.H: 424 400 r
:matt/marble/Hatch.H: 1064 400 r
:matt/marble/Hatch.H: 424 912 r
:matt/marble/Hatch.H: 1064 912 r
:matt/marble/Hatch.H: 1248 488
:matt/marble/Hatch.H: 608 488
:matt/marble/Hatch.H: 1248 1000
:matt/marble/Hatch.H: 608 1000

:matt/marble/Goal.G: 288 144
:matt/marble/Goal.G: 928 144
:matt/marble/Goal.G: 288 656
:matt/marble/Goal.G: 928 656

:amanda/forest/frog.T: 288 560
:amanda/forest/frog.T: 928 560
:amanda/forest/frog.T: 928 48
:amanda/forest/frog.T: 288 48

:matt/water.W: 272 976
:matt/water.W: 304 976
:matt/water.W: 336 976
:matt/water.W: 912 976
:matt/water.W: 944 976
:matt/water.W: 976 976
:matt/water.W: 912 464
:matt/water.W: 944 464
:matt/water.W: 976 464
:matt/water.W: 272 464
:matt/water.W: 304 464
:matt/water.W: 336 464
:geoo/construction/sawblade_medium.F: 184 1008
:geoo/construction/sawblade_medium.F: 136 1008
:geoo/construction/sawblade_medium.F: 392 1008
:geoo/construction/sawblade_medium.F: 440 1008
:geoo/construction/sawblade_medium.F: 88 1008
:geoo/construction/sawblade_medium.F: 488 1008
:geoo/construction/sawblade_medium.F: 824 1008
:geoo/construction/sawblade_medium.F: 776 1008
:geoo/construction/sawblade_medium.F: 1032 1008
:geoo/construction/sawblade_medium.F: 1080 1008
:geoo/construction/sawblade_medium.F: 728 1008
:geoo/construction/sawblade_medium.F: 1128 1008
:geoo/construction/sawblade_medium.F: 824 496
:geoo/construction/sawblade_medium.F: 776 496
:geoo/construction/sawblade_medium.F: 1032 496
:geoo/construction/sawblade_medium.F: 1080 496
:geoo/construction/sawblade_medium.F: 728 496
:geoo/construction/sawblade_medium.F: 1128 496
:geoo/construction/sawblade_medium.F: 184 496
:geoo/construction/sawblade_medium.F: 136 496
:geoo/construction/sawblade_medium.F: 392 496
:geoo/construction/sawblade_medium.F: 440 496
:geoo/construction/sawblade_medium.F: 88 496
:geoo/construction/sawblade_medium.F: 488 496

:matt/marble/22: 72 480
:matt/marble/22: 512 480 frr
:matt/marble/03: 32 24
:matt/marble/04: 0 40
:matt/marble/03: 592 24
:matt/marble/04: 608 40
:matt/marble/thinplatform128p: 80 80
:matt/marble/22: 48 40 frr
:matt/marble/thinplatform128p: 432 80
:matt/marble/22: 536 40
:matt/marble/05: 112 464
:matt/marble/05: 144 464
:matt/marble/05: 176 464
:matt/marble/05: 208 464
:matt/marble/05: 240 464
:matt/marble/05: 368 464
:matt/marble/05: 400 464
:matt/marble/05: 432 464
:matt/marble/05: 464 464
:matt/marble/05: 496 464
:matt/marble/03: 112 432
:matt/marble/03: 112 400
:matt/marble/03: 112 368
:matt/marble/03: 112 336
:matt/marble/03: 112 304
:matt/marble/03: 112 272
:matt/marble/03: 512 432
:matt/marble/03: 512 400
:matt/marble/03: 512 368
:matt/marble/03: 512 336
:matt/marble/03: 512 304
:matt/marble/03: 512 272
:geoo/steel/16x32o.S: 112 272
:geoo/steel/16x32o.S: 112 304
:geoo/steel/16x32o.S: 112 336
:geoo/steel/16x32o.S: 112 368
:geoo/steel/16x32o.S: 112 400
:geoo/steel/16x32o.S: 112 432
:geoo/steel/16x32o.S: 512 272
:geoo/steel/16x32o.S: 512 304
:geoo/steel/16x32o.S: 512 336
:geoo/steel/16x32o.S: 512 368
:geoo/steel/16x32o.S: 512 400
:geoo/steel/16x32o.S: 512 432
:geoo/steel/32x32o.S: 112 464
:geoo/steel/32x32o.S: 144 464
:geoo/steel/32x32o.S: 176 464
:geoo/steel/32x32o.S: 208 464
:geoo/steel/32x32o.S: 240 464
:geoo/steel/32x32o.S: 368 464
:geoo/steel/32x32o.S: 400 464
:geoo/steel/32x32o.S: 432 464
:geoo/steel/32x32o.S: 464 464
:geoo/steel/32x32o.S: 496 464
:matt/marble/09: 256 384
:matt/marble/09: 320 384
:matt/marble/09: 256 320
:matt/marble/09: 320 320
:matt/marble/09: 176 320
:matt/marble/09: 400 320
:matt/marble/14: 176 288
:matt/marble/14: 208 256
:matt/marble/05: 208 288
:matt/marble/09: 256 256
:matt/marble/09: 320 256
:matt/marble/16: 432 288
:matt/marble/16: 400 256
:matt/marble/05: 400 288
:matt/marble/09: 288 192
:matt/marble/16: 352 224
:matt/marble/14: 256 224
:matt/marble/thinplatform128p: 208 64
:matt/marble/thinplatform128p: 304 64
:matt/marble/thinplatform128p: 208 96
:matt/marble/thinplatform128p: 304 96
:geoo/steel/32x32o.S: 112 432
:geoo/steel/32x32o.S: 112 400
:geoo/steel/32x32o.S: 112 368
:geoo/steel/32x32o.S: 112 304
:geoo/steel/32x32o.S: 112 272
:geoo/steel/32x32o.S: 496 432
:geoo/steel/32x32o.S: 496 400
:geoo/steel/32x32o.S: 496 368
:geoo/steel/32x32o.S: 496 304
:geoo/steel/32x32o.S: 496 272
:matt/marble/22: 168 96
:matt/marble/22: 120 144
:matt/marble/22: 72 192
:matt/marble/22: 416 96 frr
:matt/marble/22: 464 144 frr
:matt/marble/22: 512 192 frr
:matt/marble/25: 624 56
:matt/marble/25: 624 56
:matt/marble/23: 608 184
:matt/marble/23: 0 184
:matt/marble/thinplatform64p: 32 272
:matt/marble/thinplatform64p: 544 272
:matt/marble/thinplatform64p: 608 272
:matt/marble/23: 608 272
:matt/marble/22: 24 296 f
:matt/marble/23: 0 272
:matt/marble/25: 624 304
:matt/marble/23: 608 432
:matt/marble/23: 0 432
:matt/marble/22: 24 384
:matt/marble/22: 560 384 frr
:matt/marble/22: 560 296 rr
:matt/marble/22: 264 96
:matt/marble/22: 216 144
:matt/marble/22: 168 192
:matt/marble/22: 320 96 frr
:matt/marble/22: 368 144 frr
:matt/marble/22: 416 192 frr
:geoo/steel/16x16o.S: 176 224
:geoo/steel/16x16o.S: 192 208
:geoo/steel/16x16o.S: 208 192
:geoo/steel/16x16o.S: 224 176
:geoo/steel/16x16o.S: 240 160
:geoo/steel/16x16o.S: 256 144
:geoo/steel/16x16o.S: 272 128
:geoo/steel/16x16o.S: 288 112
:geoo/steel/16x16o.S: 304 96
:geoo/steel/16x16o.S: 320 96
:geoo/steel/16x16o.S: 336 112
:geoo/steel/16x16o.S: 352 128
:geoo/steel/16x16o.S: 368 144
:geoo/steel/16x16o.S: 384 160
:geoo/steel/16x16o.S: 400 176
:geoo/steel/16x16o.S: 416 192
:geoo/steel/16x16o.S: 432 208
:geoo/steel/16x16o.S: 448 224
:matt/marble/22: 712 480
:matt/marble/22: 1152 480 frr
:matt/marble/22b: 1152 480 rrr
:matt/marble/03: 672 24
:matt/marble/04: 640 40
:matt/marble/03: 1232 24
:matt/marble/04: 1248 40
:matt/marble/thinplatform128p: 720 80
:matt/marble/22: 688 40 frr
:matt/marble/thinplatform128p: 1072 80
:matt/marble/22: 1176 40
:matt/marble/05: 752 464
:matt/marble/05: 784 464
:matt/marble/05: 816 464
:matt/marble/05: 848 464
:matt/marble/05: 880 464
:matt/marble/05: 1008 464
:matt/marble/05: 1040 464
:matt/marble/05: 1072 464
:matt/marble/05: 1104 464
:matt/marble/05: 1136 464
:matt/marble/03: 752 432
:matt/marble/03: 752 400
:matt/marble/03: 752 368
:matt/marble/03: 752 336
:matt/marble/03: 752 304
:matt/marble/03: 752 272
:matt/marble/03: 1152 432
:matt/marble/03: 1152 400
:matt/marble/03: 1152 368
:matt/marble/03: 1152 336
:matt/marble/03: 1152 304
:matt/marble/03: 1152 272
:geoo/steel/16x32o.S: 752 272
:geoo/steel/16x32o.S: 752 304
:geoo/steel/16x32o.S: 752 336
:geoo/steel/16x32o.S: 752 368
:geoo/steel/16x32o.S: 752 400
:geoo/steel/16x32o.S: 752 432
:geoo/steel/16x32o.S: 1152 272
:geoo/steel/16x32o.S: 1152 304
:geoo/steel/16x32o.S: 1152 336
:geoo/steel/16x32o.S: 1152 368
:geoo/steel/16x32o.S: 1152 400
:geoo/steel/16x32o.S: 1152 432
:matt/marble/22b: 712 480 frrr
:geoo/steel/32x32o.S: 752 464
:geoo/steel/32x32o.S: 784 464
:geoo/steel/32x32o.S: 816 464
:geoo/steel/32x32o.S: 848 464
:geoo/steel/32x32o.S: 880 464
:geoo/steel/32x32o.S: 1008 464
:geoo/steel/32x32o.S: 1040 464
:geoo/steel/32x32o.S: 1072 464
:geoo/steel/32x32o.S: 1104 464
:geoo/steel/32x32o.S: 1136 464
:matt/marble/09: 896 384
:matt/marble/09: 960 384
:matt/marble/09: 896 320
:matt/marble/09: 960 320
:matt/marble/09: 816 320
:matt/marble/09: 1040 320
:matt/marble/14: 816 288
:matt/marble/14: 848 256
:matt/marble/05: 848 288
:matt/marble/09: 896 256
:matt/marble/09: 960 256
:matt/marble/16: 1072 288
:matt/marble/16: 1040 256
:matt/marble/05: 1040 288
:matt/marble/09: 928 192
:matt/marble/16: 992 224
:matt/marble/14: 896 224
:matt/marble/thinplatform128p: 848 64
:matt/marble/thinplatform128p: 944 64
:matt/marble/22b: 1056 192 frr
:matt/marble/22b: 1008 144 frr
:matt/marble/22b: 960 96 frr
:matt/marble/thinplatform128p: 848 96
:matt/marble/thinplatform128p: 944 96
:geoo/steel/32x32o.S: 752 432
:geoo/steel/32x32o.S: 752 400
:geoo/steel/32x32o.S: 752 368
:geoo/steel/32x32o.S: 752 304
:geoo/steel/32x32o.S: 752 272
:geoo/steel/32x32o.S: 1136 432
:geoo/steel/32x32o.S: 1136 400
:geoo/steel/32x32o.S: 1136 368
:geoo/steel/32x32o.S: 1136 304
:geoo/steel/32x32o.S: 1136 272
:matt/marble/22b: 808 192
:matt/marble/22b: 856 144
:matt/marble/22: 808 96
:matt/marble/22: 760 144
:matt/marble/22: 712 192
:matt/marble/22: 1056 96 frr
:matt/marble/22: 1104 144 frr
:matt/marble/22: 1152 192 frr
:matt/marble/25: 1264 56
:matt/marble/25: 1264 56
:matt/marble/23: 1248 184
:matt/marble/23: 640 184
:matt/marble/thinplatform64p: 672 272
:matt/marble/thinplatform64p: 1184 272
:matt/marble/thinplatform64p: 1248 272
:matt/marble/23: 1248 272
:matt/marble/22: 664 296 f
:matt/marble/23: 640 272
:matt/marble/25: 1264 304
:matt/marble/23: 1248 432
:matt/marble/23: 640 432
:matt/marble/22: 664 384
:matt/marble/22: 1200 384 frr
:matt/marble/22: 1200 296 rr
:geoo/steel/16x16o.S: 816 224
:geoo/steel/16x16o.S: 832 208
:geoo/steel/16x16o.S: 848 192
:geoo/steel/16x16o.S: 864 176
:geoo/steel/16x16o.S: 880 160
:matt/marble/22b: 904 96
:geoo/steel/16x16o.S: 896 144
:geoo/steel/16x16o.S: 912 128
:geoo/steel/16x16o.S: 928 112
:geoo/steel/16x16o.S: 944 96
:geoo/steel/16x16o.S: 960 96
:geoo/steel/16x16o.S: 976 112
:geoo/steel/16x16o.S: 992 128
:geoo/steel/16x16o.S: 1008 144
:geoo/steel/16x16o.S: 1024 160
:geoo/steel/16x16o.S: 1040 176
:geoo/steel/16x16o.S: 1056 192
:geoo/steel/16x16o.S: 1072 208
:geoo/steel/16x16o.S: 1088 224
:matt/marble/22: 72 992
:matt/marble/22: 512 992 frr
:matt/marble/03: 32 536
:matt/marble/04: 0 552
:matt/marble/03: 592 536
:matt/marble/04: 608 552
:matt/marble/thinplatform128p: 80 592
:matt/marble/22: 48 552 frr
:matt/marble/thinplatform128p: 432 592
:matt/marble/22: 536 552
:matt/marble/22c: 72 992
:matt/marble/05: 112 976
:matt/marble/05: 144 976
:matt/marble/05: 176 976
:matt/marble/05: 208 976
:matt/marble/05: 240 976
:matt/marble/05: 368 976
:matt/marble/05: 400 976
:matt/marble/05: 432 976
:matt/marble/05: 464 976
:matt/marble/05: 496 976
:matt/marble/03: 112 944
:matt/marble/03: 112 912
:matt/marble/03: 112 880
:matt/marble/03: 112 848
:matt/marble/03: 112 816
:matt/marble/03: 112 784
:matt/marble/03: 512 944
:matt/marble/03: 512 912
:matt/marble/03: 512 880
:matt/marble/03: 512 848
:matt/marble/03: 512 816
:matt/marble/03: 512 784
:geoo/steel/16x32o.S: 112 784
:geoo/steel/16x32o.S: 112 816
:geoo/steel/16x32o.S: 112 848
:geoo/steel/16x32o.S: 112 880
:geoo/steel/16x32o.S: 112 912
:geoo/steel/16x32o.S: 112 944
:geoo/steel/16x32o.S: 512 784
:geoo/steel/16x32o.S: 512 816
:geoo/steel/16x32o.S: 512 848
:geoo/steel/16x32o.S: 512 880
:geoo/steel/16x32o.S: 512 912
:geoo/steel/16x32o.S: 512 944
:geoo/steel/32x32o.S: 112 976
:geoo/steel/32x32o.S: 144 976
:geoo/steel/32x32o.S: 176 976
:geoo/steel/32x32o.S: 208 976
:geoo/steel/32x32o.S: 240 976
:geoo/steel/32x32o.S: 368 976
:geoo/steel/32x32o.S: 400 976
:geoo/steel/32x32o.S: 432 976
:geoo/steel/32x32o.S: 464 976
:matt/marble/22c: 512 992 frr
:geoo/steel/32x32o.S: 496 976
:matt/marble/09: 256 896
:matt/marble/09: 320 896
:matt/marble/09: 256 832
:matt/marble/09: 320 832
:matt/marble/09: 176 832
:matt/marble/09: 400 832
:matt/marble/14: 176 800
:matt/marble/14: 208 768
:matt/marble/05: 208 800
:matt/marble/09: 256 768
:matt/marble/09: 320 768
:matt/marble/16: 432 800
:matt/marble/16: 400 768
:matt/marble/05: 400 800
:matt/marble/09: 288 704
:matt/marble/16: 352 736
:matt/marble/14: 256 736
:matt/marble/thinplatform128p: 208 576
:matt/marble/thinplatform128p: 304 576
:matt/marble/thinplatform128p: 208 608
:matt/marble/22c: 416 704 frr
:matt/marble/22c: 368 656 frr
:matt/marble/22c: 320 608 frr
:matt/marble/thinplatform128p: 304 608
:geoo/steel/32x32o.S: 112 944
:geoo/steel/32x32o.S: 112 912
:geoo/steel/32x32o.S: 112 880
:geoo/steel/32x32o.S: 112 816
:geoo/steel/32x32o.S: 112 784
:geoo/steel/32x32o.S: 496 944
:geoo/steel/32x32o.S: 496 912
:geoo/steel/32x32o.S: 496 880
:geoo/steel/32x32o.S: 496 816
:geoo/steel/32x32o.S: 496 784
:matt/marble/22: 168 608
:matt/marble/22c: 168 704
:matt/marble/22: 120 656
:matt/marble/22: 72 704
:matt/marble/22: 416 608 frr
:matt/marble/22: 464 656 frr
:matt/marble/22: 512 704 frr
:matt/marble/25: 624 568
:matt/marble/25: 624 568
:matt/marble/23: 608 696
:matt/marble/23: 0 696
:matt/marble/thinplatform64p: 32 784
:matt/marble/thinplatform64p: 544 784
:matt/marble/thinplatform64p: 608 784
:matt/marble/23: 608 784
:matt/marble/22: 24 808 f
:matt/marble/23: 0 784
:matt/marble/25: 624 816
:matt/marble/23: 608 944
:matt/marble/23: 0 944
:matt/marble/22: 24 896
:matt/marble/22: 560 896 frr
:matt/marble/22: 560 808 rr
:geoo/steel/16x16o.S: 176 736
:geoo/steel/16x16o.S: 192 720
:matt/marble/22c: 216 656
:geoo/steel/16x16o.S: 208 704
:geoo/steel/16x16o.S: 224 688
:geoo/steel/16x16o.S: 240 672
:matt/marble/22c: 264 608
:geoo/steel/16x16o.S: 256 656
:geoo/steel/16x16o.S: 272 640
:geoo/steel/16x16o.S: 288 624
:geoo/steel/16x16o.S: 304 608
:geoo/steel/16x16o.S: 320 608
:geoo/steel/16x16o.S: 336 624
:geoo/steel/16x16o.S: 352 640
:geoo/steel/16x16o.S: 368 656
:geoo/steel/16x16o.S: 384 672
:geoo/steel/16x16o.S: 400 688
:geoo/steel/16x16o.S: 416 704
:geoo/steel/16x16o.S: 432 720
:geoo/steel/16x16o.S: 448 736
:matt/marble/04: 640 552
:matt/marble/04: 1248 552
:matt/marble/25: 1264 568
:matt/marble/25: 1264 568
:matt/marble/23: 1248 696
:matt/marble/23: 640 696
:matt/marble/thinplatform64p: 1248 784
:matt/marble/23: 1248 784
:matt/marble/23: 640 784
:matt/marble/25: 1264 816
:matt/marble/23: 1248 944
:matt/marble/23: 640 944
:matt/marble/22: 1152 992 frr
:matt/marble/03: 672 536
:matt/marble/04: 640 552
:matt/marble/03: 1232 536
:matt/marble/04: 1248 552
:matt/marble/thinplatform128p: 720 592
:matt/marble/22: 688 552 frr
:matt/marble/thinplatform128p: 1072 592
:matt/marble/22: 1176 552
:matt/marble/05: 752 976
:matt/marble/05: 784 976
:matt/marble/05: 816 976
:matt/marble/05: 848 976
:matt/marble/05: 880 976
:matt/marble/05: 1008 976
:matt/marble/05: 1040 976
:matt/marble/05: 1072 976
:matt/marble/05: 1104 976
:matt/marble/05: 1136 976
:matt/marble/03: 752 944
:matt/marble/03: 752 912
:matt/marble/03: 752 880
:matt/marble/03: 752 848
:matt/marble/03: 752 816
:matt/marble/03: 752 784
:matt/marble/03: 1152 944
:matt/marble/03: 1152 912
:matt/marble/03: 1152 880
:matt/marble/03: 1152 848
:matt/marble/03: 1152 816
:matt/marble/03: 1152 784
:geoo/steel/16x32o.S: 752 784
:geoo/steel/16x32o.S: 752 816
:geoo/steel/16x32o.S: 752 848
:geoo/steel/16x32o.S: 752 880
:geoo/steel/16x32o.S: 752 912
:geoo/steel/16x32o.S: 752 944
:geoo/steel/16x32o.S: 1152 784
:geoo/steel/16x32o.S: 1152 816
:geoo/steel/16x32o.S: 1152 848
:geoo/steel/16x32o.S: 1152 880
:geoo/steel/16x32o.S: 1152 912
:geoo/steel/16x32o.S: 1152 944
:matt/marble/22a: 712 992
:geoo/steel/32x32o.S: 752 976
:geoo/steel/32x32o.S: 784 976
:geoo/steel/32x32o.S: 816 976
:geoo/steel/32x32o.S: 848 976
:geoo/steel/32x32o.S: 880 976
:geoo/steel/32x32o.S: 1008 976
:geoo/steel/32x32o.S: 1040 976
:geoo/steel/32x32o.S: 1072 976
:geoo/steel/32x32o.S: 1104 976
:matt/marble/22a: 1152 992 frr
:geoo/steel/32x32o.S: 1136 976
:matt/marble/09: 896 896
:matt/marble/09: 960 896
:matt/marble/09: 896 832
:matt/marble/09: 960 832
:matt/marble/09: 816 832
:matt/marble/09: 1040 832
:matt/marble/14: 816 800
:matt/marble/14: 848 768
:matt/marble/05: 848 800
:matt/marble/09: 896 768
:matt/marble/09: 960 768
:matt/marble/16: 1072 800
:matt/marble/16: 1040 768
:matt/marble/05: 1040 800
:matt/marble/09: 928 704
:matt/marble/16: 992 736
:matt/marble/14: 896 736
:matt/marble/thinplatform128p: 848 576
:matt/marble/thinplatform128p: 944 576
:matt/marble/22a: 904 608
:matt/marble/22a: 1056 704 frr
:matt/marble/22a: 1008 656 frr
:matt/marble/22a: 960 608 frr
:matt/marble/thinplatform128p: 848 608
:matt/marble/thinplatform128p: 944 608
:geoo/steel/32x32o.S: 752 944
:geoo/steel/32x32o.S: 752 912
:geoo/steel/32x32o.S: 752 880
:geoo/steel/32x32o.S: 752 816
:geoo/steel/32x32o.S: 752 784
:geoo/steel/32x32o.S: 1136 944
:geoo/steel/32x32o.S: 1136 912
:geoo/steel/32x32o.S: 1136 880
:geoo/steel/32x32o.S: 1136 816
:geoo/steel/32x32o.S: 1136 784
:matt/marble/22a: 808 704
:matt/marble/22a: 856 656
:matt/marble/22: 808 608
:matt/marble/22: 760 656
:matt/marble/22: 712 704
:matt/marble/22: 1056 608 frr
:matt/marble/22: 1104 656 frr
:matt/marble/22: 1152 704 frr
:matt/marble/25: 1264 568
:matt/marble/25: 1264 568
:matt/marble/23: 1248 696
:matt/marble/23: 640 696
:matt/marble/thinplatform64p: 672 784
:matt/marble/thinplatform64p: 1184 784
:matt/marble/thinplatform64p: 1248 784
:matt/marble/23: 1248 784
:matt/marble/22: 664 808 f
:matt/marble/23: 640 784
:matt/marble/25: 1264 816
:matt/marble/23: 1248 944
:matt/marble/23: 640 944
:matt/marble/22: 664 896
:matt/marble/22: 1200 896 frr
:matt/marble/22: 1200 808 rr
:geoo/steel/16x16o.S: 816 736
:geoo/steel/16x16o.S: 832 720
:geoo/steel/16x16o.S: 848 704
:geoo/steel/16x16o.S: 864 688
:geoo/steel/16x16o.S: 880 672
:geoo/steel/16x16o.S: 896 656
:geoo/steel/16x16o.S: 912 640
:geoo/steel/16x16o.S: 928 624
:geoo/steel/16x16o.S: 944 608
:geoo/steel/16x16o.S: 960 608
:geoo/steel/16x16o.S: 976 624
:geoo/steel/16x16o.S: 992 640
:geoo/steel/16x16o.S: 1008 656
:geoo/steel/16x16o.S: 1024 672
:geoo/steel/16x16o.S: 1040 688
:geoo/steel/16x16o.S: 1056 704
:geoo/steel/16x16o.S: 1072 720
:geoo/steel/16x16o.S: 1088 736
:matt/marble/04: 0 552
:matt/marble/04: 608 552
:matt/marble/25: 624 568
:matt/marble/25: 624 568
:matt/marble/23: 608 696
:matt/marble/23: 0 696
:matt/marble/thinplatform64p: 608 784
:matt/marble/23: 608 784
:matt/marble/23: 0 784
:matt/marble/25: 624 816
:matt/marble/23: 608 944
:matt/marble/23: 0 944
:matt/marble/09a: 896 896
:matt/marble/09a: 960 896
:matt/marble/09a: 960 832
:matt/marble/09a: 896 832
:matt/marble/09a: 896 768
:matt/marble/09a: 960 768
:matt/marble/09a: 928 704
:matt/marble/09a: 1040 832
:matt/marble/09a: 816 832
:matt/marble/16a: 992 736
:matt/marble/16a: 1040 768
:matt/marble/16a: 1072 800
:matt/marble/16a: 896 736 frr
:matt/marble/16a: 848 768 frr
:matt/marble/16a: 816 800 frr
:matt/marble/05a: 848 800
:matt/marble/05a: 1040 800
:matt/marble/22a: 808 608
:matt/marble/22a: 760 656
:matt/marble/22a: 712 704
:matt/marble/22a: 1056 608 frr
:matt/marble/22a: 1104 656 frr
:matt/marble/22a: 1152 704 frr
:matt/marble/22a: 1200 808 rr
:matt/marble/22a: 1200 896 rrr
:matt/marble/23a: 1248 784
:matt/marble/23a: 1248 944
:matt/marble/23a: 640 944
:matt/marble/23a: 640 784
:matt/marble/22a: 664 808 f
:matt/marble/22a: 664 896 frrr
:matt/marble/20a: 1264 816
:matt/marble/20a: 1264 880
:matt/marble/20a: 640 816
:matt/marble/20a: 640 880
:matt/marble/20: 0 816
:matt/marble/20: 0 880
:matt/marble/20: 624 816
:matt/marble/20: 624 880
:matt/marble/20a: 1264 568
:matt/marble/20a: 1264 632
:matt/marble/20a: 640 568
:matt/marble/20a: 640 632
:matt/marble/20: 624 568
:matt/marble/20: 624 632
:matt/marble/20: 0 568
:matt/marble/20: 0 632
