$BUILT 2023-05-05 03:20:28
$AUTHOR Flopsy
$ENGLISH Vegas Two Times 4P

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 2432
#SIZE_Y 400
#TORUS_X 1
#TORUS_Y 0

#SECONDS 150
#INITIAL 80
#SPAWN_INTERVAL 40

#WALKER 30
#RUNNER 5
#CLIMBER 5
#EXPLODER 5
#BLOCKER 1
#BUILDER 50
#PLATFORMER 25
#BASHER 30
#JUMPER 30
#BATTER 40
#CUBER 5

:geoo/abstract/hatch.H: 2416 304
:geoo/abstract/hatch.H: 592 304
:geoo/abstract/hatch.H: 1200 304
:geoo/abstract/hatch.H: 1808 304
:geoo/abstract/hatch.H: 1136 144
:geoo/abstract/hatch.H: 1744 144
:geoo/abstract/hatch.H: 2352 144
:geoo/abstract/hatch.H: 528 144
:geoo/abstract/hatch.H: 2112 208
:geoo/abstract/hatch.H: 288 208
:geoo/abstract/hatch.H: 896 208
:geoo/abstract/hatch.H: 1504 208
:geoo/abstract/hatch.H: 288 80
:geoo/abstract/hatch.H: 896 80
:geoo/abstract/hatch.H: 1504 80
:geoo/abstract/hatch.H: 2112 80

:geoo/abstract/goal.G: 592 224
:geoo/abstract/goal.G: 1200 224
:geoo/abstract/goal.G: 1808 224
:geoo/abstract/goal.G: 2416 224

:raymanni/gore/eater.T: 1264 144
:raymanni/gore/eater.T: 656 144
:raymanni/gore/eater.T: 48 144
:raymanni/gore/eater.T: 1872 144

:simon/crystal.W: 208 368
:simon/crystal.W: 256 368
:simon/crystal.W: 304 368
:simon/crystal.W: 352 368
:simon/crystal.W: 816 368
:simon/crystal.W: 864 368
:simon/crystal.W: 912 368
:simon/crystal.W: 960 368
:simon/crystal.W: 1424 368
:simon/crystal.W: 1472 368
:simon/crystal.W: 1520 368
:simon/crystal.W: 1568 368
:simon/crystal.W: 2032 368
:simon/crystal.W: 2080 368
:simon/crystal.W: 2128 368
:simon/crystal.W: 2176 368

:geoo/abstract/tbeam_down.T: 288 238
:geoo/abstract/tbeam_down.T: 896 238
:geoo/abstract/tbeam_down.T: 1504 238
:geoo/abstract/tbeam_down.T: 2112 238

:geoo/steel/16x16o.S: 0 208
:geoo/steel/16x16o.S: 16 208
:geoo/steel/16x16o.S: 32 208
:geoo/steel/16x16o.S: 48 208
:geoo/steel/16x16o.S: 64 208
