$BUILT 2022-05-23 21:52:45
$AUTHOR Kingshadow
$ENGLISH Straight & Curved 4P

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 1280
#SIZE_Y 768
#TORUS_X 1
#TORUS_Y 1

#SECONDS 90
#INITIAL 50
#SPAWN_INTERVAL 70

#WALKER 20
#RUNNER 5
#CLIMBER 10
#FLOATER 10
#EXPLODER2 10
#BLOCKER 1
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 20
#JUMPER 20
#BATTER 40
#CUBER 5

:matt/marble/Hatch.H: 48 256
:matt/marble/Hatch.H: 48 640
:matt/marble/Hatch.H: 688 64
:matt/marble/Hatch.H: 688 448

:matt/marble/Goal.G: 1024 16
:matt/marble/Goal.G: 1024 400
:matt/marble/Goal.G: 384 592
:matt/marble/Goal.G: 384 208

:geoo/construction/squisher.T: 272 576
:geoo/construction/squisher.T: 912 384
:geoo/construction/squisher.T: 912 0
:geoo/construction/squisher.T: 272 192

:simon/acid.W: 256 512
:simon/acid.W: 304 128
:simon/acid.W: 256 128
:simon/acid.W: 304 512
:simon/acid.W: 944 704
:simon/acid.W: 896 704
:simon/acid.W: 896 320
:simon/acid.W: 944 320

$BEGIN_TILE_GROUP 0
:matt/marble/14d: 128 352
:matt/marble/14d: 160 320
:matt/marble/14d: 192 288
:matt/marble/16d: 96 256
:matt/marble/16d: 32 192
:matt/marble/16d: 64 224
:matt/marble/06d: 0 192
:matt/marble/06d: 0 320
:matt/marble/06d: 0 256
:matt/marble/06d: 0 128
:matt/marble/09d: 0 384
:matt/marble/09d: 0 0
:matt/marble/06d: 0 64
:matt/marble/17d: 128 160
:matt/marble/17d: 192 224
:matt/marble/17d: 160 192
:matt/marble/05d: 64 256
:matt/marble/05d: 32 224
:matt/marble/05d: 192 320
:matt/marble/05d: 32 256
:matt/marble/05d: 160 352
:matt/marble/05d: 192 352
:matt/marble/05d: 192 192
:matt/marble/05d: 160 160
:matt/marble/05d: 192 160
:matt/marble/09d: 128 384
:matt/marble/09d: 64 384
:geoo/steel/32x32o.S: 224 160
:geoo/steel/32x32o.S: 224 192
:geoo/steel/32x32o.S: 224 224
:geoo/steel/32x32o.S: 224 256
:geoo/steel/32x32o.S: 224 288
:geoo/steel/32x32o.S: 224 320
:geoo/steel/32x32o.S: 224 352
:matt/marble/09d: 64 0
:matt/marble/09d: 128 0
:matt/marble/09d: 320 0
:matt/marble/09d: 320 384
:matt/marble/04d: 256 208
:matt/marble/04d: 288 208
:matt/marble/04d: 320 208
:matt/marble/03d: 352 192
:matt/marble/03d: 352 160
:matt/marble/21d: 256 288
:matt/marble/21d: 320 288
:matt/marble/21d: 448 288
:matt/marble/21d: 384 288
:matt/marble/14d: 512 352
:matt/marble/14d: 544 320
:matt/marble/14d: 576 288
:matt/marble/05d: 576 320
:matt/marble/05d: 544 352
:matt/marble/05d: 576 352
:matt/marble/09d: 576 384
:matt/marble/09d: 512 384
:matt/marble/09d: 384 384
:matt/marble/09d: 448 384
:matt/marble/14d: 256 32
:matt/marble/14d: 288 384
:matt/marble/05d: 288 32
:matt/marble/15d: 224 384
:matt/marble/05d: 192 384
:matt/marble/15d: 192 32
:matt/marble/10d: 240 64
:matt/marble/04d: 256 64
:matt/marble/11d: 288 64
:matt/marble/03d: 368 176
:matt/marble/03d: 384 176
:matt/marble/04d: 368 160
:matt/marble/04d: 368 208
:matt/marble/16d: 576 256
:matt/marble/16d: 512 192
:matt/marble/16d: 544 224
:matt/marble/05d: 544 256
:matt/marble/05d: 512 224
:matt/marble/05d: 512 256
:geoo/steel/64x64.S: 464 240
:geoo/steel/32x32o.S: 464 208
:geoo/steel/32x32o.S: 496 208
:geoo/steel/32x16o.S: 480 192
:geoo/steel/16x16o.S: 464 192
:matt/marble/06d: 400 160
:matt/marble/01d: 496 184
:matt/marble/01d: 480 176
:matt/marble/01d: 464 168
:matt/marble/01d: 448 160
:matt/marble/01d: 480 184
:matt/marble/01d: 464 184
:matt/marble/01d: 464 176
:matt/marble/01d: 448 168
:matt/marble/01d: 448 176
:matt/marble/01d: 448 184
:matt/marble/04d: 432 208
:matt/marble/04d: 432 192
:matt/marble/03d: 432 160
:matt/marble/09d: 384 0
:matt/marble/09d: 448 0
:matt/marble/09d: 512 0
:matt/marble/09d: 576 0
:geoo/steel/32x64o.S: 608 32
