$BUILT 2012-08-13 15:10:41
$AUTHOR minimac
#INTENDED_NUMBER_OF_PLAYERS 4
$ENGLISH Safe in the centre? (4P)

#SIZE_X 2080
#SIZE_Y 400
#TORUS_X 1
#TORUS_Y 0
#START_X 400
#START_Y -20
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 90
#INITIAL 50
#REQUIRED 30
#SPAWN_INTERVAL 28
#SPAWN_INTERVAL_FAST 4

#CLIMBER 20
#JUMPER 20
#EXPLODER2 5
#BLOCKER 5
#BUILDER 20
#PLATFORMER 20
#BATTER 10
#BASHER 10
#DIGGER 10
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 912 80
:matt/marble/Hatch.H: 1952 80
:matt/marble/Hatch.H: 48 80 r
:matt/marble/Hatch.H: 1088 80 r

:matt/marble/Goal.G: 480 176
:matt/marble/Goal.G: 1520 176

:geoo/construction/squisher.T: 208 128
:geoo/construction/squisher.T: 784 128
:geoo/sandstone/chopper.T: 352 176
:geoo/sandstone/chopper.T: 640 176
:geoo/construction/squisher.T: 1248 128
:geoo/construction/squisher.T: 1824 128
:geoo/sandstone/chopper.T: 1392 176
:geoo/sandstone/chopper.T: 1680 176

:matt/marble/01d: 32 176
:matt/marble/01d: 112 176
:matt/marble/06d: 64 192
:matt/marble/06d: 64 272
:matt/marble/04d: 48 336
:matt/marble/04d: 80 336
:matt/marble/01d: 32 344
:matt/marble/01d: 112 344
:matt/marble/04d: 32 384
:matt/marble/04d: 64 384
:matt/marble/04d: 96 384
:matt/marble/04a: 192 192
:matt/marble/04a: 224 192
:matt/marble/01a: 176 192
:matt/marble/01a: 256 192
:matt/marble/06a: 208 208
:matt/marble/06a: 208 288
:matt/marble/04a: 192 352
:matt/marble/04a: 224 352
:matt/marble/01a: 176 360
:matt/marble/01a: 256 360
:matt/marble/04d: 336 208
:matt/marble/04d: 368 208
:matt/marble/01d: 320 208
:matt/marble/01d: 400 208
:matt/marble/04d: 336 368
:matt/marble/04d: 368 368
:matt/marble/01d: 320 376
:matt/marble/01d: 400 376
:matt/marble/05d: 176 368
:matt/marble/05d: 208 368
:matt/marble/05d: 240 368
:matt/marble/05a: 32 352
:matt/marble/05a: 64 352
:matt/marble/05a: 96 352
:matt/marble/04a: 64 256
:matt/marble/01a: 464 224
:matt/marble/01a: 544 224
:matt/marble/04d: 624 208
:matt/marble/04d: 656 208
:matt/marble/01d: 608 208
:matt/marble/01d: 688 208
:matt/marble/04a: 768 192
:matt/marble/04a: 800 192
:matt/marble/01a: 752 192
:matt/marble/01a: 832 192
:matt/marble/01d: 896 176
:matt/marble/01d: 976 176
:matt/marble/06d: 928 192
:matt/marble/06d: 928 272
:matt/marble/04d: 912 336
:matt/marble/04d: 944 336
:matt/marble/01d: 896 344
:matt/marble/01d: 976 344
:matt/marble/04d: 896 384
:matt/marble/04d: 928 384
:matt/marble/04d: 960 384
:matt/marble/05a: 896 352
:matt/marble/05a: 928 352
