$BUILT 2021-05-09 01:57:04
$AUTHOR WillLem
$ENGLISH Let Pandemonium Commence!

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 3200
#SIZE_Y 400

#SECONDS 120
#INITIAL 300
#SPAWN_INTERVAL 8

#WALKER -1
#RUNNER -1
#CLIMBER -1
#FLOATER -1
#EXPLODER -1
#BLOCKER -1
#BUILDER -1
#PLATFORMER -1
#BASHER -1
#MINER -1
#DIGGER -1
#JUMPER -1
#BATTER -1
#CUBER -1

:simon/hatch001.H: 1282 58
:simon/hatch001.H: 1474 58
:simon/hatch001.H: 1666 58 r
:simon/hatch001.H: 1858 58 r

:matt/marble/Goal.G: 1666 320
:matt/marble/Goal.G: 1858 320
:matt/marble/Goal.G: 1282 320
:matt/marble/Goal.G: 1474 320
:matt/marble/Goal.G: 2710 120
:matt/marble/Goal.G: 2898 38
:matt/marble/Goal.G: 500 114
:matt/marble/Goal.G: 374 96

:simon/crystal.W: 1104 360
:simon/crystal.W: 1056 360
:simon/crystal.W: 1008 360
:simon/crystal.W: 960 360
:simon/crystal.W: 912 360
:simon/crystal.W: 864 360
:simon/crystal.W: 816 360
:simon/crystal.W: 768 360
:simon/crystal.W: 720 360
:simon/crystal.W: 672 360
:simon/crystal.W: 624 360
:simon/crystal.W: 576 360
:simon/crystal.W: 528 360
:simon/crystal.W: 480 360
:simon/crystal.W: 432 360
:simon/crystal.W: 384 360
:simon/crystal.W: 336 360
:simon/crystal.W: 288 360
:simon/crystal.W: 240 360
:simon/crystal.W: 192 360
:simon/crystal.W: 144 360
:simon/crystal.W: 96 360
:simon/crystal.W: 48 360
:simon/crystal.W: 0 360
:simon/crystal.W: 2384 360
:simon/crystal.W: 2336 360
:simon/crystal.W: 2288 360
:simon/crystal.W: 2240 360
:simon/crystal.W: 2192 360
:simon/crystal.W: 2144 360
:simon/crystal.W: 2096 360
:simon/crystal.W: 2048 360
:simon/crystal.W: 2768 360
:simon/crystal.W: 2720 360
:simon/crystal.W: 2672 360
:simon/crystal.W: 2624 360
:simon/crystal.W: 2576 360
:simon/crystal.W: 2528 360
:simon/crystal.W: 2480 360
:simon/crystal.W: 2432 360
:simon/crystal.W: 3152 360
:simon/crystal.W: 3104 360
:simon/crystal.W: 3056 360
:simon/crystal.W: 3008 360
:simon/crystal.W: 2960 360
:simon/crystal.W: 2912 360
:simon/crystal.W: 2864 360
:simon/crystal.W: 2816 360

:matt/bricks/02b: 1216 368
:matt/bricks/02b: 1280 368
:matt/bricks/02b: 1344 368
:matt/bricks/02b: 1408 368
:matt/bricks/02b: 1472 368
:matt/bricks/02b: 1536 368
:matt/bricks/02b: 1600 368
:matt/bricks/02b: 1664 368
:matt/bricks/02b: 1728 368
:matt/bricks/02b: 1792 368
:matt/bricks/02b: 1856 368
:matt/bricks/02b: 1920 368
:proxima/tile/64.S: 1152 368
:proxima/tile/64.S: 1984 368
$BEGIN_TILE_GROUP 0
:matt/bricks/17: 0 144
:matt/bricks/17: 48 96
:matt/bricks/17: 96 48
:matt/bricks/17: 144 0
$END_TILE_GROUP
:Group-0: 2072 320 frr
:Group-0: 2032 168
:Group-0: 904 304
:Group-0: 960 168 frr
:proxima/tile/spheres/red: 934 -34
:proxima/tile/spheres/red: 922 -14
:proxima/tile/spheres/red: 916 -6
:proxima/tile/spheres/red: 906 0
:proxima/tile/spheres/red: 894 6
:proxima/tile/spheres/red: 882 12
:proxima/tile/spheres/red: 868 18
:Group-0: 520 40 frr
:Group-0: 704 48
:Group-0: 512 240
:Group-0: 2440 200 frr
:Group-0: 2280 40 frr
:Group-0: 2560 54
:proxima/tile/spheres/gold: 94 364
:proxima/tile/spheres/gold: 102 350
:proxima/tile/spheres/gold: 110 334
:proxima/tile/spheres/gold: 116 320
:proxima/tile/spheres/gold: 126 304
:proxima/tile/spheres/gold: 138 286
:proxima/tile/spheres/gold: 148 272
