$BUILT 2014-04-16 21:51:10
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 4
$ENGLISH Deep Cell Modified Skills (4p)

#SIZE_X 768
#SIZE_Y 896
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 70
#INITIAL 80
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#WALKER 70
#RUNNER 50
#NOTHING 0
#PLATFORMER 80
#MINER 60
#CUBER 20
#BATTER 20
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/bricks/Hatch.H: 160 800
:matt/bricks/Hatch.H: 544 800
:matt/bricks/Hatch.H: 160 352
:matt/bricks/Hatch.H: 544 352

:matt/bricks/Goal.G: 544 176
:matt/bricks/Goal.G: 160 176
:matt/bricks/Goal.G: 544 624
:matt/bricks/Goal.G: 160 624

:matt/bricks/02a: 0 496
:matt/bricks/02a: 0 528
:matt/bricks/02a: 0 560
:matt/bricks/02a: 0 592
:matt/bricks/02a: 0 624
:matt/bricks/02a: 0 656
:matt/bricks/02a: 0 688
:matt/bricks/02a: 0 720
:matt/bricks/02a: 320 496
:matt/bricks/02a: 320 528
:matt/bricks/02a: 320 560
:matt/bricks/02a: 320 592
:matt/bricks/02a: 320 624
:matt/bricks/02a: 320 656
:matt/bricks/02a: 320 688
:matt/bricks/02a: 320 720
:matt/bricks/02a: 0 752
:matt/bricks/02a: 0 784
:matt/bricks/02a: 0 816
:matt/bricks/02a: 0 848
:matt/bricks/02a: 320 752
:matt/bricks/02a: 320 784
:matt/bricks/02a: 320 816
:matt/bricks/02a: 320 848
:matt/bricks/02a: 256 848
:matt/bricks/02a: 192 848
:matt/bricks/02a: 128 848
:matt/bricks/02a: 64 848
:matt/bricks/02a: 0 880
:matt/bricks/02a: 320 880
:matt/bricks/02a: 256 880
:matt/bricks/02a: 192 880
:matt/bricks/02a: 128 880
:matt/bricks/02a: 64 880
:matt/bricks/02a: 0 464
:matt/bricks/02a: 320 464
:matt/bricks/02b: 384 880
:matt/bricks/02b: 384 464
:matt/bricks/02b: 384 496
:matt/bricks/02b: 384 528
:matt/bricks/02b: 384 560
:matt/bricks/02b: 384 592
:matt/bricks/02b: 384 624
:matt/bricks/02b: 384 656
:matt/bricks/02b: 384 688
:matt/bricks/02b: 384 720
