$BUILT 2017-09-20 11:02:50
$AUTHOR Rubix
$ENGLISH Stickys Candyshop (4p)

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 640
#SIZE_Y 640
#TORUS_X 1
#TORUS_Y 1

#SECONDS 40
#INITIAL 65
#REQUIRED 20
#SPAWN_INTERVAL 32

#WALKER 70
#CLIMBER 10
#BUILDER 15
#PLATFORMER 50
#BASHER 40
#MINER 12
#DIGGER 2
#JUMPER 70
#BATTER 20
#CUBER 10
#EXPLODER2 0

:amanda/occult/hatch_tentacle.H: 352 176 r
:amanda/occult/hatch_tentacle.H: 352 336 r
:amanda/occult/hatch_tentacle.H: 352 496 r
:amanda/occult/hatch_tentacle.H: 352 16 r

:amanda/occult/goal_skull.G: 544 560
:amanda/occult/goal_skull.G: 544 80
:amanda/occult/goal_skull.G: 544 240
:amanda/occult/goal_skull.G: 544 400

:amanda/forest/frog_happy.T: 192 608
:amanda/forest/frog_happy.T: 192 128
:amanda/forest/frog_happy.T: 192 288
:amanda/forest/frog_happy.T: 192 448

:amanda/occult/wax64x64: 464 64
:amanda/occult/wax64x48: 464 128
:amanda/occult/wax64x64: 464 544
:amanda/occult/wax64x48: 464 608
:amanda/occult/wax64x64: 464 384
:amanda/occult/wax64x48: 464 448
:amanda/occult/wax64x48: 464 288
:amanda/occult/wax64x64: 464 176
:geoo/steel/dark_32x16o.S: 480 304
:geoo/steel/dark_32x16o.S: 480 144
:geoo/steel/dark_32x16o.S: 480 624
:geoo/steel/dark_32x16o.S: 480 464
:geoo/steel/dark_32x16o.S: 208 16
:geoo/steel/dark_32x16o.S: 208 496
:geoo/steel/dark_32x16o.S: 208 336
:geoo/steel/silhouette_32x32.S: 96 224
:geoo/steel/silhouette_32x32.S: 96 64
:geoo/steel/dark_32x16o.S: 208 176
:geoo/steel/silhouette_32x32.S: 96 384
:geoo/steel/silhouette_32x32.S: 64 384
:geoo/steel/silhouette_32x32.S: 96 544
:geoo/steel/silhouette_32x32.S: 64 544
:geoo/steel/silhouette_32x32.S: 64 224
