$BUILT 2014-06-06 10:18:06
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 4
$ENGLISH The Safety Dance(4p)

#SIZE_X 2048
#SIZE_Y 400
#TORUS_X 1
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 50
#INITIAL 85
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#CLIMBER 25
#FLOATER 15
#WALKER 60
#JUMPER 50
#RUNNER 15
#BLOCKER 7
#PLATFORMER 60
#MINER 40
#BATTER 25
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/carnival/Hatch.H: 512 0
:matt/carnival/Hatch.H: 1024 0
:matt/carnival/Hatch.H: 1536 0
:matt/carnival/Hatch.H: 0 0

:matt/carnival/Goal.G: 528 304
:matt/carnival/Goal.G: 1040 304
:matt/carnival/Goal.G: 1552 304
:matt/carnival/Goal.G: 16 304

:matt/carnival/08: 480 368
:matt/carnival/08: 528 368
:matt/carnival/08: 560 368
:matt/carnival/08: 608 368
:matt/carnival/08: 496 336
:matt/carnival/08: 592 336
:matt/carnival/17: 656 176
:matt/carnival/17: 656 208
:matt/carnival/17: 656 272
:matt/carnival/17: 656 304
:geoo/steel/dark_48x32o.S: 688 48
:geoo/steel/dark_48x32o.S: 640 48
:geoo/steel/dark_32x32o.S: 608 48
:geoo/steel/dark_48x32o.S: 512 368
:geoo/steel/dark_48x32o.S: 560 368
:geoo/steel/dark_32x32o.S: 592 336
:geoo/steel/dark_32x32o.S: 496 336
:matt/carnival/08: 528 80
:matt/carnival/08: 560 80
:matt/carnival/08: 480 48
:matt/carnival/08: 576 48
:geoo/steel/dark_48x32o.S: 512 80
:geoo/steel/dark_48x32o.S: 560 80
:geoo/steel/dark_32x32o.S: 576 48
:geoo/steel/dark_32x32o.S: 480 48
:matt/carnival/08: 512 112
:matt/carnival/08: 544 112
:matt/carnival/08: 576 112
:matt/carnival/19: 656 240
:matt/carnival/08: 992 368
:matt/carnival/08: 1040 368
:matt/carnival/08: 1072 368
:matt/carnival/08: 1120 368
:matt/carnival/08: 1008 336
:matt/carnival/08: 1104 336
:matt/carnival/17: 1168 176
:matt/carnival/17: 1168 208
:matt/carnival/17: 1168 272
:matt/carnival/17: 1168 304
:geoo/steel/dark_48x32o.S: 1200 48
:geoo/steel/dark_48x32o.S: 1152 48
