$BUILT 2014-01-13 01:47:17
$AUTHOR geoo
$GERMAN
$ENGLISH Tailor-made for... (5P)

#INTENDED_NUMBER_OF_PLAYERS 5
#SIZE_X 1440
#SIZE_Y 320
#TORUS_X 1
#TORUS_Y 1

#SECONDS 30
#INITIAL 80
#REQUIRED 65
#SPAWN_INTERVAL 21
#SPAWN_INTERVAL_FAST 4

#CLIMBER 0
#FLOATER 30
#EXPLODER2 30
#BLOCKER 30
#BUILDER 30
#BASHER 0
#MINER 0
#DIGGER 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 32 16
:geoo/abstract/hatch.H: 320 16
:geoo/abstract/hatch.H: 608 16
:geoo/abstract/hatch.H: 896 16
:geoo/abstract/hatch.H: 1184 16

:geoo/abstract/goal.G: 896 256
:geoo/abstract/goal.G: 1184 256
:geoo/abstract/goal.G: 32 256
:geoo/abstract/goal.G: 320 256
:geoo/abstract/goal.G: 608 256

:geoo/steel/dark_48x32o.S: 0 304
:geoo/steel/dark_48x32o.S: 48 304
:geoo/steel/dark_48x32o.S: 288 304
:geoo/steel/dark_48x32o.S: 336 304
:geoo/steel/dark_48x32o.S: 576 304
:geoo/steel/dark_48x32o.S: 624 304
:geoo/abstract/pipes/central4: 384 304
:geoo/abstract/pipes/central4: 416 304
:geoo/abstract/pipes/central4: 448 304
:geoo/abstract/pipes/central4: 480 304
:geoo/abstract/pipes/central4: 512 304
:geoo/abstract/pipes/central4: 544 304
:geoo/abstract/pipes/central4: 384 8
:geoo/abstract/pipes/central4: 416 8
:geoo/abstract/pipes/central4: 448 8
:geoo/abstract/pipes/central4: 480 8
:geoo/abstract/pipes/central4: 512 8
:geoo/abstract/pipes/central4: 544 8
:geoo/abstract/pipes/central4: 672 304
:geoo/abstract/pipes/central4: 704 304
:geoo/abstract/pipes/central4: 736 304
:geoo/abstract/pipes/central4: 768 304
:geoo/abstract/pipes/central4: 800 304
:geoo/abstract/pipes/central4: 832 304
:geoo/abstract/pipes/central4: 672 8
:geoo/abstract/pipes/central4: 704 8
:geoo/abstract/pipes/central4: 736 8
:geoo/abstract/pipes/central4: 768 8
:geoo/abstract/pipes/central4: 800 8
:geoo/abstract/pipes/central4: 832 8
:geoo/abstract/pipes/central4: 96 304
:geoo/abstract/pipes/central4: 128 304
:geoo/abstract/pipes/central4: 160 304
:geoo/abstract/pipes/central4: 192 304
:geoo/abstract/pipes/central4: 224 304
:geoo/abstract/pipes/central4: 256 304
:geoo/abstract/pipes/central4: 96 8
:geoo/abstract/pipes/central4: 128 8
:geoo/abstract/pipes/central4: 160 8
:geoo/abstract/pipes/central4: 192 8
:geoo/abstract/pipes/central4: 224 8
:geoo/abstract/pipes/central4: 256 8
