$BUILT 2017-09-20 11:17:24
$AUTHOR Amanda
$ENGLISH Tumbler (6p)

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 2160
#SIZE_Y 400

#SECONDS 120
#INITIAL 50
#REQUIRED 20
#SPAWN_INTERVAL 55

#WALKER 3
#CLIMBER 6
#FLOATER 8
#EXPLODER2 12
#BLOCKER 6
#BUILDER 35
#PLATFORMER 32
#BASHER 6
#MINER 3
#DIGGER 3
#JUMPER 3
#BATTER 6

:geoo/abstract/hatch.H: 192 352
:geoo/abstract/hatch.H: 1936 352 r
:geoo/abstract/hatch.H: 48 352 r
:geoo/abstract/hatch.H: 2080 352
:geoo/abstract/hatch.H: 32 48 r
:geoo/abstract/hatch.H: 2096 48

:geoo/abstract/goal.G: 2016 320
:geoo/abstract/goal.G: 112 320

:matt/marble/05c: 1456 160
:geoo/steel/dark_32x32o.S: 1456 208
:matt/marble/00b: 440 172
:matt/marble/00b: 464 148
:matt/marble/00b: 472 156
:matt/marble/00b: 488 124
:matt/marble/00b: 496 132
:matt/marble/00b: 504 140
:matt/marble/00b: 512 100
:matt/marble/00b: 520 108
:matt/marble/00b: 528 116
:matt/marble/00b: 536 124
:matt/marble/00b: 544 84
:matt/marble/00b: 552 92
:matt/marble/00b: 560 100
:matt/marble/00b: 568 108
:matt/marble/00b: 576 68
:matt/marble/00b: 584 76
:matt/marble/00b: 592 84
:matt/marble/00b: 600 92
:matt/marble/00b: 608 52
:matt/marble/00b: 616 60
:matt/marble/00b: 624 68
:matt/marble/00b: 632 76
:matt/marble/00b: 640 36
:matt/marble/00b: 648 44
:matt/marble/00b: 656 52
:matt/marble/00b: 664 60
:matt/marble/00b: 672 68
:matt/marble/00b: 680 76
:matt/marble/00b: 688 84
:matt/marble/00b: 696 92
:matt/marble/00b: 704 100
:matt/marble/00b: 712 108
:matt/marble/00b: 720 68
:matt/marble/00b: 728 76
:matt/marble/00b: 736 84
:matt/marble/00b: 744 92
:matt/marble/00b: 752 52
:matt/marble/00b: 760 60
:matt/marble/00b: 768 68
:matt/marble/00b: 776 76
:matt/marble/00b: 784 36
:matt/marble/00b: 792 44
:matt/marble/00b: 800 52
:matt/marble/00b: 808 60
:matt/marble/00b: 816 68
:matt/marble/00b: 864 68
:matt/marble/00b: 872 76
:matt/marble/00b: 880 84
:matt/marble/00b: 888 92
:matt/marble/00b: 896 52
:matt/marble/00b: 904 60
:matt/marble/00b: 912 68
:matt/marble/00b: 920 76
:matt/marble/00b: 928 84
:matt/marble/00b: 936 92
:matt/marble/00b: 944 100
:matt/marble/00b: 952 108
:matt/marble/00b: 960 68
:matt/marble/00b: 968 76
:matt/marble/00b: 976 84
:matt/marble/00b: 984 92
:matt/marble/00b: 992 52
:matt/marble/00b: 1000 60
:matt/marble/00b: 1008 68
:matt/marble/00b: 1016 76
:matt/marble/00b: 1024 84
:matt/marble/00b: 1032 92
:matt/marble/00b: 1040 100
:matt/marble/00b: 1048 108
:matt/marble/00b: 1056 116
:matt/marble/00b: 1064 124
:matt/marble/00b: 1072 132
:matt/marble/00: 832 68
:matt/marble/00: 848 68
:matt/marble/001e_2: 384 304
:matt/marble/001e_2: 400 320
:matt/marble/001e_2: 416 336
:matt/marble/001e_2: 432 304
:matt/marble/001e_2: 448 320
:matt/marble/001e_2: 464 336
:matt/marble/001e_2: 480 304
:matt/marble/001e_2: 496 320
:matt/marble/001e_2: 512 336
:matt/marble/001e_2: 528 304
:matt/marble/001e_2: 544 320
:matt/marble/001e_2: 560 336
:matt/marble/001e_2: 576 304
:matt/marble/001e_2: 592 320
:matt/marble/001e_2: 608 336
:matt/marble/001e_2: 624 304
:matt/marble/001e_2: 640 320
:matt/marble/001e_2: 656 336
:matt/marble/001e_2: 672 304
:matt/marble/001e_2: 688 320
:matt/marble/001e_2: 704 336
:matt/marble/001e_2: 720 304
:matt/marble/001e_2: 736 320
:matt/marble/001e_2: 752 336
:matt/marble/001e_2: 768 304
:matt/marble/001e_2: 784 320
:matt/marble/001e_2: 800 336
:matt/marble/001e_2: 816 304
:matt/marble/001e_2: 832 320
:matt/marble/001e_2: 848 336
:matt/marble/001e_2: 864 304
:matt/marble/001e_2: 880 320
:matt/marble/001e_2: 896 336
:matt/marble/001e_2: 912 304
:matt/marble/001e_2: 928 320
:matt/marble/001e_2: 944 336
:matt/marble/001e_2: 960 304
:matt/marble/001e_2: 976 320
:matt/marble/001e_2: 992 336
:matt/marble/001e_2: 1008 304
:matt/marble/001e_2: 1024 320
:matt/marble/001e_2: 1040 336
:matt/marble/001e_2: 1056 304
:matt/marble/001e_2: 1072 320
:matt/marble/001e_2: 752 288
:matt/marble/001e_2: 800 288
:matt/marble/001e_2: 848 288
:matt/marble/001e_2: 896 288
:matt/marble/001e_2: 944 288
:matt/marble/001e_2: 992 288
:matt/marble/001e_2: 1040 288
:matt/marble/001e_2: 928 272
:matt/marble/001e_2: 976 272
:matt/marble/001e_2: 1024 272
:geoo/steel/16x16o.S: 416 384
:geoo/steel/16x16o.S: 480 384
:geoo/steel/16x16o.S: 544 384
