$BUILT 2021-01-14 00:26:51
$AUTHOR Flopsy
$ENGLISH Everything Falls into Place 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 1216
#SIZE_Y 504
#TORUS_X 1
#TORUS_Y 1

#SECONDS 60
#INITIAL 100
#SPAWN_INTERVAL 16

#WALKER 30
#RUNNER 10
#CLIMBER 20
#FLOATER 20
#EXPLODER2 20
#BLOCKER 1
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 30
#BATTER 20
#CUBER 10

:matt/goldmine/Hatch.H: 32 32
:matt/goldmine/Hatch.H: 32 200
:matt/goldmine/Hatch.H: 32 368
:matt/goldmine/Hatch.H: 640 32
:matt/goldmine/Hatch.H: 640 200
:matt/goldmine/Hatch.H: 640 368

:matt/goldmine/Goal.G: 532 368
:matt/goldmine/Goal.G: 532 32
:matt/goldmine/Goal.G: 532 200
:matt/goldmine/Goal.G: 1140 368
:matt/goldmine/Goal.G: 1140 32
:matt/goldmine/Goal.G: 1140 200

:matt/goldmine/tracks: 16 76
:matt/goldmine/tracks: 112 76
:matt/goldmine/tracks: 208 76
:matt/goldmine/tracks: 280 76
:matt/goldmine/crate64: 128 16
:matt/goldmine/crate64: 192 16
:matt/goldmine/explosivecrate: 192 16
:matt/goldmine/crate16: 304 64
:matt/goldmine/crate16: 304 48
:matt/goldmine/crate16: 304 32
:matt/goldmine/crate16: 304 16
:matt/goldmine/crate16: 304 0
:matt/goldmine/tracks: 472 76
:matt/goldmine/tracks: 424 76
:matt/goldmine/crate16: 304 168
:matt/goldmine/plankdiag: 416 164
:matt/goldmine/tracks: 304 160
:matt/goldmine/10: 430 126
:matt/goldmine/10: 556 134
:matt/goldmine/03: 439 134
:matt/goldmine/tracks: 400 160
:matt/goldmine/tracks: 472 160
:matt/goldmine/10: 435 79
:matt/goldmine/10: 478 80
:matt/goldmine/10: 505 79
:matt/goldmine/00: 435 82
:matt/goldmine/crate16: 424 148
:matt/goldmine/crate16: 424 132
:matt/goldmine/crate16: 424 116
:matt/goldmine/crate16: 424 100
:matt/goldmine/crate16: 424 84
:matt/goldmine/tracks: 424 76
:matt/goldmine/10: 557 79
:matt/goldmine/tracks: 472 76
:matt/goldmine/00: 511 83
:matt/goldmine/10: 498 117
:matt/goldmine/10: 498 99
:matt/goldmine/crate16: 576 84
:matt/goldmine/crate16: 576 100
:matt/goldmine/crate16: 576 116
:matt/goldmine/crate16: 576 132
:matt/goldmine/crate16: 576 148
:matt/goldmine/10: 45 80
:matt/goldmine/10: 16 79
:matt/goldmine/03: 16 81
:matt/goldmine/tracks: 16 76
:matt/goldmine/tracks: 112 76
:matt/goldmine/tracks: 208 76
:matt/goldmine/tracks: 280 76
:matt/goldmine/planksupport2: 208 84
:matt/goldmine/plankdiag: 384 28
:matt/goldmine/tracks: 16 244
:matt/goldmine/tracks: 112 244
