$BUILT 2023-05-02 19:47:25
$AUTHOR Flopsy
$ENGLISH Get Up and Fly Right 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 1216
#SIZE_Y 960
#TORUS_X 1
#TORUS_Y 1

#SECONDS 60
#INITIAL 60
#SPAWN_INTERVAL 8

#WALKER 30
#RUNNER 10
#CLIMBER 5
#BLOCKER 1
#BUILDER 40
#MINER 30
#DIGGER 5
#JUMPER 30
#BATTER 20
#CUBER 1
#EXPLODER2 0

:raymanni/lab/hatch.H: 32 0
:raymanni/lab/hatch.H: 32 320
:raymanni/lab/hatch.H: 640 0
:raymanni/lab/hatch.H: 640 320
:raymanni/lab/hatch.H: 32 640
:raymanni/lab/hatch.H: 640 640

:raymanni/lab/goal.G: 416 832
:raymanni/lab/goal.G: 416 192
:raymanni/lab/goal.G: 1024 832
:raymanni/lab/goal.G: 1024 192
:raymanni/lab/goal.G: 416 512
:raymanni/lab/goal.G: 1024 512

:raymanni/gore/eater.T: 544 64
:raymanni/gore/eater.T: 1152 64
:raymanni/gore/eater.T: 1152 384
:raymanni/gore/eater.T: 544 384
:raymanni/gore/eater.T: 1152 704
:raymanni/gore/eater.T: 544 704

:geoo/construction/sawblade.F: 512 186
:geoo/construction/sawblade.F: 16 282
:raymanni/toys/water.W: 352 288
:raymanni/toys/water.W: 384 288
:geoo/construction/sawblade.F: 1120 186
:geoo/construction/sawblade.F: 624 282
:raymanni/toys/water.W: 960 288
:raymanni/toys/water.W: 992 288
:geoo/construction/sawblade.F: 1120 506
:geoo/construction/sawblade.F: 624 602
:raymanni/toys/water.W: 960 608
:raymanni/toys/water.W: 992 608
:geoo/construction/sawblade.F: 512 506
:geoo/construction/sawblade.F: 16 602
:raymanni/toys/water.W: 352 608
:raymanni/toys/water.W: 384 608
:geoo/construction/sawblade.F: 1120 826
:geoo/construction/sawblade.F: 624 922
:raymanni/toys/water.W: 960 928
:raymanni/toys/water.W: 992 928
:geoo/construction/sawblade.F: 512 826
:geoo/construction/sawblade.F: 16 922
:raymanni/toys/water.W: 352 928
:raymanni/toys/water.W: 384 928

:raymanni/lab/block_7: 0 96
:raymanni/lab/block_6: 64 96
:raymanni/lab/block_2: 64 128
:raymanni/lab/block_7: 32 160
:raymanni/lab/block_1: 0 160
:raymanni/lab/block_6: 0 192
:raymanni/lab/block_10: 32 160
:raymanni/lab/block_5: 64 224
:raymanni/lab/block_5: 64 256
:raymanni/lab/block_8: 96 256
:raymanni/lab/block_5: 64 288
:raymanni/lab/block_7: 160 256
:raymanni/lab/block_6: 160 224
:raymanni/lab/block_6: 256 224
:raymanni/lab/block_6: 160 192
