$BUILT 2022-04-24 03:43:02
$AUTHOR Flopsy
$ENGLISH Orange Dream 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 2208
#SIZE_Y 800
#TORUS_X 1
#TORUS_Y 0

#SECONDS 90
#INITIAL 80
#SPAWN_INTERVAL 31

#WALKER 40
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#BUILDER 40
#PLATFORMER 20
#BASHER 20
#MINER 20
#DIGGER 1
#JUMPER 40
#BATTER 40
#CUBER 10
#EXPLODER2 0

:matt/goldmine/Hatch.H: 32 288
:matt/goldmine/Hatch.H: 768 288
:matt/goldmine/Hatch.H: 1505 288
:matt/goldmine/Hatch.H: 33 688
:matt/goldmine/Hatch.H: 769 688
:matt/goldmine/Hatch.H: 1505 688
:matt/goldmine/Hatch.H: 2081 288 r
:matt/goldmine/Hatch.H: 609 288 r
:matt/goldmine/Hatch.H: 1345 288 r
:matt/goldmine/Hatch.H: 2081 688 r
:matt/goldmine/Hatch.H: 609 688 r
:matt/goldmine/Hatch.H: 1344 688 r

:matt/goldmine/Goal.G: 608 80
:matt/goldmine/Goal.G: 1344 80
:matt/goldmine/Goal.G: 2080 80
:matt/goldmine/Goal.G: 608 480
:matt/goldmine/Goal.G: 1344 480
:matt/goldmine/Goal.G: 2080 480

:amanda/forest/frog_happy.T: 672 32
:amanda/forest/frog_happy.T: 1408 32
:amanda/forest/frog_happy.T: 720 32
:amanda/forest/frog_happy.T: 2144 32
:amanda/forest/frog_happy.T: 2192 32
:amanda/forest/frog_happy.T: 672 432
:amanda/forest/frog_happy.T: 1408 432
:amanda/forest/frog_happy.T: 720 432
:amanda/forest/frog_happy.T: 2144 432
:amanda/forest/frog_happy.T: 2192 432
:amanda/forest/frog_happy.T: 1456 432
:amanda/forest/frog_happy.T: 1456 32

:simon/crystal.W: 16 352
:simon/crystal.W: 64 352
:simon/crystal.W: 112 352
:simon/crystal.W: 160 352
:simon/crystal.W: 208 352
:simon/crystal.W: 256 352
:simon/crystal.W: 304 352
:simon/crystal.W: 352 352
:simon/crystal.W: 400 352
:simon/crystal.W: 448 352
:simon/crystal.W: 496 352
:simon/crystal.W: 544 352
