$BUILT 2021-02-13 15:21:50
$AUTHOR Flopsy
$ENGLISH Sector 4T Lixes 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 2400
#SIZE_Y 800
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 32

#SECONDS 90
#INITIAL 80
#SPAWN_INTERVAL 32

#WALKER 40
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 10
#BLOCKER 1
#BUILDER 40
#PLATFORMER 40
#BASHER 30
#MINER 30
#DIGGER 20
#JUMPER 40
#BATTER 30
#CUBER 5

:raymanni/lab/hatch.H: 32 40
:raymanni/lab/hatch.H: 832 40
:raymanni/lab/hatch.H: 1632 40
:raymanni/lab/hatch.H: 32 440
:raymanni/lab/hatch.H: 832 440
:raymanni/lab/hatch.H: 1632 440

:raymanni/lab/goal.G: 1368 608
:raymanni/lab/goal.G: 2168 608
:raymanni/lab/goal.G: 568 608
:raymanni/lab/goal.G: 1368 208
:raymanni/lab/goal.G: 2168 208
:raymanni/lab/goal.G: 568 208

:raymanni/gore/eater.T: 168 208
:raymanni/gore/eater.T: 968 208
:raymanni/gore/eater.T: 1768 208
:raymanni/gore/eater.T: 456 32
:raymanni/gore/eater.T: 1256 32
:raymanni/gore/eater.T: 2056 32
:raymanni/gore/eater.T: 168 608
:raymanni/gore/eater.T: 968 608
:raymanni/gore/eater.T: 1768 608
:raymanni/gore/eater.T: 456 432
:raymanni/gore/eater.T: 1256 432
:raymanni/gore/eater.T: 2056 432

:raymanni/lab/block_10: 88 96
:raymanni/lab/block_7: 24 96
:raymanni/lab/block_8: 24 160
:raymanni/lab/block_7: 88 160
:raymanni/lab/block_7: 136 272
:raymanni/lab/block_9: 88 224
:raymanni/lab/block_7: 24 224
:raymanni/lab/block_9: 136 336
:raymanni/lab/block_7: 248 224
:raymanni/lab/block_10: 200 272
:raymanni/lab/block_7: 200 336
:raymanni/lab/block_10: 312 96
