$BUILT 2021-01-13 23:18:06
$AUTHOR Flopsy
$ENGLISH The Call of LUCIA 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 1536
#SIZE_Y 960
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 80
#BACKGROUND_BLUE 176

#SECONDS 60
#INITIAL 60
#SPAWN_INTERVAL 32

#WALKER 30
#RUNNER 30
#CLIMBER 10
#FLOATER 10
#EXPLODER2 20
#BLOCKER 1
#BUILDER 30
#PLATFORMER 30
#BASHER 30
#MINER 30
#DIGGER 20
#JUMPER 30
#BATTER 30
#CUBER 10

:geoo/sandstone/Hatch.H: 864 704
:geoo/sandstone/Hatch.H: 96 704
:geoo/sandstone/Hatch.H: 864 384
:geoo/sandstone/Hatch.H: 96 384
:geoo/sandstone/Hatch.H: 864 64
:geoo/sandstone/Hatch.H: 96 64

:geoo/sandstone/Goal.G: 448 416
:geoo/sandstone/Goal.G: 1216 416
:geoo/sandstone/Goal.G: 448 96
:geoo/sandstone/Goal.G: 1216 96
:geoo/sandstone/Goal.G: 448 736
:geoo/sandstone/Goal.G: 1216 736

:amanda/forest/frog.T: 976 656
:amanda/forest/frog.T: 208 656
:amanda/forest/frog.T: 976 336
:amanda/forest/frog.T: 208 336
:amanda/forest/frog.T: 656 816
:amanda/forest/frog.T: 1424 816
:amanda/forest/frog.T: 1424 496
:amanda/forest/frog.T: 656 496
:amanda/forest/frog.T: 976 16
:amanda/forest/frog.T: 208 16
:amanda/forest/frog.T: 1424 176
:amanda/forest/frog.T: 656 176

:raymanni/toys/water.W: 1088 736
:raymanni/toys/water.W: 320 736
:raymanni/toys/water.W: 1088 416
:raymanni/toys/water.W: 320 416
:raymanni/toys/water.W: 1088 96
:raymanni/toys/water.W: 320 96

:geoo/sandstone/32x32: 768 640
:geoo/sandstone/32x32: 768 672
:geoo/sandstone/32x32: 768 704
:geoo/sandstone/32x32: 768 736
:geoo/sandstone/32x32: 768 768
:geoo/sandstone/32x32: 768 800
:geoo/sandstone/32x32: 768 864
:geoo/sandstone/32x32: 768 896
:geoo/sandstone/32x32: 768 928
:geoo/steel/32x32o.S: 800 800
:geoo/steel/32x32o.S: 832 800
:geoo/steel/32x32o.S: 864 800
:geoo/steel/32x32o.S: 896 800
:geoo/steel/32x32o.S: 928 800
:geoo/steel/32x32o.S: 960 800
:geoo/steel/32x32o.S: 992 800
:geoo/sandstone/slopes/32x32lb: 800 768
:geoo/sandstone/slopes/32x32rb: 800 736
:geoo/sandstone/slopes/32x32lb: 800 704
:geoo/sandstone/slopes/32x32rb: 800 672
