$BUILT 2023-09-06 15:22:33
$AUTHOR Flopsy
$ENGLISH The Lix Waterfall Connection 6P

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 1920
#SIZE_Y 712
#TORUS_X 1
#TORUS_Y 0

#SECONDS 210
#INITIAL 80
#SPAWN_INTERVAL 31

#WALKER 40
#RUNNER 5
#CLIMBER 10
#FLOATER 10
#BLOCKER 1
#BUILDER 50
#PLATFORMER 10
#BASHER 20
#MINER 40
#DIGGER 5
#JUMPER 20
#BATTER -1
#CUBER 5
#EXPLODER2 0

:matt/carnival/Hatch.H: 64 352
:matt/carnival/Hatch.H: 704 352
:matt/carnival/Hatch.H: 1344 352
:matt/carnival/Hatch.H: 64 0
:matt/carnival/Hatch.H: 704 0
:matt/carnival/Hatch.H: 1344 0

:matt/carnival/Goal.G: 384 384
:matt/carnival/Goal.G: 1024 384
:matt/carnival/Goal.G: 1664 384
:matt/carnival/Goal.G: 384 32
:matt/carnival/Goal.G: 1024 32
:matt/carnival/Goal.G: 1664 32

:amanda/forest/frog_catch.T: 384 496
:amanda/forest/frog_catch.T: 704 496
:amanda/forest/frog_catch.T: 1024 496
:amanda/forest/frog_catch.T: 64 496
:amanda/forest/frog_catch.T: 1664 496
:amanda/forest/frog_catch.T: 1344 496
:amanda/forest/frog_catch.T: 384 144
:amanda/forest/frog_catch.T: 704 144
:amanda/forest/frog_catch.T: 1024 144
:amanda/forest/frog_catch.T: 64 144
:amanda/forest/frog_catch.T: 1664 144
:amanda/forest/frog_catch.T: 1344 144

:raymanni/toys/water.W: 0 444
:raymanni/toys/water.W: 0 460
:raymanni/toys/water.W: 0 476
:raymanni/toys/water.W: 0 492
:raymanni/toys/water.W: 0 508
:raymanni/toys/water.W: 0 524
:raymanni/toys/water.W: 0 540
:raymanni/toys/water.W: 0 556
:raymanni/toys/water.W: 0 636
:raymanni/toys/water.W: 0 652
:raymanni/toys/water.W: 0 668
:raymanni/toys/water.W: 0 672
:raymanni/toys/water.W: 320 636
:raymanni/toys/water.W: 320 652
:raymanni/toys/water.W: 320 668
:raymanni/toys/water.W: 320 672
:raymanni/toys/water.W: 320 444
:raymanni/toys/water.W: 320 460
:raymanni/toys/water.W: 320 476
:raymanni/toys/water.W: 320 492
:raymanni/toys/water.W: 320 508
:raymanni/toys/water.W: 320 524
:raymanni/toys/water.W: 320 540
