$BUILT 2017-09-11 06:14:56
$AUTHOR minimac
$ENGLISH Across the Gap (6P)

#INTENDED_NUMBER_OF_PLAYERS 6
#SIZE_X 608
#SIZE_Y 576
#TORUS_X 0
#TORUS_Y 1

#SECONDS 60
#INITIAL 100
#REQUIRED 16
#SPAWN_INTERVAL 24

#CLIMBER 3
#FLOATER 16
#EXPLODER2 16
#BLOCKER 3
#BUILDER 3
#PLATFORMER 16
#BASHER 16
#MINER 3
#DIGGER 16
#BATTER 3

:matt/bricks/Hatch.H: 104 224
:matt/bricks/Hatch.H: 440 224 r
:matt/bricks/Hatch.H: 104 416
:matt/bricks/Hatch.H: 440 416 r
:matt/bricks/Hatch.H: 104 32
:matt/bricks/Hatch.H: 440 32 r

:matt/bricks/Goal.G: 544 248
:matt/bricks/Goal.G: 0 248
:matt/bricks/Goal.G: 544 440
:matt/bricks/Goal.G: 0 440
:matt/bricks/Goal.G: 544 56
:matt/bricks/Goal.G: 0 56

:geoo/steel/dark_32x16o.S: 0 296
:geoo/steel/dark_32x16o.S: 32 296
:geoo/steel/dark_32x16o.S: 64 296
:geoo/steel/dark_32x16o.S: 96 296
:geoo/steel/dark_32x16o.S: 128 296
:geoo/steel/dark_32x16o.S: 160 296
:geoo/steel/dark_32x16o.S: 416 296
:geoo/steel/dark_32x16o.S: 448 296
:geoo/steel/dark_32x16o.S: 480 296
:geoo/steel/dark_32x16o.S: 512 296
:geoo/steel/dark_32x16o.S: 544 296
:geoo/steel/dark_32x16o.S: 576 296
:proxima/tile/orange2s: 192 288
:proxima/tile/orange2s: 224 288
:proxima/tile/orange2s: 256 288
:proxima/tile/orange2s: 192 320
:proxima/tile/orange2s: 256 320
:proxima/tile/orange2s: 192 352
:proxima/tile/orange2s: 224 352
:proxima/tile/orange2s: 256 352
:proxima/tile/orange2s: 192 384
:proxima/tile/orange2s: 256 384
:proxima/tile/orange2s: 192 416
:proxima/tile/orange2s: 224 416
:proxima/tile/orange2s: 256 416
:proxima/tile/orange2s: 192 448
:proxima/tile/orange2s: 256 448
:proxima/tile/orange2s: 192 480
:proxima/tile/orange2s: 224 480
:proxima/tile/orange2s: 256 480
:proxima/tile/orange2s: 192 512
:proxima/tile/orange2s: 256 512
:proxima/tile/orange2s: 192 544
:proxima/tile/orange2s: 224 544
:proxima/tile/orange2s: 256 544
:proxima/tile/orange2s: 192 0
