$BUILT 2017-12-09 16:23:36
$AUTHOR Arty
$ENGLISH Blow your top! (7p)

#INTENDED_NUMBER_OF_PLAYERS 7
#SIZE_X 592
#SIZE_Y 840
#TORUS_X 0
#TORUS_Y 1

#SECONDS 90
#INITIAL 120
#REQUIRED 20
#SPAWN_INTERVAL 12

#WALKER 80
#EXPLODER2 80
#BLOCKER 80
#BUILDER 80
#JUMPER 80

:geoo/construction/Hatch.H: 32 88
:geoo/construction/Hatch.H: 32 208
:geoo/construction/Hatch.H: 32 328
:geoo/construction/Hatch.H: 32 448
:geoo/construction/Hatch.H: 32 568
:geoo/construction/Hatch.H: 32 688
:geoo/construction/Hatch.H: 32 808
:geoo/construction/Hatch.H: 144 8 r
:geoo/construction/Hatch.H: 144 128 r
:geoo/construction/Hatch.H: 144 248 r
:geoo/construction/Hatch.H: 144 368 r
:geoo/construction/Hatch.H: 144 488 r
:geoo/construction/Hatch.H: 144 608 r
:geoo/construction/Hatch.H: 144 728 r
:geoo/construction/Hatch.H: 32 88
:geoo/construction/Hatch.H: 32 208
:geoo/construction/Hatch.H: 32 328
:geoo/construction/Hatch.H: 32 448
:geoo/construction/Hatch.H: 32 568
:geoo/construction/Hatch.H: 32 688
:geoo/construction/Hatch.H: 32 808
:geoo/construction/Hatch.H: 280 152
:geoo/construction/Hatch.H: 280 272
:geoo/construction/Hatch.H: 280 392
:geoo/construction/Hatch.H: 280 512
:geoo/construction/Hatch.H: 280 632
:geoo/construction/Hatch.H: 280 752
:geoo/construction/Hatch.H: 280 32

:geoo/abstract/goal.G: 216 8
:geoo/abstract/goal.G: 216 128
:geoo/abstract/goal.G: 216 248
:geoo/abstract/goal.G: 216 368
:geoo/abstract/goal.G: 216 488
:geoo/abstract/goal.G: 216 608
:geoo/abstract/goal.G: 216 728

:geoo/construction/Laser_hz_64.F: 88 74
:geoo/construction/Laser_hz_64.F: 152 74
:geoo/construction/Laser_hz_64.F: 216 74
:geoo/construction/Laser_hz_64.F: 280 74
:geoo/construction/Laser_hz_64.F: 344 74
:geoo/construction/Laser_hz_64.F: 408 74
:geoo/construction/Laser_hz_64.F: 24 74
:geoo/construction/Laser_hz_64.F: 440 74
:geoo/construction/Laser_hz_64.F: 208 2
:geoo/construction/Laser_hz_64.F: 272 2
:geoo/construction/Laser_hz_64.F: 336 2
:geoo/construction/Laser_hz_64.F: 400 2
:geoo/construction/Laser_hz_64.F: 440 2
:geoo/construction/Laser_hz_64.F: 88 194
:geoo/construction/Laser_hz_64.F: 152 194
:geoo/construction/Laser_hz_64.F: 216 194
:geoo/construction/Laser_hz_64.F: 280 194
:geoo/construction/Laser_hz_64.F: 344 194
:geoo/construction/Laser_hz_64.F: 408 194
:geoo/construction/Laser_hz_64.F: 24 194
:geoo/construction/Laser_hz_64.F: 440 194
:geoo/construction/Laser_hz_64.F: 208 122
:geoo/construction/Laser_hz_64.F: 272 122
:geoo/construction/Laser_hz_64.F: 336 122
:geoo/construction/Laser_hz_64.F: 400 122
:geoo/construction/Laser_hz_64.F: 440 122
:geoo/construction/Laser_hz_64.F: 88 314
:geoo/construction/Laser_hz_64.F: 152 314
:geoo/construction/Laser_hz_64.F: 216 314
:geoo/construction/Laser_hz_64.F: 280 314
:geoo/construction/Laser_hz_64.F: 344 314
:geoo/construction/Laser_hz_64.F: 408 314
:geoo/construction/Laser_hz_64.F: 24 314
:geoo/construction/Laser_hz_64.F: 440 314
:geoo/construction/Laser_hz_64.F: 208 242
:geoo/construction/Laser_hz_64.F: 272 242
:geoo/construction/Laser_hz_64.F: 336 242
:geoo/construction/Laser_hz_64.F: 400 242
:geoo/construction/Laser_hz_64.F: 440 242
:geoo/construction/Laser_hz_64.F: 208 362
:geoo/construction/Laser_hz_64.F: 272 362
:geoo/construction/Laser_hz_64.F: 336 362
:geoo/construction/Laser_hz_64.F: 400 362
:geoo/construction/Laser_hz_64.F: 440 362
:geoo/construction/Laser_hz_64.F: 88 434
:geoo/construction/Laser_hz_64.F: 152 434
:geoo/construction/Laser_hz_64.F: 216 434
:geoo/construction/Laser_hz_64.F: 280 434
:geoo/construction/Laser_hz_64.F: 344 434
:geoo/construction/Laser_hz_64.F: 408 434
:geoo/construction/Laser_hz_64.F: 24 434
:geoo/construction/Laser_hz_64.F: 440 434
:geoo/construction/Laser_hz_64.F: 88 554
:geoo/construction/Laser_hz_64.F: 152 554
:geoo/construction/Laser_hz_64.F: 216 554
:geoo/construction/Laser_hz_64.F: 280 554
:geoo/construction/Laser_hz_64.F: 344 554
:geoo/construction/Laser_hz_64.F: 408 554
:geoo/construction/Laser_hz_64.F: 24 554
:geoo/construction/Laser_hz_64.F: 440 554
:geoo/construction/Laser_hz_64.F: 208 482
:geoo/construction/Laser_hz_64.F: 272 482
:geoo/construction/Laser_hz_64.F: 336 482
:geoo/construction/Laser_hz_64.F: 400 482
:geoo/construction/Laser_hz_64.F: 440 482
:geoo/construction/Laser_hz_64.F: 88 674
:geoo/construction/Laser_hz_64.F: 152 674
:geoo/construction/Laser_hz_64.F: 216 674
:geoo/construction/Laser_hz_64.F: 280 674
:geoo/construction/Laser_hz_64.F: 344 674
:geoo/construction/Laser_hz_64.F: 408 674
:geoo/construction/Laser_hz_64.F: 24 674
:geoo/construction/Laser_hz_64.F: 440 674
:geoo/construction/Laser_hz_64.F: 208 602
:geoo/construction/Laser_hz_64.F: 272 602
:geoo/construction/Laser_hz_64.F: 336 602
:geoo/construction/Laser_hz_64.F: 400 602
:geoo/construction/Laser_hz_64.F: 440 602
:geoo/construction/Laser_hz_64.F: 88 794
:geoo/construction/Laser_hz_64.F: 152 794
