$BUILT 2024-01-27 22:55:37
$AUTHOR geoo
$ENGLISH Eggs in One Basket

#INTENDED_NUMBER_OF_PLAYERS 7
#SIZE_X 896
#SIZE_Y 1120
#TORUS_X 1
#TORUS_Y 1

#SECONDS 90
#INITIAL 100
#SPAWN_INTERVAL 20

#WALKER 50
#RUNNER 5
#CLIMBER 5
#FLOATER 5
#EXPLODER 20
#BUILDER 50
#PLATFORMER 50
#BASHER 50
#MINER 30
#JUMPER 50

:geoo/abstract/hatch.H: 608 1112 r
:geoo/abstract/hatch.H: 864 952 r
:geoo/abstract/hatch.H: 224 792 r
:geoo/abstract/hatch.H: 480 632 r
:geoo/abstract/hatch.H: 736 472 r
:geoo/abstract/hatch.H: 96 312 r
:geoo/abstract/hatch.H: 352 152 r

:geoo/abstract/goal.G: 192 208
:geoo/abstract/goal.G: 448 48
:geoo/abstract/goal.G: 704 1008
:geoo/abstract/goal.G: 64 848
:geoo/abstract/goal.G: 320 688
:geoo/abstract/goal.G: 576 528
:geoo/abstract/goal.G: 832 368

:geoo/construction/squisher.T: 128 192
:geoo/construction/squisher.T: 128 184
:geoo/construction/squisher.T: 128 176
:geoo/construction/squisher.T: 128 168
:geoo/construction/squisher.T: 128 160
:geoo/construction/squisher.T: 160 192
:geoo/construction/squisher.T: 160 184
:geoo/construction/squisher.T: 160 176
:geoo/construction/squisher.T: 160 168
:geoo/construction/squisher.T: 160 160
:geoo/construction/squisher.T: 384 32
:geoo/construction/squisher.T: 384 24
:geoo/construction/squisher.T: 384 16
:geoo/construction/squisher.T: 384 8
:geoo/construction/squisher.T: 384 0
:geoo/construction/squisher.T: 416 32
:geoo/construction/squisher.T: 416 24
:geoo/construction/squisher.T: 416 16
:geoo/construction/squisher.T: 416 8
:geoo/construction/squisher.T: 416 0
:geoo/construction/squisher.T: 640 992
:geoo/construction/squisher.T: 640 984
:geoo/construction/squisher.T: 640 976
:geoo/construction/squisher.T: 640 968
:geoo/construction/squisher.T: 640 960
:geoo/construction/squisher.T: 672 992
:geoo/construction/squisher.T: 672 984
:geoo/construction/squisher.T: 672 976
:geoo/construction/squisher.T: 672 968
:geoo/construction/squisher.T: 672 960
:geoo/construction/squisher.T: 0 832
:geoo/construction/squisher.T: 0 824
:geoo/construction/squisher.T: 0 816
:geoo/construction/squisher.T: 0 808
:geoo/construction/squisher.T: 0 800
:geoo/construction/squisher.T: 32 832
:geoo/construction/squisher.T: 32 824
:geoo/construction/squisher.T: 32 816
:geoo/construction/squisher.T: 32 808
:geoo/construction/squisher.T: 32 800
:geoo/construction/squisher.T: 256 672
:geoo/construction/squisher.T: 256 664
:geoo/construction/squisher.T: 256 656
:geoo/construction/squisher.T: 256 648
:geoo/construction/squisher.T: 256 640
:geoo/construction/squisher.T: 288 672
:geoo/construction/squisher.T: 288 664
:geoo/construction/squisher.T: 288 656
:geoo/construction/squisher.T: 288 648
:geoo/construction/squisher.T: 288 640
:geoo/construction/squisher.T: 512 512
:geoo/construction/squisher.T: 512 504
:geoo/construction/squisher.T: 512 496
