$BUILT 2018-02-02 15:45:58
$AUTHOR Arty
$ENGLISH Charity Drive (8p)

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 2048
#SIZE_Y 512
#TORUS_X 1
#TORUS_Y 0
#BACKGROUND_RED 175
#BACKGROUND_GREEN 175
#BACKGROUND_BLUE 175

#SECONDS 50
#INITIAL 50
#SPAWN_INTERVAL 4

#WALKER 10
#CLIMBER 1
#BLOCKER 10
#PLATFORMER 10
#DIGGER 30
#JUMPER 10
#BATTER 20
#EXPLODER2 0

:geoo/abstract/hatch.H: 224 32
:geoo/abstract/hatch.H: 224 288
:geoo/abstract/hatch.H: 1760 32
:geoo/abstract/hatch.H: 1760 288
:geoo/abstract/hatch.H: 1248 32
:geoo/abstract/hatch.H: 1248 288
:geoo/abstract/hatch.H: 736 32
:geoo/abstract/hatch.H: 736 288

:geoo/abstract/goal.G: 544 432
:geoo/abstract/goal.G: 608 432
:geoo/abstract/goal.G: 672 432
:geoo/abstract/goal.G: 736 432
:geoo/abstract/goal.G: 800 432
:geoo/abstract/goal.G: 864 432
:geoo/abstract/goal.G: 928 432
:geoo/abstract/goal.G: 544 176
:geoo/abstract/goal.G: 608 176
:geoo/abstract/goal.G: 672 176
:geoo/abstract/goal.G: 736 176
:geoo/abstract/goal.G: 800 176
:geoo/abstract/goal.G: 864 176
:geoo/abstract/goal.G: 928 176
:geoo/abstract/goal.G: 1056 432
:geoo/abstract/goal.G: 1120 432
:geoo/abstract/goal.G: 1184 432
:geoo/abstract/goal.G: 1248 432
:geoo/abstract/goal.G: 1312 432
:geoo/abstract/goal.G: 1376 432
:geoo/abstract/goal.G: 1440 432
:geoo/abstract/goal.G: 1056 176
:geoo/abstract/goal.G: 1120 176
:geoo/abstract/goal.G: 1184 176
:geoo/abstract/goal.G: 1248 176
:geoo/abstract/goal.G: 1312 176
:geoo/abstract/goal.G: 1376 176
:geoo/abstract/goal.G: 1440 176
:geoo/abstract/goal.G: 1568 432
