$BUILT 2018-01-18 18:22:06
$AUTHOR Arty
$ENGLISH Pandemonium Box (8p)

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 768
#SIZE_Y 768
#TORUS_X 1
#TORUS_Y 1

#SECONDS 60
#INITIAL 120
#REQUIRED 20
#SPAWN_INTERVAL 22

#WALKER 50
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#BUILDER 20
#PLATFORMER 20
#BASHER 20
#MINER 20
#JUMPER 50
#EXPLODER2 0

:matt/carnival/Hatch.H: 16 8
:matt/carnival/Hatch.H: 400 8
:matt/carnival/Hatch.H: 208 200
:matt/carnival/Hatch.H: 592 200
:matt/carnival/Hatch.H: 16 392
:matt/carnival/Hatch.H: 400 392
:matt/carnival/Hatch.H: 208 584
:matt/carnival/Hatch.H: 592 584

:matt/carnival/Goal.G: 464 672
:matt/carnival/Goal.G: 80 672
:matt/carnival/Goal.G: 672 96
:matt/carnival/Goal.G: 288 96
:matt/carnival/Goal.G: 416 288
:matt/carnival/Goal.G: 32 288
:matt/carnival/Goal.G: 672 480
:matt/carnival/Goal.G: 288 480

:matt/carnival/00: 0 0
:matt/carnival/00: 0 32
:matt/carnival/00: 0 64
:matt/carnival/00: 0 96
:matt/carnival/00: 96 0
:matt/carnival/00: 128 0
:matt/carnival/00: 160 96
:matt/carnival/00: 160 128
:matt/carnival/00: 128 160
:matt/carnival/00: 96 160
:matt/carnival/00: 32 0
:matt/carnival/00: 64 0
:matt/carnival/00: 0 128
:matt/carnival/00: 0 160
:matt/carnival/00: 32 160
:matt/carnival/00: 64 160
:matt/carnival/00: 160 64
:matt/carnival/00: 160 32
:matt/carnival/00: 160 160
:matt/carnival/00: 160 0
:matt/carnival/02: 0 192
:matt/carnival/02: 0 224
:matt/carnival/02: 0 256
:matt/carnival/02: 0 288
:matt/carnival/02: 0 320
:matt/carnival/02: 0 352
:matt/carnival/02: 32 352
:matt/carnival/02: 64 352
:matt/carnival/02: 96 352
:matt/carnival/02: 128 352
:matt/carnival/02: 32 192
:matt/carnival/02: 64 192
:matt/carnival/02: 96 192
:matt/carnival/02: 128 192
:matt/carnival/02: 160 192
:matt/carnival/02: 160 224
:matt/carnival/02: 160 256
:matt/carnival/02: 160 288
:matt/carnival/02: 160 320
:matt/carnival/02: 160 352
:matt/carnival/01: 0 384
:matt/carnival/01: 32 384
:matt/carnival/01: 64 384
:matt/carnival/01: 96 384
:matt/carnival/01: 128 384
:matt/carnival/01: 160 384
:matt/carnival/01: 0 544
:matt/carnival/01: 32 544
:matt/carnival/01: 64 544
:matt/carnival/01: 96 544
:matt/carnival/01: 128 544
:matt/carnival/01: 160 544
:matt/carnival/01: 0 416
:matt/carnival/01: 0 448
:matt/carnival/01: 0 480
:matt/carnival/01: 0 512
:matt/carnival/01: 160 416
:matt/carnival/01: 160 448
:matt/carnival/01: 160 480
:matt/carnival/01: 160 512
:matt/carnival/03: 0 576
:matt/carnival/03: 0 608
:matt/carnival/03: 0 640
:matt/carnival/03: 0 672
:matt/carnival/03: 0 704
:matt/carnival/03: 0 736
:matt/carnival/03: 32 736
:matt/carnival/03: 64 736
:matt/carnival/03: 96 736
