$BUILT 2023-09-07 14:30:34
$AUTHOR Flopsy
$ENGLISH Another Lix Waterfall Connection 8P

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 1280
#SIZE_Y 704
#TORUS_X 1
#TORUS_Y 0

#SECONDS 210
#INITIAL 80
#SPAWN_INTERVAL 31

#WALKER 40
#RUNNER 5
#CLIMBER 10
#FLOATER 10
#BLOCKER 1
#BUILDER 50
#PLATFORMER 10
#BASHER 20
#MINER 40
#DIGGER 5
#JUMPER 20
#BATTER -1
#CUBER 5
#EXPLODER2 0

:matt/carnival/Hatch.H: 1152 0
:matt/carnival/Hatch.H: 120 0
:matt/carnival/Hatch.H: 512 0
:matt/carnival/Hatch.H: 832 0
:matt/carnival/Hatch.H: 1152 352
:matt/carnival/Hatch.H: 120 352
:matt/carnival/Hatch.H: 512 352
:matt/carnival/Hatch.H: 832 352

:matt/carnival/Goal.G: 64 32
:matt/carnival/Goal.G: 416 32
:matt/carnival/Goal.G: 736 32
:matt/carnival/Goal.G: 1056 32
:matt/carnival/Goal.G: 64 384
:matt/carnival/Goal.G: 416 384
:matt/carnival/Goal.G: 736 384
:matt/carnival/Goal.G: 1056 384

:raymanni/gore/eater.T: 464 128
:amanda/forest/frog_catch.T: 144 176
:raymanni/holiday/porcupine.T: 784 128
:raymanni/gore/eater.T: 464 480
:amanda/forest/frog_catch.T: 144 528
:raymanni/holiday/porcupine.T: 784 480

:raymanni/toys/water.W: 0 92
:raymanni/toys/water.W: 0 108
:raymanni/toys/water.W: 0 124
:raymanni/toys/water.W: 0 140
:raymanni/toys/water.W: 0 156
:raymanni/toys/water.W: 0 172
:raymanni/toys/water.W: 0 188
:raymanni/toys/water.W: 0 198
:raymanni/toys/water.W: 0 314
:raymanni/toys/water.W: 0 322
:raymanni/toys/water.W: 640 92
:raymanni/toys/water.W: 640 108
:raymanni/toys/water.W: 640 124
:raymanni/toys/water.W: 640 140
:raymanni/toys/water.W: 640 156
:raymanni/toys/water.W: 640 172
:raymanni/toys/water.W: 640 198
:raymanni/toys/water.W: 640 322
:raymanni/toys/water.W: 320 92
:raymanni/toys/water.W: 320 108
:raymanni/toys/water.W: 320 124
:raymanni/toys/water.W: 320 140
:raymanni/toys/water.W: 320 156
:raymanni/toys/water.W: 320 172
:raymanni/toys/water.W: 320 198
:raymanni/toys/water.W: 320 322
:raymanni/toys/water.W: 320 182
:raymanni/toys/water.W: 320 316
:raymanni/toys/water.W: 640 316
:raymanni/toys/water.W: 640 188
:raymanni/toys/water.W: 960 92
:raymanni/toys/water.W: 960 108
:raymanni/toys/water.W: 960 124
:raymanni/toys/water.W: 960 140
:raymanni/toys/water.W: 960 156
:raymanni/toys/water.W: 960 172
:raymanni/toys/water.W: 960 198
:raymanni/toys/water.W: 960 322
:raymanni/toys/water.W: 960 316
:raymanni/toys/water.W: 960 188
:raymanni/toys/water.W: 0 214
:raymanni/toys/water.W: 0 230
:raymanni/toys/water.W: 320 230
:raymanni/toys/water.W: 320 214
:raymanni/toys/water.W: 640 214
:raymanni/toys/water.W: 640 230
:raymanni/toys/water.W: 960 214
:raymanni/toys/water.W: 960 230
:raymanni/toys/water.W: 224 96
:raymanni/toys/water.W: 256 96
:raymanni/toys/water.W: 224 320
:raymanni/toys/water.W: 256 320
:raymanni/toys/water.W: 1120 320
:raymanni/toys/water.W: 0 444
:raymanni/toys/water.W: 0 460
:raymanni/toys/water.W: 0 476
:raymanni/toys/water.W: 0 492
:raymanni/toys/water.W: 0 508
:raymanni/toys/water.W: 0 524
:raymanni/toys/water.W: 0 540
:raymanni/toys/water.W: 0 550
:raymanni/toys/water.W: 0 666
:raymanni/toys/water.W: 0 674
:raymanni/toys/water.W: 640 444
:raymanni/toys/water.W: 640 460
:raymanni/toys/water.W: 640 476
:raymanni/toys/water.W: 640 492
:raymanni/toys/water.W: 640 508
:raymanni/toys/water.W: 640 524
:raymanni/toys/water.W: 640 550
:raymanni/toys/water.W: 640 674
:raymanni/toys/water.W: 320 444
:raymanni/toys/water.W: 320 460
:raymanni/toys/water.W: 320 476
:raymanni/toys/water.W: 320 492
:raymanni/toys/water.W: 320 508
:raymanni/toys/water.W: 320 524
:raymanni/toys/water.W: 320 550
:raymanni/toys/water.W: 320 674
:raymanni/toys/water.W: 320 534
:raymanni/toys/water.W: 320 668
:raymanni/toys/water.W: 640 668
:raymanni/toys/water.W: 640 540
:raymanni/toys/water.W: 960 444
:raymanni/toys/water.W: 960 460
:raymanni/toys/water.W: 960 476
:raymanni/toys/water.W: 960 492
:raymanni/toys/water.W: 960 508
:raymanni/toys/water.W: 960 524
:raymanni/toys/water.W: 960 550
:raymanni/toys/water.W: 960 674
:raymanni/toys/water.W: 960 668
:raymanni/toys/water.W: 960 540
