$BUILT 2023-04-27 01:05:35
$AUTHOR Flopsy
$ENGLISH A SpringYard would be helpful here 4P

#INTENDED_NUMBER_OF_PLAYERS 4
#SIZE_X 2832
#SIZE_Y 1216
#TORUS_X 1
#TORUS_Y 1

#SECONDS 60
#INITIAL 60
#SPAWN_INTERVAL 31

#WALKER 50
#RUNNER 10
#BLOCKER 1
#BUILDER 40
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 50
#BATTER 40
#CUBER 10
#EXPLODER2 0

:matt/marble/Hatch.H: 1408 160
:matt/marble/Hatch.H: 1408 464
:matt/marble/Hatch.H: 1408 768
:matt/marble/Hatch.H: 1408 1072
:matt/marble/Hatch.H: 2824 144
:matt/marble/Hatch.H: 2824 448
:matt/marble/Hatch.H: 2824 752
:matt/marble/Hatch.H: 2824 1056

:matt/marble/Goal.G: 2592 176
:matt/marble/Goal.G: 2592 480
:matt/marble/Goal.G: 2592 784
:matt/marble/Goal.G: 2592 1088
:matt/marble/Goal.G: 1176 160
:matt/marble/Goal.G: 1176 464
:matt/marble/Goal.G: 1176 768
:matt/marble/Goal.G: 1176 1072

:raymanni/gore/eater.T: 536 240
:raymanni/gore/eater.T: 536 544
:amanda/forest/frog_happy.T: 696 440
:amanda/forest/frog_happy.T: 696 136
:raymanni/gore/eater.T: 536 848
:raymanni/gore/eater.T: 536 1152
:amanda/forest/frog_happy.T: 696 1048
:amanda/forest/frog_happy.T: 696 744
:raymanni/gore/eater.T: 1952 256
:raymanni/gore/eater.T: 1952 560
:amanda/forest/frog_happy.T: 2112 456
:amanda/forest/frog_happy.T: 2112 152
:raymanni/gore/eater.T: 1952 864
:raymanni/gore/eater.T: 1952 1168
:amanda/forest/frog_happy.T: 2112 1064
:amanda/forest/frog_happy.T: 2112 760

:geoo/construction/sawblade.F: 808 72
:geoo/construction/sawblade.F: 864 16
:geoo/construction/sawblade.F: 1016 144
:geoo/construction/sawblade.F: 808 376
:geoo/construction/sawblade.F: 864 320
:geoo/construction/sawblade.F: 1016 448
:geoo/construction/sawblade.F: 808 680
:geoo/construction/sawblade.F: 864 624
:geoo/construction/sawblade.F: 1016 752
:geoo/construction/sawblade.F: 808 984
:geoo/construction/sawblade.F: 864 928
:geoo/construction/sawblade.F: 1016 1056
:geoo/construction/sawblade.F: 2224 88
:geoo/construction/sawblade.F: 2280 32
:geoo/construction/sawblade.F: 2432 160
:geoo/construction/sawblade.F: 2224 392
:geoo/construction/sawblade.F: 2280 336
:geoo/construction/sawblade.F: 2432 464
:geoo/construction/sawblade.F: 2224 696
:geoo/construction/sawblade.F: 2280 640
:geoo/construction/sawblade.F: 2432 768
:geoo/construction/sawblade.F: 2224 1000
:geoo/construction/sawblade.F: 2280 944
:geoo/construction/sawblade.F: 2432 1072

:geoo/construction/spring.T: 0 256
:geoo/construction/spring.T: 456 64
:geoo/construction/spring.T: 856 208
:geoo/construction/spring.T: 856 272
:geoo/construction/spring.T: 120 128
:geoo/construction/spring.T: 0 560
:geoo/construction/spring.T: 456 368
:geoo/construction/spring.T: 856 512
:geoo/construction/spring.T: 856 576
:geoo/construction/spring.T: 120 432
:geoo/construction/spring.T: 0 864
:geoo/construction/spring.T: 456 672
:geoo/construction/spring.T: 856 816
:geoo/construction/spring.T: 856 880
:geoo/construction/spring.T: 120 736
:geoo/construction/spring.T: 0 1168
:geoo/construction/spring.T: 456 976
:geoo/construction/spring.T: 856 1120
:geoo/construction/spring.T: 856 1184
:geoo/construction/spring.T: 120 1040
:geoo/construction/spring.T: 1416 272
:geoo/construction/spring.T: 1872 80
:geoo/construction/spring.T: 2272 224
:geoo/construction/spring.T: 2272 288
:geoo/construction/spring.T: 1536 144
:geoo/construction/spring.T: 1416 576
:geoo/construction/spring.T: 1872 384
:geoo/construction/spring.T: 2272 528
:geoo/construction/spring.T: 2272 592
:geoo/construction/spring.T: 1536 448
:geoo/construction/spring.T: 1416 880
:geoo/construction/spring.T: 1872 688
:geoo/construction/spring.T: 2272 832
:geoo/construction/spring.T: 2272 896
:geoo/construction/spring.T: 1536 752
:geoo/construction/spring.T: 1416 1184
:geoo/construction/spring.T: 1872 992
:geoo/construction/spring.T: 2272 1136
:geoo/construction/spring.T: 2272 1200
:geoo/construction/spring.T: 1536 1056

:proxima/tile/red3s: 0 208
:proxima/tile/red3s: 32 240
:proxima/tile/red3s: 32 208
:proxima/tile/blue1bs: 32 208 rrd
:proxima/tile/red3s: 64 256
:proxima/tile/blue1bs: 64 256 rrd
:proxima/tile/red3s: 32 272
:proxima/tile/red1a: 64 288
:proxima/tile/red1a: 96 288
:proxima/tile/red1a: 128 288
:proxima/tile/red1a: 160 288
:geoo/construction/fence_rust_64x64: 128 224
:geoo/construction/fence_rust_64x64: 128 160
:geoo/construction/fence_rust_64x64: 192 160
:geoo/construction/fence_rust_64x64: 192 224
:geoo/construction/fence_rust_64x64: 256 160
:geoo/construction/fence_rust_64x64: 256 224
:proxima/tile/red1a: 192 288
:proxima/tile/red1a: 224 288
:proxima/tile/red1a: 256 288
:proxima/tile/red1a: 288 288
:proxima/tile/red3: 320 160
:proxima/tile/red3s: 320 128
:proxima/tile/red3s: 352 128
:proxima/tile/red3s: 320 96
:proxima/tile/blue1bs: 320 96 fd
:proxima/tile/red3s: 352 96
:proxima/tile/red3: 448 160
:proxima/tile/red3: 384 96
:proxima/tile/red3s: 448 128
:proxima/tile/red3s: 480 128
:proxima/tile/red3s: 448 96
:proxima/tile/red3s: 480 96
:proxima/tile/blue1bs: 480 96 rrd
:proxima/tile/red1a: 352 64 r
:proxima/tile/red1a: 416 64 r
:geoo/construction/fence_rust_64x64: 384 160
:proxima/tile/red3: 320 0
:proxima/tile/red3: 384 0
:proxima/tile/red3: 384 224
:geoo/construction/fence_rust_64x64: 448 224
:geoo/construction/fence_rust_64x64: 256 0
:geoo/construction/fence_rust_64x64: 192 0
:proxima/tile/red3: 128 0
:proxima/tile/red3: 64 0
:proxima/tile/red1a: 0 176 r
:proxima/tile/red1a: 0 288
:geoo/steel/dark_16x16o.S: 8 288
:geoo/steel/dark_16x16o.S: 464 96
:geoo/steel/dark_16x16o.S: 16 208
:proxima/tile/red3s: 528 224
:proxima/tile/red3s: 560 224
:proxima/tile/spheres/red: 528 104
:proxima/tile/red3s: 536 0
:proxima/tile/red3s: 568 0
:geoo/construction/fence_rust_64x64: 600 0
:geoo/construction/fence_rust_64x64: 600 64
:proxima/tile/red3: 632 64
:proxima/tile/red3s: 656 32
:proxima/tile/red3s: 656 0
:proxima/tile/red2: 632 128
:proxima/tile/red2: 632 240
:proxima/tile/red2: 696 184
:geoo/construction/fence_rust_64x64: 784 128
