$BUILT 2021-03-09 22:55:52
$AUTHOR Flopsy
$ENGLISH The Dream Flow 8P

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 896
#SIZE_Y 704
#TORUS_X 1
#TORUS_Y 1

#SECONDS 60
#INITIAL 60
#SPAWN_INTERVAL 32

#WALKER 40
#RUNNER 10
#CLIMBER 5
#FLOATER 5
#BLOCKER 1
#BUILDER 30
#PLATFORMER 15
#BASHER 25
#MINER 25
#DIGGER 15
#JUMPER 40
#BATTER 20
#CUBER 1
#EXPLODER2 0

:matt/bricks/Hatch.H: 792 160 r
:matt/bricks/Hatch.H: 120 336 r
:matt/bricks/Hatch.H: 792 512 r
:matt/bricks/Hatch.H: 120 688 r
:matt/bricks/Hatch.H: 344 512 r
:matt/bricks/Hatch.H: 568 688 r
:matt/bricks/Hatch.H: 344 160 r
:matt/bricks/Hatch.H: 568 336 r

:matt/bricks/Goal.G: 792 624
:matt/bricks/Goal.G: 568 96
:matt/bricks/Goal.G: 792 272
:matt/bricks/Goal.G: 568 448
:matt/bricks/Goal.G: 344 272
:matt/bricks/Goal.G: 120 448
:matt/bricks/Goal.G: 344 624
:matt/bricks/Goal.G: 120 96

:matt/bricks/02b: 320 208
:matt/bricks/02b: 352 208
:matt/bricks/02b: 256 240
:matt/bricks/01b: 304 240
:matt/bricks/01b: 336 240
:matt/bricks/01b: 368 240
:matt/bricks/01b: 400 240
:matt/bricks/02b: 288 208
:geoo/steel/16x16o.S: 304 208
:geoo/steel/16x16o.S: 304 224
:geoo/steel/16x16o.S: 304 240
:geoo/steel/16x16o.S: 304 256
:geoo/steel/16x16o.S: 320 256
:geoo/steel/16x16o.S: 336 256
:geoo/steel/16x16o.S: 352 256
:geoo/steel/16x16o.S: 384 256
:geoo/steel/16x16o.S: 400 256
:matt/bricks/01b: 400 208
:matt/bricks/01b: 416 224
:geoo/steel/16x16o.S: 416 256
:geoo/steel/16x16o.S: 432 208
:geoo/steel/16x16o.S: 432 224
:geoo/steel/16x16o.S: 432 240
:geoo/steel/16x16o.S: 432 256
:matt/bricks/02b: 224 208
:matt/bricks/02b: 224 240
:matt/bricks/02b: 240 288
:matt/bricks/02b: 224 304
:matt/bricks/01b: 224 336
:matt/bricks/02b: 240 320
:matt/bricks/02b: 304 320
:matt/bricks/01b: 416 336
:matt/bricks/02b: 368 320
:geoo/steel/16x16o.S: 368 320
:matt/bricks/01b: 416 320
:matt/bricks/03: 64 32
:geoo/steel/16x16o.S: 80 32
:geoo/steel/16x16o.S: 80 48
:geoo/steel/16x16o.S: 80 64
:geoo/steel/16x16o.S: 80 80
:geoo/steel/16x16o.S: 96 80
