$BUILT 2021-02-15 01:59:28
$AUTHOR Flopsy
$ENGLISH The Lix in the Middle 8P

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 2560
#SIZE_Y 448
#TORUS_X 1
#TORUS_Y 0

#SECONDS 60
#INITIAL 60
#SPAWN_INTERVAL 32

#WALKER 50
#RUNNER 10
#CLIMBER 5
#FLOATER 5
#EXPLODER2 10
#BUILDER 50
#BASHER 10
#MINER 10
#DIGGER 10
#JUMPER 50
#BATTER 30
#CUBER 5

:simon/hatch001.H: 64 32
:simon/hatch001.H: 512 32 r
:simon/hatch001.H: 704 32
:simon/hatch001.H: 1152 32 r
:simon/hatch001.H: 1344 32
:simon/hatch001.H: 1792 32 r
:simon/hatch001.H: 1984 32
:simon/hatch001.H: 2432 32 r

:proxima/tile/goal.G: 1952 368
:proxima/tile/goal.G: 2464 368
:proxima/tile/goal.G: 32 368
:proxima/tile/goal.G: 544 368
:proxima/tile/goal.G: 672 368
:proxima/tile/goal.G: 1184 368
:proxima/tile/goal.G: 1312 368
:proxima/tile/goal.G: 1824 368

:raymanni/gore/eater.T: 368 368
:raymanni/gore/eater.T: 1008 368
:raymanni/gore/eater.T: 208 368
:raymanni/gore/eater.T: 848 368
:raymanni/gore/eater.T: 1648 368
:raymanni/gore/eater.T: 1488 368
:raymanni/gore/eater.T: 2288 368
:raymanni/gore/eater.T: 2128 368

:geoo/construction/sawblade_small.F: 392 258
:geoo/construction/sawblade_small.F: 392 286
:geoo/construction/sawblade_small.F: 216 258
:geoo/construction/sawblade_small.F: 216 286
:geoo/construction/sawblade_small.F: 1032 258
:geoo/construction/sawblade_small.F: 1032 286
:geoo/construction/sawblade_small.F: 856 258
:geoo/construction/sawblade_small.F: 856 286
:simon/acid.W: 296 416
:simon/acid.W: 936 416
:geoo/construction/sawblade_small.F: 1672 258
:geoo/construction/sawblade_small.F: 1672 286
:geoo/construction/sawblade_small.F: 1496 258
:geoo/construction/sawblade_small.F: 1496 286
:simon/acid.W: 1576 416
:geoo/construction/sawblade_small.F: 2312 258
:geoo/construction/sawblade_small.F: 2312 286
:geoo/construction/sawblade_small.F: 2136 258
:geoo/construction/sawblade_small.F: 2136 286
:simon/acid.W: 2216 416
:geoo/construction/sawblade_small.F: 1336 258
:geoo/construction/sawblade_small.F: 1336 286
:geoo/construction/sawblade_small.F: 1192 258
:geoo/construction/sawblade_small.F: 1192 286
:geoo/construction/sawblade_small.F: 696 258
:geoo/construction/sawblade_small.F: 696 286
:geoo/construction/sawblade_small.F: 552 258
:geoo/construction/sawblade_small.F: 552 286
:geoo/construction/sawblade_small.F: 56 258
:geoo/construction/sawblade_small.F: 56 286
:geoo/construction/sawblade_small.F: 2472 258
:geoo/construction/sawblade_small.F: 2472 286
:geoo/construction/sawblade_small.F: 1976 258
:geoo/construction/sawblade_small.F: 1976 286
:geoo/construction/sawblade_small.F: 1832 258
:geoo/construction/sawblade_small.F: 1832 286

:proxima/tile/blue1s: 32 64
:proxima/tile/blue1s: 2 64
:proxima/tile/blue1s: 2 32
:proxima/tile/blue1s: 32 96
:proxima/tile/blue1s: 64 96
:proxima/tile/blue1s: 96 96
:proxima/tile/blue1s: 128 96
:proxima/tile/blue1s: 160 96
:proxima/tile/blue1s: 160 64
:proxima/tile/blue1s: 192 128
:proxima/tile/blue1s: 224 96
:proxima/tile/blue1s: 224 64
:proxima/tile/blue1s: 224 32
:proxima/tile/blue1s: 256 64
:proxima/tile/green1s: 352 64
:proxima/tile/green1s: 384 32
:proxima/tile/green1s: 384 64
:proxima/tile/green1s: 384 96
:proxima/tile/green1s: 416 128
:proxima/tile/green1s: 448 96
:proxima/tile/green1s: 512 96
:proxima/tile/green1s: 544 96
:proxima/tile/green1s: 576 96
:proxima/tile/green1s: 576 64
:proxima/tile/green1s: 606 64
:proxima/tile/green1s: 606 32
:proxima/tile/green1s: 336 128
:proxima/tile/green1s: 352 128
:proxima/tile/green1s: 336 32
:proxima/tile/blue1s: 272 32
:proxima/tile/blue1s: 272 128
:proxima/tile/blue1s: 256 128
:geoo/steel/dark_32x32o.S: 64 96
:geoo/steel/dark_32x32o.S: 96 96
:geoo/steel/dark_32x32o.S: 512 96
:geoo/steel/dark_32x32o.S: 544 96
:proxima/tile/green1s: 448 64
:proxima/tile/green1s: 480 96
:proxima/tile/pink2s: 0 416
:proxima/tile/pink2s: 0 384
:proxima/tile/pink2s: 0 352
:proxima/tile/pink1a: 32 432
:proxima/tile/pink1a: 64 432
:proxima/tile/pink1a: 96 432
:proxima/tile/pink1a: 32 352
:proxima/tile/pink1a: 64 352
:proxima/tile/pink1a: 96 352
:proxima/tile/pink1a: 128 432
:proxima/tile/pink2s: 160 352
:proxima/tile/pink2s: 160 384
:proxima/tile/pink2s: 160 416
:proxima/tile/pink1a: 192 432
:proxima/tile/pink1a: 224 432
:proxima/tile/pink1a: 256 432
:proxima/tile/pink2s: 276 416
:proxima/tile/pink2s: 276 384
:proxima/tile/pink2s: 276 352
:geoo/steel/dark_32x32o.S: 276 384
:proxima/tile/pink1a: 128 352
:geoo/steel/dark_32x32o.S: 0 352
:geoo/steel/dark_32x32o.S: 0 384
:geoo/steel/dark_32x32o.S: 0 416
:proxima/tile/pink1a: 192 352
:proxima/tile/pink1a: 224 352
:proxima/tile/pink1a: 256 352
:proxima/tile/pink2s: 608 416 frr
:proxima/tile/pink2s: 608 384 frr
:proxima/tile/pink2s: 608 352 frr
:proxima/tile/pink1a: 576 432 frr
:proxima/tile/pink1a: 544 432 frr
:proxima/tile/pink1a: 512 432 frr
:proxima/tile/pink1a: 576 352 frr
:proxima/tile/pink1a: 544 352 frr
:proxima/tile/pink1a: 512 352 frr
:proxima/tile/pink1a: 480 432 frr
:proxima/tile/pink2s: 448 352 frr
:proxima/tile/pink2s: 448 384 frr
:proxima/tile/pink2s: 448 416 frr
:proxima/tile/pink1a: 416 432 frr
:proxima/tile/pink1a: 384 432 frr
:proxima/tile/pink2s: 332 416 frr
:proxima/tile/pink2s: 332 384 frr
:proxima/tile/pink2s: 332 352 frr
:geoo/steel/dark_32x32o.S: 332 384 frr
:proxima/tile/pink1a: 480 352 frr
:geoo/steel/dark_32x32o.S: 608 352 frr
:geoo/steel/dark_32x32o.S: 608 384 frr
:geoo/steel/dark_32x32o.S: 608 416 frr
