$BUILT 2022-05-12 17:29:34
$AUTHOR Kingshadow
$ENGLISH The Ascending Lix Scenario 8P

#INTENDED_NUMBER_OF_PLAYERS 8
#SIZE_X 2304
#SIZE_Y 384
#TORUS_X 1
#TORUS_Y 1

#SECONDS 120
#INITIAL 50
#SPAWN_INTERVAL 40

#WALKER 20
#RUNNER 5
#CLIMBER 10
#FLOATER 10
#EXPLODER2 2
#BLOCKER 1
#BUILDER 50
#PLATFORMER 20
#BASHER 20
#MINER 20
#DIGGER 10
#JUMPER 50
#BATTER 5
#CUBER 5

:geoo/sandstone/Hatch.H: 2108 252
:geoo/sandstone/Hatch.H: 96 304
:geoo/sandstone/Hatch.H: 384 352
:geoo/sandstone/Hatch.H: 672 16
:geoo/sandstone/Hatch.H: 960 64
:geoo/sandstone/Hatch.H: 1248 112
:geoo/sandstone/Hatch.H: 1536 160
:geoo/sandstone/Hatch.H: 1824 208

:geoo/sandstone/Goal.G: 1504 288
:geoo/sandstone/Goal.G: 1792 336
:geoo/sandstone/Goal.G: 2080 0
:geoo/sandstone/Goal.G: 64 48
:geoo/sandstone/Goal.G: 352 96
:geoo/sandstone/Goal.G: 640 144
:geoo/sandstone/Goal.G: 928 192
:geoo/sandstone/Goal.G: 1216 240

:simon/water.W: 1680 376
:simon/water.W: 1728 376
:simon/water.W: 1872 24
:simon/water.W: 1920 24
:simon/water.W: 1968 40
:simon/water.W: 2016 40
:simon/water.W: 2160 72
:simon/water.W: 2208 72
:simon/water.W: 2256 88
:simon/water.W: 0 88
:simon/water.W: 144 120
:simon/water.W: 192 120
:simon/water.W: 240 136
:simon/water.W: 288 136
:simon/water.W: 432 168
:simon/water.W: 480 168
:simon/water.W: 528 184
:simon/water.W: 576 184
:simon/water.W: 720 216
:simon/water.W: 768 216
:simon/water.W: 816 232
:simon/water.W: 864 232
:simon/water.W: 1584 360
:simon/water.W: 1632 360
:simon/water_thin.W: 1488 352
:simon/water_thin.W: 1536 352
:simon/water_thin.W: 1776 16
:simon/water_thin.W: 1824 16
:simon/water_thin.W: 2064 64
:simon/water_thin.W: 2112 64
:simon/water_thin.W: 48 112
:simon/water_thin.W: 96 112
:simon/water_thin.W: 336 160
:simon/water_thin.W: 384 160
:simon/water_thin.W: 624 208
:simon/water_thin.W: 672 208
:simon/water.W: 1008 264
:simon/water.W: 1056 264
:simon/water.W: 1104 280
:simon/water.W: 1152 280
:simon/water.W: 1296 312
:simon/water.W: 1344 312
:simon/water.W: 1392 328
:simon/water.W: 1440 328
:simon/water_thin.W: 912 256
:simon/water_thin.W: 960 256
:simon/water_thin.W: 1200 304
