$BUILT 2014-06-06 11:02:21
$AUTHOR Rubix
#INTENDED_NUMBER_OF_PLAYERS 8
$ENGLISH Infinitus (8p)

#SIZE_X 2560
#SIZE_Y 1280
#TORUS_X 1
#TORUS_Y 1
#START_X 320
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 70
#INITIAL 140
#REQUIRED 70
#SPAWN_INTERVAL 28
#SPAWN_INTERVAL_FAST 4

#WALKER -1
#JUMPER -1
#NOTHING 0
#BUILDER -1
#PLATFORMER -1
#NOTHING 0
#MINER -1
#NOTHING 0
#BATTER -1
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 0 0
:matt/marble/Hatch.H: 2496 0 r
:matt/marble/Hatch.H: 1278 -2
:matt/marble/Hatch.H: 1214 -2 r
:matt/marble/Hatch.H: 0 640
:matt/marble/Hatch.H: 2496 640 r
:matt/marble/Hatch.H: 1278 638
:matt/marble/Hatch.H: 1214 638 r

:matt/marble/Goal.G: 1152 496
:matt/marble/Goal.G: 1344 496
:matt/marble/Goal.G: 2432 496
:matt/marble/Goal.G: 64 496
:matt/marble/Goal.G: 1152 1136
:matt/marble/Goal.G: 1344 1136
:matt/marble/Goal.G: 2432 1136
:matt/marble/Goal.G: 64 1136

:matt/marble/04e_1: 880 128
:matt/marble/23d: 1248 608
:matt/marble/23d: 1216 608
:matt/marble/23d: 1184 176
:matt/marble/18a: 1168 208 f
:matt/marble/18a: 1168 400 f
:matt/marble/18a: 48 400
:matt/marble/18a: 48 208
:matt/marble/09d: 800 128
:matt/marble/09d: 736 128
:matt/marble/09d: 480 128
:matt/marble/09d: 416 128
:matt/marble/09d: 800 528
:matt/marble/19d: 704 512
:matt/marble/09d: 736 528
:matt/marble/09d: 480 528
:matt/marble/09d: 416 528
:matt/marble/18d: 496 304
:matt/marble/09d: 800 320
:matt/marble/09d: 736 320
:matt/marble/09d: 480 320
:matt/marble/09d: 416 320
:matt/marble/18d: 464 272
:matt/marble/18d: 432 240
:matt/marble/19d: 736 480
:matt/marble/19d: 768 448
:matt/marble/19d: 800 416
:matt/marble/09a: 544 128
:matt/marble/09a: 608 128
:matt/marble/09a: 672 128
:matt/marble/09a: 544 320
:matt/marble/09a: 608 320
:matt/marble/09a: 672 320
:matt/marble/09a: 544 528
:matt/marble/09a: 608 528
:matt/marble/09a: 672 528
:matt/marble/09a: 352 256
:matt/marble/09a: 352 384
:matt/marble/09a: 864 128
:matt/marble/09a: 864 192
:matt/marble/09a: 864 256
:matt/marble/09a: 352 448
:matt/marble/09a: 352 512
:matt/marble/09a: 864 448
:matt/marble/09a: 864 512
:matt/marble/09a: 352 320
:matt/marble/09a: 864 320
:matt/marble/19d: 832 384
:matt/marble/09a: 864 384
:matt/marble/18d: 400 208
:matt/marble/18d: 368 176
:matt/marble/09a: 352 192
:matt/marble/09a: 352 128
:matt/marble/17d: 64 416 rrr
:matt/marble/17d: 64 224 rrr
:matt/marble/17d: 1184 416
:matt/marble/17d: 1184 224
:matt/marble/23e: 384 64
:matt/marble/23e: 352 64
:matt/marble/23e: 320 64
:matt/marble/23e: 288 64
:matt/marble/23e: 320 96
:matt/marble/23e: 288 96
:matt/marble/23e: 384 96
:matt/marble/23e: 352 96
:matt/marble/23e: 320 128
:matt/marble/23e: 288 128
:matt/marble/23e: 320 160
:matt/marble/23e: 288 160
:matt/marble/23e: 320 192
:matt/marble/23e: 288 192
:matt/marble/23e: 320 224
:matt/marble/23e: 288 224
:matt/marble/23e: 320 256
:matt/marble/23e: 288 256
:matt/marble/23e: 320 288
:matt/marble/23e: 288 288
:matt/marble/23e: 320 320
:matt/marble/23e: 288 320
:matt/marble/23e: 320 352
:matt/marble/23e: 288 352
:matt/marble/23e: 320 384
:matt/marble/23e: 288 384
:matt/marble/23e: 320 416
:matt/marble/23e: 288 416
:matt/marble/23e: 320 448
:matt/marble/23e: 288 448
:matt/marble/23e: 320 480
:matt/marble/23e: 288 480
:matt/marble/23e: 320 512
:matt/marble/23e: 288 512
:matt/marble/23e: 320 544
:matt/marble/23e: 288 544
:matt/marble/23e: 320 576
:matt/marble/23e: 288 576
:matt/marble/23e: 320 608
:matt/marble/23e: 288 608
:matt/marble/23e: 384 576
:matt/marble/23e: 352 576
:matt/marble/23e: 384 608
:matt/marble/23e: 352 608
:matt/marble/23d: 224 176
:matt/marble/23d: 192 176
:matt/marble/23d: 160 176
:matt/marble/23d: 128 176
:matt/marble/23d: 96 176
:matt/marble/23d: 64 176
:matt/marble/23d: 32 160
:matt/marble/23d: 0 160
:matt/marble/23d: 32 192
:matt/marble/23d: 0 192
:matt/marble/23d: 32 96
:matt/marble/23d: 0 96
:matt/marble/23d: 32 128
:matt/marble/23d: 0 128
:matt/marble/23d: 32 64
:matt/marble/23d: 0 64
:matt/marble/23d: 32 320
:matt/marble/23d: 0 320
:matt/marble/23d: 32 256
:matt/marble/23d: 0 256
:matt/marble/23d: 32 288
:matt/marble/23d: 0 288
:matt/marble/23d: 32 224
:matt/marble/23d: 0 224
:matt/marble/23d: 224 368
:matt/marble/23d: 192 368
:matt/marble/23d: 160 368
:matt/marble/23d: 128 368
:matt/marble/23d: 96 368
:matt/marble/23d: 64 368
:matt/marble/23d: 32 352
:matt/marble/23d: 0 352
:matt/marble/23d: 32 384
:matt/marble/23d: 0 384
:matt/marble/23d: 32 448
:matt/marble/23d: 0 448
:matt/marble/23d: 32 416
:matt/marble/23d: 0 416
:matt/marble/23d: 32 480
:matt/marble/23d: 0 480
:matt/marble/23d: 32 512
:matt/marble/23d: 0 512
:matt/marble/23d: 224 560
:matt/marble/23d: 192 560
:matt/marble/23d: 160 560
:matt/marble/23d: 128 560
:matt/marble/23d: 96 560
:matt/marble/23d: 64 560
:matt/marble/23d: 32 544
:matt/marble/23d: 0 544
:matt/marble/23d: 32 576
:matt/marble/23d: 0 576
:matt/marble/23d: 32 608
:matt/marble/23d: 0 608
:matt/marble/23d: 1152 176
:matt/marble/23d: 1120 176
:matt/marble/23d: 1088 176
:matt/marble/23d: 1056 176
:matt/marble/23d: 1024 176
:matt/marble/23d: 1184 368
:matt/marble/23d: 1152 368
:matt/marble/23d: 1120 368
:matt/marble/23d: 1088 368
:matt/marble/23d: 1056 368
:matt/marble/23d: 1024 368
:matt/marble/23d: 1184 560
:matt/marble/23d: 1152 560
:matt/marble/23d: 1120 560
