$BUILT 2013-01-06 13:43:10
$AUTHOR Insane Steve
#INTENDED_NUMBER_OF_PLAYERS 8
$ENGLISH Diagonal (part 2) (no diggers)

#SIZE_X 896
#SIZE_Y 896
#TORUS_X 1
#TORUS_Y 1
#START_X 112
#START_Y 108
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 60
#INITIAL 90
#REQUIRED 20
#SPAWN_INTERVAL 24
#SPAWN_INTERVAL_FAST 4

#WALKER 50
#EXPLODER2 10
#NOTHING 0
#PLATFORMER 50
#BUILDER 50
#BASHER 30
#MINER 50
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 160 112
:matt/marble/Hatch.H: 384 336
:matt/marble/Hatch.H: 608 112
:matt/marble/Hatch.H: 832 336
:matt/marble/Hatch.H: 160 560
:matt/marble/Hatch.H: 384 784
:matt/marble/Hatch.H: 608 560
:matt/marble/Hatch.H: 832 784

:matt/marble/Goal.G: 608 32
:matt/marble/Goal.G: 832 256
:matt/marble/Goal.G: 160 32
:matt/marble/Goal.G: 384 256
:matt/marble/Goal.G: 608 480
:matt/marble/Goal.G: 832 704
:matt/marble/Goal.G: 160 480
:matt/marble/Goal.G: 384 704

:matt/marble/16a: 320 352
:matt/marble/01e_2: 288 432
:matt/marble/16a: 352 384
:matt/marble/01e_2: 368 432
:matt/marble/17a: 352 416
:matt/marble/16a: 384 416
:matt/marble/01e_2: 304 432
:matt/marble/01e_2: 320 432
:matt/marble/01e_2: 336 432
:matt/marble/01e_2: 352 432
:matt/marble/23e: 416 160
:matt/marble/01e_2: 416 48
:matt/marble/14a: 416 32
:matt/marble/23e: 416 64
:matt/marble/15a: 416 64
:matt/marble/23e: 416 192
:matt/marble/14a: 384 64
:matt/marble/23e: 352 128
:matt/marble/17a: 256 96
:matt/marble/23e: 384 160
:matt/marble/23e: 384 192
:matt/marble/01e_2: 304 112
:matt/marble/16a: 288 96
:matt/marble/17a: 288 128
:matt/marble/23e: 384 96
:matt/marble/23e: 416 224
:matt/marble/16a: 320 128
:matt/marble/17a: 320 160
:matt/marble/15a: 384 96
:matt/marble/23e: 352 160
:matt/marble/16a: 352 160
:matt/marble/23e: 384 128
:matt/marble/23e: 416 96
:matt/marble/23e: 416 128
:matt/marble/16a: 0 32
:matt/marble/23e: 0 64
:matt/marble/17a: 0 64
:matt/marble/16a: 32 64
