$BUILT 2015-09-06 17:45:21
$AUTHOR Clam
$GERMAN 
$ENGLISH Lazy Gypsy Bums

#SIZE_X 928
#SIZE_Y 608
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 200
#REQUIRED 195
#SPAWN_INTERVAL 12
#SPAWN_INTERVAL_FAST 4

#EXPLODER2 4
#BLOCKER 5
#BATTER 99

:matt/carnival/Hatch.H: 352 48
:matt/carnival/Hatch.H: 480 -16

:matt/carnival/Goal.G: 480 176

:geoo/construction/sawblade_small.F: 24 336
:geoo/construction/sawblade_small.F: 40 336
:geoo/construction/sawblade_small.F: 56 336
:geoo/construction/sawblade_small.F: 72 336

:geoo/abstract/tbeam_down.T: 480 160
:geoo/abstract/tbeam_down.T: 512 160

:geoo/construction/rod_steel/straight8.S: 502 136
:geoo/construction/rod_steel/straight32.S: 408 152
:geoo/construction/rod_steel/edge_ru.S: 500 136
:geoo/construction/rod_steel/end_rect.S: 192 152
:geoo/construction/rod_steel/straight32.S: 376 152
:geoo/construction/rod_steel/straight32.S: 344 152
:matt/carnival/02: 720 176
:matt/carnival/02: 544 176
:matt/carnival/02: 544 144
:matt/carnival/02: 656 208
:matt/carnival/02: 752 208
:geoo/construction/rod_steel/straight32.S: 328 152
:matt/carnival/45: 752 144
:matt/carnival/02: 752 176
:matt/carnival/02: 688 176
:matt/carnival/46: 816 112
:matt/carnival/46: 848 144
:matt/carnival/02: 864 352
:matt/carnival/02: 896 320
:matt/carnival/02: 896 288
:matt/carnival/02: 896 256
:matt/carnival/02: 784 176
:matt/carnival/02: 784 208
:matt/carnival/02: 800 352
:matt/carnival/02: 832 352
:matt/carnival/46: 640 416
:matt/carnival/45: 640 384
:matt/carnival/14: 654 352
:matt/carnival/14: 672 352
:matt/carnival/14: 656 368
:matt/carnival/14: 640 368
:matt/carnival/14: 672 368
:matt/carnival/02: 672 384
:matt/carnival/14: 640 352
:matt/carnival/14: 624 352
:matt/carnival/14: 688 368
:matt/carnival/46: 688 464
:matt/carnival/02: 656 464
:matt/carnival/14: 672 448
:matt/carnival/14: 656 448
:matt/carnival/14: 688 448
:matt/carnival/14: 704 448
:matt/carnival/14: 672 432
:matt/carnival/14: 690 432
:matt/carnival/14: 704 432
:matt/carnival/45: 688 336
:matt/carnival/45: 640 544
:matt/carnival/14: 654 512
:matt/carnival/14: 672 512
:matt/carnival/14: 656 528
:matt/carnival/14: 640 528
:matt/carnival/14: 672 528
:matt/carnival/02: 672 544
:matt/carnival/14: 640 512
:matt/carnival/14: 688 528
:matt/carnival/46: 688 304
:matt/carnival/45: 688 496
:matt/carnival/02: 592 384
:matt/carnival/02: 736 480
:matt/carnival/02: 608 576
:matt/carnival/02: 640 576
:matt/carnival/02: 720 272
:matt/carnival/02: 448 176
:matt/carnival/46: 416 336
:matt/carnival/45: 480 240
:matt/carnival/46: 416 272
:matt/carnival/02: 384 304
:matt/carnival/45: 448 272
:matt/carnival/45: 416 304
:matt/carnival/02: 448 352
:matt/carnival/02: 480 352
:matt/carnival/02: 512 352
:matt/carnival/45: 624 208
:matt/carnival/46: 624 240
:matt/carnival/02: 544 352
:matt/carnival/43: 480 272
:matt/carnival/43: 448 304
:matt/carnival/02: 720 240
:matt/carnival/02: 720 336
:matt/carnival/02: 704 368
:matt/carnival/02: 736 448
:matt/carnival/02: 800 416
:matt/carnival/02: 800 384
:matt/carnival/02: 896 224
:matt/carnival/02: 608 512
:matt/carnival/02: 544 512
:matt/carnival/02: 592 416
:matt/carnival/02: 512 512
:matt/carnival/02: 512 480
:matt/carnival/02: 512 448
:matt/carnival/02: 624 464
:matt/carnival/02: 512 416
:matt/carnival/02: 480 416
:matt/carnival/02: 384 336
:matt/carnival/02: 416 368
:matt/carnival/02: 384 368
:matt/carnival/02: 448 416
:matt/carnival/02: 416 416
:matt/carnival/02: 384 416
:matt/carnival/02: 352 416
:matt/carnival/02: 320 416
:matt/carnival/45: 384 272
:matt/carnival/02: 736 512
:matt/carnival/02: 704 544
:matt/carnival/14: 32 304
:matt/carnival/14: 48 304
:matt/carnival/14: 64 304
:matt/carnival/14: 80 304
:matt/carnival/14: 96 304
:matt/carnival/14: 112 304
:matt/carnival/14: 114 288
:matt/carnival/46: 160 288
:matt/carnival/02: 128 288
:matt/carnival/46: 160 352
:matt/carnival/46: 192 384
:matt/carnival/45: 160 320
:matt/carnival/02: 192 272
:matt/carnival/02: 224 416
:matt/carnival/02: 192 304
:matt/carnival/02: 128 320
:matt/carnival/02: 128 352
:matt/carnival/02: 128 384
:matt/carnival/02: 160 384
:matt/carnival/02: 128 416
:matt/carnival/02: 160 416
:matt/carnival/02: 192 416
:matt/carnival/02: 0 272
:matt/carnival/02: 0 240
:matt/carnival/02: 0 208
:matt/carnival/02: 0 384
:matt/carnival/02: 96 384
:matt/carnival/02: 0 416
:matt/carnival/02: 0 448
:matt/carnival/02: 288 576
:matt/carnival/02: 320 576
:matt/carnival/02: 352 576
:matt/carnival/02: 384 576
:matt/carnival/02: 416 576
:matt/carnival/02: 448 576
:matt/carnival/02: 480 576
:matt/carnival/02: 512 576
:matt/carnival/02: 544 576
:matt/carnival/32: 320 480
:matt/carnival/32: 384 512
:matt/carnival/32: 448 544
:matt/carnival/02: 64 576
:matt/carnival/02: 96 576
:matt/carnival/02: 128 576
:matt/carnival/02: 160 576
:matt/carnival/02: 192 576
:matt/carnival/02: 224 576
:matt/carnival/02: 256 576
:matt/carnival/02: 0 480
:matt/carnival/02: 0 512
:matt/carnival/02: 0 576
:matt/carnival/14: 16 304
:matt/carnival/14: 0 304
:matt/carnival/02: 32 576
:matt/carnival/02: 64 480
:matt/carnival/02: 32 480
:matt/carnival/02: 128 480
:matt/carnival/02: 96 480
:matt/carnival/02: 192 480
:matt/carnival/02: 160 480
:matt/carnival/02: 224 480
:matt/carnival/02: 288 480
:matt/carnival/02: 256 480
:matt/carnival/02: 0 544
:matt/carnival/02: 352 512
:matt/carnival/02: 416 544
:matt/carnival/02: 384 544
:matt/carnival/02: 352 544
:matt/carnival/02: 624 272
:matt/carnival/02: 576 352
:matt/carnival/02: 576 512
:matt/carnival/02: 576 576
:matt/carnival/02: 672 576
:matt/carnival/02: 0 176
:matt/carnival/02: 32 176
:matt/carnival/02: 32 208
:matt/carnival/33: 512 240
:matt/carnival/46: 512 240
