$BUILT 2014-06-08 16:22:30
$AUTHOR Clam
$GERMAN 
$ENGLISH Another Pick in the Wall

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 60
#REQUIRED 59
#SPAWN_INTERVAL 25
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#CLIMBER 1
#EXPLODER2 1
#MINER 3
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/bricks/Hatch.H: 192 160
:geoo/abstract/hatch.H: 416 240
:geoo/abstract/hatch.H: 560 240

:matt/bricks/Goal.G: 96 96

:geoo/abstract/tbeam_left.T: 560 240
:geoo/abstract/tbeam_left.T: 560 240
:geoo/abstract/tbeam_down.T: 560 240
:geoo/abstract/tbeam_left.T: 560 240

:matt/bricks/03b: 320 240
:matt/bricks/03b: 256 240
:matt/bricks/03b: 576 240
:matt/bricks/03b: 512 240
:matt/bricks/12b: 560 240 d
:matt/bricks/03b: 64 240
:matt/bricks/03b: 128 240
:matt/bricks/03b: 192 240
:matt/bricks/03b: 0 240
:matt/bricks/03b: 352 240
:matt/bricks/03b: 480 240
:matt/bricks/02b: 416 208
:matt/bricks/03b: 256 304
:matt/bricks/03b: 64 304
:matt/bricks/03b: 128 304
:matt/bricks/03b: 192 304
:matt/bricks/03b: 0 304
:matt/bricks/03b: 576 304
:matt/bricks/03b: 384 304
:matt/bricks/03b: 448 304
:matt/bricks/03b: 512 304
:matt/bricks/03b: 320 304
:matt/bricks/02b: 544 208
:matt/bricks/02b: 608 208
:matt/bricks/02b: 352 208
:matt/bricks/02b: 288 208
:matt/bricks/02b: 224 208
:matt/bricks/02b: 160 208
:matt/bricks/02b: 96 208
:matt/bricks/02b: 32 208
:matt/bricks/02b: -32 208
:matt/bricks/02b: 480 208
:matt/bricks/03b: 256 336
:matt/bricks/03b: 64 336
:matt/bricks/03b: 128 336
:matt/bricks/03b: 192 336
:matt/bricks/03b: 0 336
:matt/bricks/03b: 576 336
:matt/bricks/03b: 384 336
:matt/bricks/03b: 448 336
:matt/bricks/03b: 512 336
:matt/bricks/03b: 320 336
:matt/bricks/01: 240 208
:matt/bricks/01a: 368 208
:matt/bricks/01: 304 240
:matt/bricks/01: 368 272
:matt/bricks/03b: 416 240
:matt/bricks/01a: 432 240
:matt/bricks/12b: 416 240 d
:matt/bricks/01a: 496 272
:matt/bricks/01: 432 304
:matt/bricks/01: 496 336
:matt/bricks/01: 560 368
:matt/bricks/01a: 560 304
:matt/bricks/01a: 624 336
:matt/bricks/01a: 112 208
:matt/bricks/01: -16 208
:matt/bricks/01a: 176 240
:matt/bricks/01: 48 240
:matt/bricks/01a: 240 272
:matt/bricks/01: 112 272
:matt/bricks/01a: 304 304
:matt/bricks/01: 176 304
:matt/bricks/01a: 368 336
:matt/bricks/01: 240 336
:matt/bricks/01a: 432 368
:matt/bricks/01: 304 368
:matt/bricks/01: 624 272
:matt/bricks/01a: 624 208
:matt/bricks/01a: -16 272
:matt/bricks/01a: 48 304
:matt/bricks/01a: 112 336
:matt/bricks/01a: 176 368
:matt/bricks/01: -16 336
:matt/bricks/01: 48 368
:matt/bricks/10b: 160 144
:matt/bricks/08b: 176 96
:matt/bricks/03b: 96 144
:matt/bricks/11b: 192 144
:matt/bricks/09b: 224 144
:matt/bricks/08b: 160 176
:matt/bricks/10b: 176 128
:matt/bricks/02b: 224 112
:matt/bricks/08b: 288 112
:matt/bricks/07b: 32 144
:matt/bricks/01b: 208 112
:matt/bricks/01b: 192 128
:matt/bricks/02b: 144 80 d
:matt/bricks/01a: 48 176
:matt/bricks/11b: 31 176 d
:matt/bricks/01: 112 144
:matt/bricks/02b: 256 144
:matt/bricks/01a: 240 144
:matt/bricks/01a: 176 112
:matt/bricks/11b: 175 128 d
:matt/bricks/09b: 176 95 d
:matt/bricks/01b: 144 112
:matt/bricks/08b: 128 96 d
:matt/bricks/02b: 288 176
:matt/bricks/04b: 320 144
:matt/bricks/01a: 304 176
:matt/bricks/10b: 256 176
:geoo/steel/32x16o.S: 336 208
:geoo/steel/32x16o.S: 496 208
