$BUILT 2015-08-07 07:28:56
$AUTHOR Clam
$GERMAN 
$ENGLISH Big & Small

#SIZE_X 640
#SIZE_Y 608
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 40
#REQUIRED 20
#SPAWN_INTERVAL 45
#SPAWN_INTERVAL_FAST 4

#WALKER 10
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 10
#BLOCKER 10
#BUILDER 10
#PLATFORMER 10
#BASHER 10
#MINER 10
#DIGGER 10
#JUMPER 10
#BATTER 10
#CUBER 10

:geoo/construction/Hatch.H: 176 80

:geoo/construction/Goal2.G: 160 480

:geoo/construction/concrete/064h: 384 208
:geoo/construction/concrete/064h: 128 0
:geoo/construction/concrete/064h: 128 416
:geoo/construction/concrete/064h: 128 544
:geoo/construction/concrete/032b: 256 416
:geoo/construction/concrete/032b: 288 448
:geoo/construction/concrete/032: 256 448
:geoo/construction/concrete/032d: 288 544
:geoo/construction/concrete/032d: 256 576
:geoo/construction/concrete/032: 256 544
:geoo/construction/concrete/032a: 96 416
:geoo/construction/concrete/032a: 64 448
:geoo/construction/concrete/032c: 64 544
:geoo/construction/concrete/032c: 96 576
:geoo/construction/concrete/032: 96 544
:geoo/construction/concrete/032: 96 448
:geoo/construction/concrete/064: 64 480
:geoo/construction/concrete/064: 256 480
:geoo/construction/concrete/064h: 384 336
:geoo/construction/concrete/032b: 512 208
:geoo/construction/concrete/032b: 544 240
:geoo/construction/concrete/032: 512 240
:geoo/construction/concrete/032d: 544 336
:geoo/construction/concrete/032d: 512 368
:geoo/construction/concrete/032: 512 336
:geoo/construction/concrete/032a: 352 208
:geoo/construction/concrete/032a: 320 240
:geoo/construction/concrete/032c: 320 336
:geoo/construction/concrete/032c: 352 368
:geoo/construction/concrete/032: 352 336
:geoo/construction/concrete/032: 352 240
:geoo/construction/concrete/064: 320 272
:geoo/construction/concrete/064: 512 272
:geoo/construction/concrete/064h: 128 128
:geoo/construction/concrete/032b: 256 0
:geoo/construction/concrete/032b: 288 32
:geoo/construction/concrete/032: 256 32
:geoo/construction/concrete/032d: 288 128
:geoo/construction/concrete/032d: 256 160
:geoo/construction/concrete/032: 256 128
:geoo/construction/concrete/032a: 96 0
:geoo/construction/concrete/032a: 64 32
:geoo/construction/concrete/032c: 64 128
:geoo/construction/concrete/032c: 96 160
:geoo/construction/concrete/032: 96 128
:geoo/construction/concrete/032: 96 32
:geoo/construction/concrete/064: 64 64
:geoo/construction/concrete/064: 256 64
:geoo/construction/wall/small_diag_bu: 480 128
:geoo/construction/wall/small_diag_bu: 496 112
:geoo/construction/wall/big_square: 480 80
:geoo/construction/wall/small_diag_tu: 480 48
:geoo/construction/wall/small_diag_tu: 496 64
:geoo/construction/wall/big_brick2: 416 112
:geoo/construction/wall/big_brick1: 416 48
:geoo/construction/wall/big_square: 384 80
:geoo/construction/wall/small_diag_td: 400 48
:geoo/construction/wall/small_diag_td: 384 64
:geoo/construction/wall/small_diag_bd: 400 128
:geoo/construction/wall/small_diag_bd: 384 112
:geoo/construction/wall/small_square: 400 64
:geoo/construction/wall/small_square: 400 112
:geoo/construction/wall/small_square: 480 112
:geoo/construction/wall/small_square: 480 64
:geoo/construction/wall/small_diag_bu: 224 336
:geoo/construction/wall/small_diag_bu: 240 320
:geoo/construction/wall/big_square: 224 288
:geoo/construction/wall/small_diag_tu: 224 256
:geoo/construction/wall/small_diag_tu: 240 272
:geoo/construction/wall/big_brick2: 160 320
:geoo/construction/wall/big_brick1: 160 256
:geoo/construction/wall/big_square: 128 288
:geoo/construction/wall/small_diag_td: 144 256
:geoo/construction/wall/small_diag_td: 128 272
:geoo/construction/wall/small_diag_bd: 144 336
:geoo/construction/wall/small_diag_bd: 128 320
:geoo/construction/wall/small_square: 144 272
:geoo/construction/wall/small_square: 144 320
:geoo/construction/wall/small_square: 224 320
:geoo/construction/wall/small_square: 224 272
:geoo/construction/wall/small_diag_bu: 480 544
:geoo/construction/wall/small_diag_bu: 496 528
:geoo/construction/wall/big_square: 480 496
:geoo/construction/wall/small_diag_tu: 480 464
:geoo/construction/wall/small_diag_tu: 496 480
:geoo/construction/wall/big_brick2: 416 528
:geoo/construction/wall/big_brick1: 416 464
:geoo/construction/wall/big_square: 384 496
:geoo/construction/wall/small_diag_td: 400 464
:geoo/construction/wall/small_diag_td: 384 480
:geoo/construction/wall/small_diag_bd: 400 544
:geoo/construction/wall/small_diag_bd: 384 528
:geoo/construction/wall/small_square: 400 480
:geoo/construction/wall/small_square: 400 528
:geoo/construction/wall/small_square: 480 528
:geoo/construction/wall/small_square: 480 480
