$BUILT 2015-08-08 23:12:15
$AUTHOR Clam
$GERMAN 
$ENGLISH The Dugout

#SIZE_X 640
#SIZE_Y 704
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 30
#REQUIRED 30
#SPAWN_INTERVAL 41
#SPAWN_INTERVAL_FAST 41

#RUNNER 6
#CLIMBER 5
#FLOATER 5
#DIGGER 3

:geoo/sandstone/Hatch.H: 176 0

:geoo/sandstone/Goal.G: 160 576

:geoo/sandstone/64x64: 480 192
:geoo/sandstone/64x64: 480 256
:geoo/sandstone/64x64: 544 320
:geoo/sandstone/64x64: 480 320
:geoo/sandstone/64x64: 544 384
:geoo/sandstone/64x64: 480 384
:geoo/sandstone/64x64: 416 128
:geoo/sandstone/64x64: 416 192
:geoo/sandstone/64x64: 416 256
:geoo/sandstone/64x64: 416 320
:geoo/sandstone/64x64: 416 384
:geoo/sandstone/64x64: 352 384
:geoo/sandstone/64x64: 288 384
:geoo/sandstone/64x64: 544 192
:geoo/sandstone/64x64: 544 256
:geoo/sandstone/64x64: 544 128
:geoo/sandstone/64x64: 480 128
:geoo/sandstone/64x64: 224 192
:geoo/sandstone/64x64: 224 256
:geoo/sandstone/64x64: 352 320
:geoo/sandstone/64x64: 288 320
:geoo/sandstone/64x64: 160 128
:geoo/sandstone/64x64: 160 192
:geoo/sandstone/64x64: 160 256
:geoo/sandstone/64x64: 288 192
:geoo/sandstone/64x64: 288 256
:geoo/sandstone/64x64: 352 192
:geoo/sandstone/64x64: 352 256
:geoo/sandstone/64x64: 352 128
:geoo/sandstone/64x64: 288 128
:geoo/sandstone/64x64: 224 128
:geoo/sandstone/64x64: 96 128
:geoo/sandstone/32x32: 160 96
:geoo/sandstone/64x64: 96 64
:geoo/sandstone/slopes/32x32lb: 576 96
:geoo/sandstone/slopes/32x32lb: 544 64
:geoo/sandstone/slopes/32x32rb: 512 64
:geoo/sandstone/slopes/32x32rb: 480 96
:geoo/sandstone/slopes/32x32lb: 320 96
:geoo/sandstone/slopes/32x32lb: 288 64
:geoo/sandstone/slopes/32x32rb: 256 64
:geoo/sandstone/slopes/32x32rb: 224 96
:geoo/sandstone/64x32: 256 96
:geoo/sandstone/64x32: 512 96
:geoo/sandstone/slopes/32x32lb: 448 96
:geoo/sandstone/slopes/32x32lb: 416 64
:geoo/sandstone/slopes/32x32rb: 384 64
:geoo/sandstone/slopes/32x32rb: 352 96
:geoo/sandstone/64x32: 384 96
:geoo/sandstone/slopes/32x32lb: 160 64
:geoo/sandstone/slopes/32x32lb: 192 96
:geoo/sandstone/32x64: 608 64
:geoo/sandstone/32x64: 608 128
:geoo/sandstone/32x64: 608 192
:geoo/sandstone/32x64: 608 256
:geoo/sandstone/32x64: 608 320
:geoo/sandstone/32x64: 608 384
:geoo/sandstone/32x64: 0 64
:geoo/sandstone/32x64: 0 128
:geoo/sandstone/32x64: 0 192
:geoo/sandstone/32x64: 0 256
:geoo/sandstone/32x64: 0 448
:geoo/sandstone/32x64: 0 512
:geoo/sandstone/64x64: 32 640
:geoo/sandstone/64x64: 544 512
:geoo/sandstone/64x64: 480 512
:geoo/sandstone/64x64: 416 512
:geoo/sandstone/64x64: 352 512
:geoo/sandstone/64x64: 288 512
:geoo/sandstone/64x64: 224 640
:geoo/sandstone/64x64: 160 640
:geoo/sandstone/32x64: 608 512
:geoo/sandstone/32x64: 0 640
:geoo/sandstone/32x64: 0 576
:geoo/sandstone/32x16: 32 496
:geoo/sandstone/64x64: 480 448
:geoo/sandstone/64x64: 416 448
:geoo/sandstone/64x64: 352 448
:geoo/sandstone/64x64: 288 448
:geoo/sandstone/64x64: 544 448
:geoo/sandstone/32x64: 608 448
:geoo/sandstone/64x64: 96 192
:geoo/sandstone/64x64: 96 256
:geoo/sandstone/8x16: 100 512
:geoo/sandstone/8x16: 118 512
:geoo/sandstone/8x16: 136 512
:geoo/sandstone/8x16: 100 528
:geoo/sandstone/8x16: 118 528
:geoo/sandstone/8x16: 136 528
:geoo/sandstone/8x16: 100 544
:geoo/sandstone/8x16: 118 544
:geoo/sandstone/8x16: 136 544
:geoo/sandstone/8x16: 100 560
:geoo/sandstone/8x16: 118 560
:geoo/sandstone/8x16: 136 560
:geoo/sandstone/8x16: 100 576
:geoo/sandstone/8x16: 118 576
:geoo/sandstone/8x16: 136 576
:geoo/sandstone/8x16: 100 592
:geoo/sandstone/8x16: 118 592
:geoo/sandstone/8x16: 136 592
:geoo/sandstone/8x16: 100 624
:geoo/sandstone/8x16: 118 624
:geoo/sandstone/8x16: 136 624
:geoo/sandstone/8x16: 100 448
:geoo/sandstone/8x16: 118 448
:geoo/sandstone/8x16: 136 448
:geoo/sandstone/8x16: 100 464
:geoo/sandstone/8x16: 118 464
:geoo/sandstone/8x16: 136 464
:geoo/sandstone/8x16: 100 480
:geoo/sandstone/8x16: 118 480
:geoo/sandstone/8x16: 136 480
:geoo/sandstone/8x16: 100 496
:geoo/sandstone/8x16: 118 496
:geoo/sandstone/8x16: 136 496
:geoo/sandstone/64x32: 96 672
:geoo/steel/64x32o.S: 96 640
:geoo/sandstone/32x64: 256 512
:geoo/sandstone/32x64: 256 576
:geoo/sandstone/32x32: 256 480
:geoo/steel/32x32o.S: 256 448
:geoo/sandstone/16x16: 64 560
:geoo/sandstone/32x16: 32 560
:geoo/sandstone/32x64: 0 320
:geoo/sandstone/32x64: 64 320
:geoo/sandstone/32x64: 64 384
:geoo/sandstone/64x64: 96 320
:geoo/sandstone/64x64: 96 384
:geoo/sandstone/64x64: 224 320
:geoo/sandstone/64x64: 224 384
:geoo/sandstone/64x64: 160 320
:geoo/sandstone/64x64: 160 384
:geoo/sandstone/64x64: 544 640
:geoo/sandstone/64x64: 480 640
:geoo/sandstone/64x64: 416 640
:geoo/sandstone/64x64: 352 640
:geoo/sandstone/64x64: 288 640
:geoo/sandstone/32x64: 608 640
:geoo/sandstone/64x64: 480 576
:geoo/sandstone/64x64: 416 576
:geoo/sandstone/64x64: 352 576
:geoo/sandstone/64x64: 288 576
:geoo/sandstone/64x64: 544 576
:geoo/sandstone/32x64: 608 576
:geoo/sandstone/16x16: 96 608
:geoo/sandstone/16x16: 114 608
:geoo/sandstone/16x16: 132 608
:geoo/sandstone/32x64: 0 384
:geoo/sandstone/16x16: 48 432
:geoo/sandstone/16x16: 32 368
:geoo/sandstone/8x16: 100 32
