$BUILT 2014-06-08 16:19:42
$AUTHOR Clam
$GERMAN 
$ENGLISH Wrap your head around this one!

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 1
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 2
#REQUIRED 2
#SPAWN_INTERVAL 20
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#CLIMBER 2
#FLOATER 1
#JUMPER 2
#MINER 1
#DIGGER 2
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 64 96

:matt/marble/Goal.G: 496 144

:geoo/construction/trampoline.T: 320 176

:matt/marble/15b: 256 192
:matt/marble/17b: 32 192
:geoo/steel/32x16o.S: 128 176
:geoo/steel/32x16o.S: 32 176
:geoo/steel/16x16o.S: 480 192
:geoo/steel/16x16o.S: 560 192
:geoo/steel/64x32o.S: 496 192
:matt/marble/15c: 224 192
:matt/marble/14b: 224 192
:matt/marble/14c: 128 192
:matt/marble/16b: 192 192
:matt/marble/16c: 160 192
:matt/marble/17b: 160 192
:matt/marble/17c: 192 192
:matt/marble/15b: 128 192
:matt/marble/17c: 64 192
:matt/marble/15c: 96 192
:matt/marble/14b: 96 192
:matt/marble/16b: 64 192
:matt/marble/15d: 592 224
:matt/marble/14d: 560 224
:matt/marble/15: 560 224
:matt/marble/17: 528 224
:matt/marble/16d: 528 224
:matt/marble/14d: 496 224
:matt/marble/15: 496 224
:matt/marble/17: 464 224
:matt/marble/16d: 464 224
:matt/marble/17d: 432 224
:matt/marble/11d: 576 192
:matt/marble/11d: 560 208
:matt/marble/13d: 464 192
:matt/marble/13d: 480 208
:matt/marble/11a: 336 208
:matt/marble/13a: 320 208
