$BUILT 2023-01-23 16:52:45
$AUTHOR geoo
$ENGLISH Hare and Tortoise (Part 2)

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1664
#SIZE_Y 184

#INITIAL 6
#REQUIRED 1
#SPAWN_INTERVAL 32

#RUNNER 6
#EXPLODER2 0

:geoo/construction/Hatch.H: 32 0
:geoo/construction/Hatch.H: 32 0
:geoo/construction/Hatch.H: 32 0
:geoo/construction/Hatch.H: 32 0
:geoo/construction/Hatch.H: 32 0
:geoo/construction/Hatch.H: 1600 0 r

:geoo/abstract/goal.G: 0 16

:geoo/construction/squisher.T: 692 0
:geoo/construction/squisher.T: 884 0
:geoo/construction/squisher.T: 948 0

:geoo/construction/concrete/064h: 576 120
:geoo/construction/concrete/032h: 576 88
:geoo/construction/concrete/032h: 640 88
:geoo/construction/concrete/016h: 576 72
:geoo/construction/concrete/016h: 608 72
:geoo/construction/concrete/016h: 640 72
:geoo/construction/concrete/016h: 672 72
:geoo/construction/concrete/008h: 576 64
:geoo/construction/concrete/008h: 592 64
:geoo/construction/concrete/008h: 608 64
:geoo/construction/concrete/008h: 624 64
:geoo/construction/concrete/008h: 640 64
:geoo/construction/concrete/008h: 656 64
:geoo/construction/concrete/008h: 672 64
:geoo/construction/concrete/008h: 688 64
:geoo/construction/concrete/064h: 704 120
:geoo/construction/concrete/032h: 704 88
:geoo/construction/concrete/032h: 768 88
:geoo/construction/concrete/016h: 704 72
:geoo/construction/concrete/016h: 736 72
:geoo/construction/concrete/016h: 768 72
:geoo/construction/concrete/016h: 800 72
:geoo/construction/concrete/008h: 704 64
:geoo/construction/concrete/008h: 720 64
:geoo/construction/concrete/008h: 736 64
:geoo/construction/concrete/008h: 752 64
:geoo/construction/concrete/008h: 768 64
:geoo/construction/concrete/008h: 784 64
:geoo/construction/concrete/008h: 800 64
:geoo/construction/concrete/008h: 816 64
:geoo/construction/concrete/064h: 832 120
:geoo/construction/concrete/032h: 832 88
:geoo/construction/concrete/032h: 896 88
:geoo/construction/concrete/016h: 832 72
:geoo/construction/concrete/016h: 864 72
:geoo/construction/concrete/016h: 896 72
:geoo/construction/concrete/016h: 928 72
:geoo/construction/concrete/008h: 832 64
:geoo/construction/concrete/008h: 848 64
:geoo/construction/concrete/008h: 864 64
:geoo/construction/concrete/008h: 880 64
:geoo/construction/concrete/008h: 896 64
:geoo/construction/concrete/008h: 912 64
:geoo/construction/concrete/008h: 928 64
:geoo/construction/concrete/008h: 944 64
:geoo/construction/concrete/064h: 960 120
:geoo/construction/concrete/032h: 960 88
:geoo/construction/concrete/032h: 1024 88
:geoo/construction/concrete/016h: 960 72
:geoo/construction/concrete/016h: 992 72
:geoo/construction/concrete/016h: 1024 72
:geoo/construction/concrete/016h: 1056 72
:geoo/construction/concrete/008h: 960 64
:geoo/construction/concrete/008h: 976 64
:geoo/construction/concrete/008h: 992 64
:geoo/construction/concrete/008h: 1008 64
:geoo/construction/concrete/008h: 1024 64
:geoo/construction/concrete/008h: 1040 64
:geoo/construction/concrete/008h: 1056 64
:geoo/construction/concrete/008h: 1072 64
:geoo/construction/concrete/064h: 64 120
:geoo/construction/concrete/032h: 64 88
:geoo/construction/concrete/032h: 128 88
:geoo/construction/concrete/016h: 64 72
:geoo/construction/concrete/016h: 96 72
:geoo/construction/concrete/016h: 128 72
:geoo/construction/concrete/016h: 160 72
:geoo/construction/concrete/008h: 64 64
:geoo/construction/concrete/008h: 80 64
:geoo/construction/concrete/008h: 96 64
:geoo/construction/concrete/008h: 112 64
:geoo/construction/concrete/008h: 128 64
:geoo/construction/concrete/008h: 144 64
:geoo/construction/concrete/008h: 160 64
:geoo/construction/concrete/008h: 176 64
:geoo/construction/concrete/064h: 192 120
:geoo/construction/concrete/032h: 192 88
:geoo/construction/concrete/032h: 256 88
:geoo/construction/concrete/016h: 192 72
:geoo/construction/concrete/016h: 224 72
:geoo/construction/concrete/016h: 256 72
:geoo/construction/concrete/016h: 288 72
:geoo/construction/concrete/008h: 192 64
:geoo/construction/concrete/008h: 208 64
:geoo/construction/concrete/008h: 224 64
:geoo/construction/concrete/008h: 240 64
:geoo/construction/concrete/008h: 256 64
:geoo/construction/concrete/008h: 272 64
:geoo/construction/concrete/008h: 288 64
:geoo/construction/concrete/008h: 304 64
:geoo/construction/concrete/064h: 320 120
:geoo/construction/concrete/032h: 320 88
:geoo/construction/concrete/032h: 384 88
:geoo/construction/concrete/016h: 320 72
:geoo/construction/concrete/016h: 352 72
:geoo/construction/concrete/016h: 384 72
:geoo/construction/concrete/016h: 416 72
:geoo/construction/concrete/008h: 320 64
:geoo/construction/concrete/008h: 336 64
:geoo/construction/concrete/008h: 352 64
:geoo/construction/concrete/008h: 368 64
:geoo/construction/concrete/008h: 384 64
:geoo/construction/concrete/008h: 400 64
:geoo/construction/concrete/008h: 416 64
:geoo/construction/concrete/008h: 432 64
:geoo/construction/concrete/064h: 448 120
:geoo/construction/concrete/032h: 448 88
:geoo/construction/concrete/032h: 512 88
:geoo/construction/concrete/016h: 448 72
:geoo/construction/concrete/016h: 480 72
:geoo/construction/concrete/016h: 512 72
:geoo/construction/concrete/016h: 544 72
:geoo/construction/concrete/008h: 448 64
:geoo/construction/concrete/008h: 464 64
:geoo/construction/concrete/008h: 480 64
:geoo/construction/concrete/008h: 496 64
:geoo/construction/concrete/008h: 512 64
:geoo/construction/concrete/008h: 528 64
:geoo/construction/concrete/008h: 544 64
:geoo/construction/concrete/008h: 560 64
:geoo/construction/concrete/064h: 1088 120
:geoo/construction/concrete/032h: 1088 88
:geoo/construction/concrete/032h: 1152 88
:geoo/construction/concrete/016h: 1088 72
:geoo/construction/concrete/016h: 1120 72
:geoo/construction/concrete/016h: 1152 72
:geoo/construction/concrete/016h: 1184 72
:geoo/construction/concrete/008h: 1088 64
:geoo/construction/concrete/008h: 1104 64
:geoo/construction/concrete/008h: 1120 64
:geoo/construction/concrete/008h: 1136 64
:geoo/construction/concrete/008h: 1152 64
:geoo/construction/concrete/008h: 1168 64
:geoo/construction/concrete/008h: 1184 64
:geoo/construction/concrete/008h: 1200 64
:geoo/construction/concrete/032h: 0 88
:geoo/construction/concrete/016h: 0 72
:geoo/construction/concrete/016h: 32 72
:geoo/construction/concrete/008h: 0 64
:geoo/construction/concrete/008h: 16 64
:geoo/construction/concrete/008h: 32 64
:geoo/construction/concrete/008h: 48 64
:geoo/construction/concrete/064: 0 120
:geoo/construction/concrete/064h: 1216 120
:geoo/construction/concrete/032h: 1216 88
:geoo/construction/concrete/032h: 1280 88
:geoo/construction/concrete/016h: 1216 72
:geoo/construction/concrete/016h: 1248 72
:geoo/construction/concrete/016h: 1280 72
:geoo/construction/concrete/016h: 1312 72
:geoo/construction/concrete/008h: 1216 64
:geoo/construction/concrete/008h: 1232 64
:geoo/construction/concrete/008h: 1248 64
:geoo/construction/concrete/008h: 1264 64
:geoo/construction/concrete/008h: 1280 64
:geoo/construction/concrete/008h: 1296 64
:geoo/construction/concrete/008h: 1312 64
:geoo/construction/concrete/008h: 1328 64
:geoo/construction/concrete/064h: 1344 120
:geoo/construction/concrete/032h: 1344 88
:geoo/construction/concrete/032h: 1408 88
:geoo/construction/concrete/016h: 1344 72
:geoo/construction/concrete/016h: 1376 72
:geoo/construction/concrete/016h: 1408 72
:geoo/construction/concrete/016h: 1440 72
:geoo/construction/concrete/008h: 1344 64
:geoo/construction/concrete/008h: 1360 64
:geoo/construction/concrete/008h: 1376 64
:geoo/construction/concrete/008h: 1392 64
:geoo/construction/concrete/008h: 1408 64
:geoo/construction/concrete/008h: 1424 64
:geoo/construction/concrete/008h: 1440 64
:geoo/construction/concrete/008h: 1456 64
:geoo/construction/concrete/064h: 1472 120
:geoo/construction/concrete/032h: 1472 88
:geoo/construction/concrete/032h: 1536 88
:geoo/construction/concrete/016h: 1472 72
:geoo/construction/concrete/016h: 1504 72
:geoo/construction/concrete/016h: 1536 72
:geoo/construction/concrete/016h: 1568 72
:geoo/construction/concrete/008h: 1472 64
:geoo/construction/concrete/008h: 1488 64
:geoo/construction/concrete/008h: 1504 64
:geoo/construction/concrete/008h: 1520 64
:geoo/construction/concrete/008h: 1536 64
:geoo/construction/concrete/008h: 1552 64
:geoo/construction/concrete/008h: 1568 64
:geoo/construction/concrete/008h: 1584 64
:geoo/construction/concrete/064h: 1600 120
:geoo/construction/concrete/032h: 1600 88
:geoo/construction/concrete/032h: 1664 88
:geoo/construction/concrete/016h: 1600 72
:geoo/construction/concrete/016h: 1632 72
:geoo/construction/concrete/016h: 1664 72
:geoo/construction/concrete/016h: 1696 72
:geoo/construction/concrete/008h: 1600 64
:geoo/construction/concrete/008h: 1616 64
:geoo/construction/concrete/008h: 1632 64
:geoo/construction/concrete/008h: 1648 64
:geoo/construction/concrete/008h: 1664 64
:geoo/construction/concrete/008h: 1680 64
:geoo/construction/concrete/008h: 1696 64
:geoo/construction/concrete/008h: 1712 64
