$BUILT 2023-09-20 23:24:09
$AUTHOR geoo
$ENGLISH Forever Mine

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 672
#SIZE_Y 336
#TORUS_X 1
#TORUS_Y 1

#INITIAL 10
#REQUIRED 10
#SPAWN_INTERVAL 26

#WALKER 2
#RUNNER 10
#FLOATER 1
#BLOCKER 1
#BUILDER 6
#MINER 1
#DIGGER 6
#EXPLODER2 0

:raymanni/gore/hatch.H: 377 154

:raymanni/gore/goal.G: 656 192

:geoo/construction/Laser_hz_16.F: 64 170
:geoo/construction/Laser_hz_16.F: 80 170
:geoo/construction/Laser_hz_16.F: 96 170
:geoo/construction/Laser_hz_16.F: 64 232
:geoo/construction/Laser_hz_16.F: 80 232
:geoo/construction/Laser_hz_16.F: 96 232
:geoo/construction/Laser_vr_16.F: 650 160
:geoo/construction/Laser_vr_64.F: 650 208
:geoo/construction/Laser_vr_16.F: 650 192
:geoo/construction/Laser_vr_64.F: 58 176
:geoo/construction/Laser_vr_64.F: 118 176
:geoo/construction/Laser_hz_16.F: 160 202
:geoo/construction/Laser_hz_16.F: 176 202
:geoo/construction/Laser_hz_16.F: 192 202
:geoo/construction/Laser_hz_16.F: 160 264
:geoo/construction/Laser_hz_16.F: 176 264
:geoo/construction/Laser_hz_16.F: 192 264
:geoo/construction/Laser_vr_64.F: 138 208
:geoo/construction/Laser_vr_64.F: 198 208
:geoo/construction/Laser_hz_16.F: 224 280
:geoo/construction/Laser_hz_16.F: 240 280
:geoo/construction/Laser_hz_16.F: 256 280
:geoo/construction/Laser_vr_64.F: 218 224
:geoo/construction/Laser_vr_64.F: 278 224
:geoo/construction/sawblade.F: 10 282
:geoo/construction/sawblade.F: 82 322
:geoo/construction/Laser_hz_16.F: 224 170
:geoo/construction/Laser_hz_16.F: 240 170
:geoo/construction/Laser_hz_16.F: 256 170
:geoo/construction/Laser_vr_64.F: 218 176
:geoo/construction/Laser_vr_64.F: 278 176
:geoo/construction/Laser_vr_64.F: 650 99
:geoo/construction/Laser_vr_64.F: 38 99
:geoo/construction/Laser_vr_16.F: 650 176
:geoo/construction/Laser_hz_64.F: 656 92
:geoo/construction/Laser_hz_64.F: 656 200
:geoo/construction/Laser_vr_16.F: 38 162
:geoo/construction/sawblade.F: 162 26
:geoo/construction/Laser_vr_16.F: 38 178
:geoo/construction/Laser_vr_16.F: 38 194
:geoo/construction/Laser_hz_16.F: 144 202
:geoo/construction/Laser_hz_16.F: 144 264
:geoo/construction/Laser_hz_16.F: 112 170
:geoo/construction/Laser_hz_16.F: 112 232
:geoo/construction/Laser_hz_16.F: 272 170
:geoo/construction/Laser_hz_16.F: 272 280
:geoo/construction/sawblade.F: 242 66
:geoo/construction/Laseremit_hzl_16.F: 61 320
:geoo/construction/Laser_hz_16.F: 76 320
:geoo/construction/Laser_hz_16.F: 92 320
:geoo/construction/Laseremit_hzr_16.F: 106 320
:geoo/construction/Laseremit_hzl_16.F: 141 16
:geoo/construction/Laser_hz_16.F: 156 16
:geoo/construction/Laser_hz_16.F: 172 16
:geoo/construction/Laseremit_hzr_16.F: 186 16
:geoo/construction/Laseremit_hzl_16.F: 221 48
:geoo/construction/Laser_hz_16.F: 236 48
:geoo/construction/Laser_hz_16.F: 252 48
:geoo/construction/Laseremit_hzr_16.F: 266 48
:geoo/construction/Laseremit_hzl_16.F: 221 64
:geoo/construction/Laser_hz_16.F: 236 64
:geoo/construction/Laser_hz_16.F: 252 64
:geoo/construction/Laseremit_hzr_16.F: 266 64
:geoo/construction/Laseremit_hzl_16.F: 141 24
:geoo/construction/Laser_hz_16.F: 156 24
:geoo/construction/Laser_hz_16.F: 172 24
:geoo/construction/Laseremit_hzr_16.F: 186 24
:geoo/construction/Laseremit_hzl_16.F: 61 312
:geoo/construction/Laser_hz_16.F: 76 312
:geoo/construction/Laser_hz_16.F: 92 312
:geoo/construction/Laseremit_hzr_16.F: 106 312
:geoo/construction/Laseremit_hzl_16.F: 141 8
:geoo/construction/Laser_hz_16.F: 156 8
:geoo/construction/Laser_hz_16.F: 172 8
:geoo/construction/Laseremit_hzr_16.F: 186 8
:geoo/construction/Laseremit_hzl_16.F: 221 40
:geoo/construction/Laser_hz_16.F: 236 40
:geoo/construction/Laser_hz_16.F: 252 40
:geoo/construction/Laseremit_hzr_16.F: 266 40
:geoo/construction/Laseremit_hzl_16.F: 221 56
:geoo/construction/Laser_hz_16.F: 236 56
:geoo/construction/Laser_hz_16.F: 252 56
:geoo/construction/Laseremit_hzr_16.F: 266 56

:raymanni/gore/blob_1: 264 304
:geoo/steel/dark_48x32o.S: 272 16
:guideline/build-L: 0 16
:geoo/construction/concrete/032hb: 16 4
:guideline/build-L: 288 160
:geoo/construction/concrete/032hc: 272 164
:raymanni/gore/blob_1: 292 294
:raymanni/gore/blob_1: 256 288
:raymanni/gore/blob_5: 334 280
